Date,Open,High,Low,Close
2013-01-01,1.0324,1.03551,1.03012,1.03375
2013-01-02,1.03373,1.03598,1.03119,1.03427
2013-01-03,1.03426,1.03714,1.03099,1.03119
2013-01-04,1.03125,1.03664,1.02841,1.03426
2013-01-07,1.03427,1.03668,1.03252,1.03404
2013-01-08,1.03396,1.03764,1.03345,1.03683
2013-01-09,1.03685,1.04151,1.03628,1.04082
2013-01-10,1.04085,1.04395,1.03947,1.04033
2013-01-11,1.04036,1.04106,1.03596,1.03855
2013-01-14,1.03854,1.04191,1.03679,1.03751
2013-01-15,1.0375,1.04074,1.03703,1.04014
2013-01-16,1.04016,1.04269,1.03605,1.03699
2013-01-17,1.03698,1.04057,1.03585,1.03761
2013-01-18,1.03766,1.04326,1.03753,1.04222
2013-01-21,1.04216,1.04687,1.04187,1.04615
2013-01-22,1.04614,1.05018,1.04492,1.04542
2013-01-23,1.04545,1.05453,1.04545,1.05162
2013-01-24,1.05167,1.05275,1.0466,1.04815
2013-01-25,1.04817,1.05341,1.04745,1.05015
2013-01-28,1.05016,1.05136,1.04627,1.0503
2013-01-29,1.05026,1.05175,1.04696,1.04917
2013-01-30,1.04924,1.04941,1.04121,1.04235
2013-01-31,1.04236,1.04481,1.03549,1.0361
2013-02-01,1.03609,1.04112,1.03426,1.03995
2013-02-04,1.03996,1.04348,1.03678,1.03883
2013-02-05,1.03882,1.04118,1.03089,1.03176
2013-02-06,1.03174,1.03241,1.02563,1.02756
2013-02-07,1.02757,1.02961,1.02383,1.02617
2013-02-08,1.02622,1.03639,1.0261,1.0347
2013-02-11,1.03466,1.03618,1.02965,1.03128
2013-02-12,1.03127,1.03785,1.02963,1.03756
2013-02-13,1.03755,1.039,1.0353,1.03644
2013-02-14,1.03643,1.03785,1.03416,1.0367
2013-02-15,1.03674,1.03972,1.03498,1.03641
2013-02-18,1.03642,1.04398,1.03598,1.04386
2013-02-19,1.04393,1.04939,1.04274,1.04789
2013-02-20,1.04787,1.0486,1.04117,1.04267
2013-02-21,1.04274,1.04937,1.04185,1.04782
2013-02-22,1.04783,1.05739,1.04771,1.05222
2013-02-25,1.05221,1.05773,1.05052,1.05309
2013-02-26,1.05305,1.05343,1.04736,1.04761
2013-02-27,1.04762,1.0517,1.04361,1.05118
2013-02-28,1.05121,1.05462,1.04943,1.05334
2013-03-01,1.05333,1.05456,1.04243,1.043
2013-03-04,1.04298,1.05061,1.04232,1.05041
2013-03-05,1.0504,1.05623,1.04871,1.05503
