Date,Open,High,Low,Close
2013-01-01,0.95095,0.95424,0.94868,0.95366
2013-01-02,0.95369,0.96562,0.95228,0.96521
2013-01-03,0.9652,0.97151,0.9642,0.96764
2013-01-04,0.96759,0.97146,0.96583,0.97059
2013-01-07,0.97055,0.97391,0.9646,0.96542
2013-01-08,0.96541,0.9717,0.9647,0.97078
2013-01-09,0.9708,0.9773,0.97015,0.97706
2013-01-10,0.97707,0.97795,0.96666,0.96863
2013-01-11,0.9686,0.97003,0.96052,0.96334
2013-01-14,0.96333,0.9774,0.96262,0.97448
2013-01-15,0.9745,0.98526,0.97249,0.9842
2013-01-16,0.98414,0.98535,0.97792,0.97872
2013-01-17,0.97872,0.9874,0.97722,0.9853
2013-01-18,0.9854,0.98662,0.9758,0.98251
2013-01-21,0.98246,0.98416,0.9785,0.98145
2013-01-22,0.98143,0.9844,0.9782,0.97854
2013-01-23,0.97857,0.98301,0.97738,0.97783
2013-01-24,0.9778,0.97991,0.96982,0.9717
2013-01-25,0.97171,0.97312,0.9624,0.96666
2013-01-28,0.9666,0.96802,0.96182,0.9673
2013-01-29,0.96723,0.96825,0.96099,0.96591
2013-01-30,0.966,0.96616,0.94344,0.94468
2013-01-31,0.9447,0.95141,0.9447,0.94563
2013-02-01,0.9456,0.94763,0.93747,0.94757
2013-02-04,0.94759,0.95146,0.94528,0.9463
2013-02-05,0.94623,0.94883,0.93749,0.93995
2013-02-06,0.93993,0.94422,0.93669,0.93872
2013-02-07,0.93873,0.9477,0.93551,0.94349
2013-02-08,0.9435,0.94918,0.94331,0.94599
2013-02-11,0.9459,0.94591,0.94029,0.94291
2013-02-12,0.9429,0.95067,0.93714,0.95021
2013-02-13,0.95012,0.95142,0.94512,0.94921
2013-02-14,0.9492,0.95666,0.94874,0.95538
2013-02-15,0.95539,0.9565,0.94807,0.9517
2013-02-18,0.95179,0.95397,0.94791,0.9535
2013-02-19,0.95354,0.95688,0.9513,0.95429
2013-02-20,0.95428,0.95473,0.94823,0.95116
2013-02-21,0.95118,0.95967,0.95055,0.95783
2013-02-22,0.95784,0.96282,0.95547,0.95713
2013-02-25,0.9571,0.96103,0.95181,0.9553
2013-02-26,0.95531,0.95633,0.95018,0.95236
2013-02-27,0.95239,0.95551,0.94678,0.95487
2013-02-28,0.9549,0.9579,0.95233,0.9577
2013-03-01,0.95765,0.96538,0.95339,0.9542
2013-03-04,0.95422,0.96329,0.95382,0.96289
2013-03-05,0.96287,0.9686,0.96105,0.96681
2013-03-06,0.96684,0.97221,0.9666,0.97179
2013-03-07,0.97182,0.97298,0.96653,0.96733
2013-03-08,0.9673,0.97721,0.96648,0.9724
2013-03-11,0.97231,0.97769,0.97104,0.9756
2013-03-12,0.97559,0.97878,0.97377,0.97613
2013-03-13,0.9761,0.9876,0.97396,0.98731
2013-03-14,0.9873,0.98998,0.98052,0.98171
2013-03-15,0.98164,0.98288,0.9737,0.97633
2013-03-18,0.9764,0.98482,0.97632,0.98289
2013-03-19,0.98291,0.98356,0.97787,0.98283
2013-03-20,0.98282,0.98398,0.9776,0.97999
2013-03-21,0.97991,0.98943,0.97892,0.9865
2013-03-22,0.98652,0.98847,0.97784,0.98138
2013-03-25,0.98135,0.99295,0.98079,0.99148
2013-03-26,0.99146,0.99691,0.99129,0.99321
2013-03-27,0.9932,0.99754,0.99216,0.9942
2013-03-28,0.99423,0.99609,0.9866,0.98835
2013-03-29,0.98834,0.99124,0.98693,0.98948
2013-04-01,0.9894,0.98988,0.9852,0.98912
2013-04-02,0.98911,0.99375,0.98813,0.99301
2013-04-03,0.9931,0.99611,0.9872,0.98937
2013-04-04,0.98933,0.99218,0.97789,0.9783
2013-04-05,0.97832,0.98305,0.96631,0.96899
2013-04-08,0.969,0.9743,0.96819,0.97343
2013-04-09,0.97344,0.98057,0.9733,0.9789
2013-04-10,0.97896,0.98465,0.97788,0.98077
2013-04-11,0.98071,0.98548,0.97947,0.9807
2013-04-12,0.98072,0.98278,0.9684,0.96875
2013-04-15,0.9688,0.97238,0.95802,0.9635
2013-04-16,0.9636,0.96518,0.95533,0.95551
2013-04-17,0.9555,0.96201,0.9542,0.96016
2013-04-18,0.96024,0.96327,0.95685,0.9607
2013-04-19,0.96068,0.96432,0.9565,0.96008
2013-04-22,0.96002,0.96058,0.9559,0.95692
2013-04-23,0.95691,0.9714,0.95499,0.96897
2013-04-24,0.969,0.976,0.96711,0.9759
2013-04-25,0.97591,0.97732,0.97141,0.9721
2013-04-26,0.97211,0.97398,0.9665,0.97132
2013-04-29,0.97136,0.9719,0.9675,0.97015
2013-04-30,0.97012,0.97191,0.95993,0.9638
2013-05-01,0.96378,0.9646,0.94939,0.95063
2013-05-02,0.9506,0.96038,0.94838,0.95912
2013-05-03,0.95917,0.9658,0.95432,0.96142
2013-05-06,0.96143,0.9628,0.9578,0.9604
2013-05-07,0.96033,0.96079,0.95419,0.95684
2013-05-08,0.95689,0.95857,0.94991,0.95729
2013-05-09,0.9573,0.96211,0.9524,0.95679
2013-05-10,0.95677,0.96111,0.9542,0.95647
2013-05-13,0.95643,0.95825,0.95002,0.9507
2013-05-14,0.9508,0.95681,0.9473,0.95563
2013-05-15,0.95563,0.96168,0.95264,0.95389
2013-05-16,0.9539,0.95422,0.94141,0.94159
2013-05-17,0.94158,0.94882,0.93944,0.94823
2013-05-20,0.94814,0.94908,0.94463,0.94868
2013-05-21,0.9487,0.95262,0.94564,0.94843
2013-05-22,0.94845,0.9536,0.94193,0.94252
2013-05-23,0.94255,0.94507,0.92955,0.93573
2013-05-24,0.9357,0.93826,0.92445,0.92751
2013-05-27,0.92756,0.93205,0.92421,0.93141
2013-05-28,0.93143,0.94075,0.93005,0.9324
2013-05-29,0.93242,0.93507,0.9225,0.92903
2013-05-30,0.92902,0.93,0.91916,0.92053
2013-05-31,0.92051,0.9223,0.9121,0.92061
2013-06-03,0.92068,0.92897,0.91787,0.92157
2013-06-04,0.92159,0.92383,0.91091,0.91349
2013-06-05,0.91348,0.914,0.8898,0.89072
2013-06-06,0.89068,0.89664,0.87727,0.87927
2013-06-07,0.87934,0.8901,0.87826,0.88127
2013-06-10,0.8813,0.8876,0.87668,0.87835
2013-06-11,0.87837,0.87849,0.86466,0.87419
2013-06-12,0.8742,0.88716,0.86494,0.86737
2013-06-13,0.86739,0.89135,0.86563,0.88496
2013-06-14,0.88492,0.89081,0.88074,0.88833
2013-06-17,0.88835,0.89062,0.87668,0.87823
2013-06-18,0.87825,0.87937,0.8678,0.87134
2013-06-19,0.87133,0.87853,0.85693,0.85954
2013-06-20,0.85952,0.8609,0.85061,0.85355
2013-06-21,0.85357,0.86618,0.85267,0.86299
2013-06-24,0.86292,0.86685,0.85508,0.85894
2013-06-25,0.85896,0.87042,0.85816,0.86749
2013-06-26,0.8675,0.87892,0.86711,0.8769
2013-06-27,0.87691,0.88173,0.87104,0.873
2013-06-28,0.87301,0.8768,0.86136,0.86684
2013-07-01,0.86686,0.87498,0.86479,0.87133
2013-07-02,0.87135,0.87356,0.86403,0.86461
2013-07-03,0.86462,0.86621,0.85545,0.86368
2013-07-04,0.86367,0.87839,0.86229,0.87325
2013-07-05,0.87323,0.88062,0.87028,0.87465
2013-07-08,0.87466,0.88082,0.87298,0.87995
2013-07-09,0.87996,0.89442,0.87932,0.89172
2013-07-10,0.89175,0.89634,0.8728,0.87491
2013-07-11,0.87492,0.88004,0.86503,0.8689
2013-07-12,0.86889,0.87027,0.85533,0.86028
2013-07-15,0.8603,0.86929,0.86002,0.86789
2013-07-16,0.8679,0.87346,0.86697,0.86925
2013-07-17,0.86927,0.87087,0.86341,0.8642
2013-07-18,0.86418,0.86748,0.86297,0.86457
2013-07-19,0.86458,0.86977,0.86299,0.86534
2013-07-22,0.86533,0.86877,0.86196,0.86731
2013-07-23,0.86735,0.87082,0.86426,0.86652
2013-07-24,0.86649,0.86723,0.85605,0.85737
2013-07-25,0.85742,0.86175,0.85553,0.86072
2013-07-26,0.86075,0.8628,0.85725,0.86027
2013-07-29,0.86022,0.86059,0.84501,0.84637
2013-07-30,0.84635,0.84651,0.83715,0.83831
2013-07-31,0.83833,0.84057,0.82609,0.83092
2013-08-01,0.8309,0.83769,0.83068,0.83463
2013-08-02,0.83461,0.8361,0.82269,0.82417
2013-08-05,0.82416,0.8307,0.82407,0.82786
2013-08-06,0.82782,0.83521,0.8273,0.82953
2013-08-07,0.82958,0.83631,0.82611,0.835
2013-08-08,0.83503,0.83968,0.83231,0.83746
2013-08-09,0.83741,0.85168,0.83678,0.84987
2013-08-12,0.84986,0.85215,0.84329,0.84511
2013-08-13,0.84512,0.85101,0.84456,0.84911
2013-08-14,0.84914,0.85653,0.84824,0.85501
2013-08-15,0.855,0.85854,0.84476,0.84985
2013-08-16,0.84988,0.85462,0.84761,0.85368
2013-08-19,0.85366,0.85446,0.83598,0.83678
2013-08-20,0.83677,0.83704,0.82653,0.8277
2013-08-21,0.82773,0.83334,0.82497,0.83041
2013-08-22,0.83044,0.83686,0.8291,0.83372
2013-08-23,0.83368,0.8344,0.82982,0.83337
2013-08-26,0.8334,0.83597,0.82601,0.82842
2013-08-27,0.82845,0.82849,0.81813,0.81913
2013-08-28,0.81917,0.82852,0.81723,0.82679
2013-08-29,0.82681,0.8329,0.82681,0.8327
2013-08-30,0.83272,0.83633,0.82702,0.83561
2013-09-02,0.83569,0.84332,0.83524,0.83993
2013-09-03,0.83994,0.85278,0.83916,0.85232
2013-09-04,0.85237,0.86091,0.85167,0.85836
