Date,Open,High,Low,Close
2013-01-01,90.092,91.508,89.814,91.179
2013-01-02,91.18,91.745,91.105,91.506
2013-01-03,91.503,91.732,91.107,91.525
2013-01-04,91.531,92.834,91.504,92.167
2013-01-07,92.165,92.338,91.586,91.646
2013-01-08,91.645,92.003,91.179,91.847
2013-01-09,91.848,92.97,91.719,92.936
2013-01-10,92.938,94.513,92.912,94.197
2013-01-11,94.198,94.631,93.769,94.568
2013-01-14,94.571,94.661,93.542,93.877
2013-01-15,93.879,93.949,92.874,93.078
2013-01-16,93.079,93.672,92.458,92.8
2013-01-17,92.799,95.011,92.629,94.616
2013-01-18,94.617,94.872,93.965,94.155
2013-01-21,94.159,94.938,93.726,94.009
2013-01-22,94.011,94.284,93.147,93.231
2013-01-23,93.229,94.024,92.793,93.649
2013-01-24,93.65,94.715,93.559,94.489
2013-01-25,94.49,95.083,94.472,94.834
2013-01-28,94.835,94.968,94.082,94.809
2013-01-29,94.803,95.33,94.37,95.248
2013-01-30,95.245,95.45,94.255,94.365
2013-01-31,94.372,95.799,94.328,95.714
2013-02-01,95.715,96.777,95.457,96.572
2013-02-04,96.574,97.064,95.968,96.044
2013-02-05,96.043,97.426,95.945,97.131
2013-02-06,97.133,97.284,96.092,96.395
2013-02-07,96.396,97.023,95.813,96.145
2013-02-08,96.146,96.182,95.124,95.339
2013-02-11,95.336,96.877,95.168,96.537
2013-02-12,96.536,96.719,95.776,96.214
2013-02-13,96.216,96.89,96.114,96.775
2013-02-14,96.771,96.964,95.609,95.621
2013-02-15,95.622,96.88,95.521,96.754
2013-02-18,96.753,96.935,96.521,96.708
2013-02-19,96.705,97.066,96.459,96.821
2013-02-20,96.819,96.824,95.566,95.705
2013-02-21,95.704,96.358,95.049,96.286
2013-02-22,96.282,97.42,95.955,96.733
2013-02-25,96.729,96.992,93.554,94.58
2013-02-26,94.578,94.775,93.032,93.871
2013-02-27,93.872,95.104,92.95,94.778
2013-02-28,94.78,95.023,94.372,94.786
2013-03-01,94.785,95.607,94.432,94.489
2013-03-04,94.488,95.476,94.448,95.354
2013-03-05,95.349,95.904,95.169,95.755
2013-03-06,95.752,96.376,95.71,96.216
2013-03-07,96.217,97.735,96.14,97.672
2013-03-08,97.671,98.99,97.586,98.293
2013-03-11,98.292,99.562,98.146,99.225
2013-03-12,99.226,99.463,98.46,98.701
2013-03-13,98.699,99.52,98.535,99.452
2013-03-14,99.453,99.966,99.401,99.673
2013-03-15,99.672,99.832,97.354,98.086
2013-03-18,98.093,99.447,97.715,99.218
2013-03-19,99.22,99.313,98.16,98.621
2013-03-20,98.623,99.767,98.512,99.538
2013-03-21,99.533,99.61,98.703,98.981
2013-03-22,98.98,99.25,98.336,99.019
2013-03-25,99.018,99.386,97.709,98.582
2013-03-26,98.58,99.246,98.435,99.226
2013-03-27,99.227,99.274,97.955,98.16
2013-03-28,98.161,98.351,97.803,98.045
2013-03-29,98.043,98.241,97.564,97.76
2013-04-01,97.761,97.792,96.9,97.054
2013-04-02,97.052,97.983,96.927,97.746
2013-04-03,97.749,98.095,96.966,97.27
2013-04-04,97.268,101.11,97.185,100.846
2013-04-05,100.843,102.345,99.787,102.151
2013-04-08,102.152,103.801,102.078,103.582
2013-04-09,103.58,104.342,102.827,103.996
2013-04-10,103.995,105.264,103.976,104.698
2013-04-11,104.696,105.415,104.555,104.93
2013-04-12,104.929,105.01,101.677,101.805
2013-04-15,101.804,102.552,98.736,100.928
2013-04-16,100.927,102.063,100.731,101.589
2013-04-17,101.588,102.016,99.902,101.325
2013-04-18,101.324,101.946,100.623,101.523
2013-04-19,101.532,102.926,101.459,102.82
2013-04-22,102.817,102.838,100.764,100.902
2013-04-23,100.904,102.362,100.748,101.885
2013-04-24,101.886,102.605,101.749,102.547
2013-04-25,102.545,102.644,101.816,102.153
2013-04-26,102.155,102.217,100.297,100.586
2013-04-29,100.587,101.602,100.551,101.379
2013-04-30,101.377,101.48,100.489,100.805
2013-05-01,100.803,101.112,99.624,99.682
2013-05-02,99.683,100.896,99.276,100.564
2013-05-03,100.568,102.32,100.427,101.878
2013-05-06,101.881,102.091,101.19,101.389
2013-05-07,101.385,101.477,100.395,100.861
2013-05-08,100.862,101.365,100.435,101.227
2013-05-09,101.229,102.13,100.85,101.879
2013-05-10,101.878,102.025,101.314,101.579
2013-05-13,101.578,101.85,101.173,101.28
2013-05-14,101.283,101.406,100.668,101.087
2013-05-15,101.086,101.575,100.885,100.951
2013-05-16,100.949,101.065,99.657,99.68
2013-05-17,99.675,100.556,99.533,100.479
2013-05-20,100.478,100.556,100.04,100.497
2013-05-21,100.496,100.931,100.124,100.285
2013-05-22,100.284,100.949,98.942,98.951
2013-05-23,98.958,99.491,97.289,98.321
2013-05-24,98.322,98.822,96.954,97.28
2013-05-27,97.284,98.253,97.158,98.135
2013-05-28,98.13,99.05,97.434,97.733
2013-05-29,97.734,97.996,96.95,97.707
2013-05-30,97.708,97.95,97.183,97.35
2013-05-31,97.352,97.444,96.05,96.848
2013-06-03,96.85,97.357,96.24,96.82
2013-06-04,96.821,97.261,96.146,96.449
2013-06-05,96.45,96.491,93.63,93.777
2013-06-06,93.771,94.297,91.22,91.402
2013-06-07,91.401,92.775,90.532,92.338
2013-06-10,92.34,93.787,92.287,92.672
2013-06-11,92.674,92.691,90.002,91.182
2013-06-12,91.183,92.493,89.184,89.614
2013-06-13,89.598,92.562,88.928,90.936
2013-06-14,90.937,91.872,90.008,91.16
2013-06-17,91.162,91.544,89.954,90.258
2013-06-18,90.256,90.654,89.82,90.293
2013-06-19,90.294,91.205,89.088,89.839
2013-06-20,89.84,90.429,89.142,89.757
2013-06-21,89.754,91.051,89.513,90.734
2013-06-24,90.739,90.854,89.573,89.605
2013-06-25,89.604,90.996,89.564,90.459
2013-06-26,90.461,91.29,90.2,91.074
2013-06-27,91.077,91.681,90.871,91.449
2013-06-28,91.447,91.655,90.439,91.125
2013-07-01,91.126,92.225,91.123,91.796
2013-07-02,91.797,92.407,91.295,91.638
2013-07-03,91.64,91.785,90.144,90.938
2013-07-04,90.935,91.836,90.545,91.498
2013-07-05,91.499,92.19,91.231,91.655
2013-07-08,91.659,92.335,91.375,92.199
2013-07-09,92.198,93.062,92.112,92.534
2013-07-10,92.535,92.711,91.092,91.548
2013-07-11,91.551,91.866,90.087,90.85
2013-07-12,90.849,91.018,89.684,90.229
2013-07-15,90.23,91.502,90.224,91.298
2013-07-16,91.3,91.881,91.3,91.707
2013-07-17,91.706,92.178,91.437,91.711
2013-07-18,91.714,92.406,91.629,91.832
2013-07-19,91.831,92.557,91.592,92.106
2013-07-22,92.105,92.431,91.792,92.288
2013-07-23,92.293,92.723,92.014,92.378
2013-07-24,92.374,92.479,91.42,91.656
