Date,Open,High,Low,Close
2013-01-01,1.25586,1.25753,1.24686,1.25221
2013-01-02,1.25224,1.26408,1.24979,1.25993
2013-01-03,1.25988,1.26781,1.25761,1.26573
2013-01-04,1.26569,1.26768,1.25874,1.26259
2013-01-07,1.26261,1.26356,1.25338,1.25407
2013-01-08,1.25405,1.25699,1.25035,1.2521
2013-01-09,1.25212,1.25632,1.25086,1.25525
2013-01-10,1.25526,1.2563,1.25061,1.25542
2013-01-11,1.25544,1.25983,1.25476,1.25598
2013-01-14,1.25601,1.25764,1.25182,1.25463
2013-01-15,1.25465,1.2594,1.25137,1.25689
2013-01-16,1.25688,1.25844,1.25139,1.2515
2013-01-17,1.25148,1.26526,1.25082,1.25848
2013-01-18,1.25845,1.25957,1.25458,1.2576
2013-01-21,1.25764,1.25883,1.25321,1.25434
2013-01-22,1.25432,1.25673,1.25206,1.25313
2013-01-23,1.25316,1.25382,1.2467,1.24706
2013-01-24,1.2471,1.25043,1.24608,1.24959
2013-01-25,1.24958,1.25007,1.243,1.24664
2013-01-28,1.24667,1.25436,1.2459,1.24826
2013-01-29,1.24823,1.25106,1.24683,1.25104
2013-01-30,1.25105,1.25486,1.24363,1.24425
2013-01-31,1.24428,1.24496,1.23479,1.2349
2013-02-01,1.23486,1.23548,1.22811,1.23223
2013-02-04,1.23225,1.24083,1.23044,1.23495
2013-02-05,1.23498,1.23658,1.22442,1.22524
2013-02-06,1.22527,1.23407,1.22217,1.23331
2013-02-07,1.23336,1.23878,1.23069,1.23117
2013-02-08,1.23119,1.23655,1.23074,1.23557
2013-02-11,1.23554,1.2361,1.22579,1.2261
2013-02-12,1.22608,1.23005,1.22259,1.22903
2013-02-13,1.22893,1.23089,1.21932,1.22142
2013-02-14,1.22145,1.22523,1.21402,1.21782
2013-02-15,1.21779,1.22075,1.2158,1.22021
2013-02-18,1.2202,1.22761,1.21698,1.2233
2013-02-19,1.22328,1.23176,1.21942,1.2308
2013-02-20,1.23079,1.2346,1.226,1.22696
2013-02-21,1.22698,1.23323,1.22591,1.2303
2013-02-22,1.23023,1.23423,1.22761,1.22788
2013-02-25,1.22785,1.23373,1.2256,1.23139
2013-02-26,1.23141,1.24296,1.231,1.23824
2013-02-27,1.23825,1.24017,1.23266,1.23533
2013-02-28,1.23535,1.23932,1.23238,1.23742
2013-03-01,1.2374,1.23913,1.2329,1.23323
2013-03-04,1.2332,1.23556,1.23084,1.2344
2013-03-05,1.23441,1.23802,1.23123,1.23381
2013-03-06,1.2338,1.23846,1.23105,1.23836
2013-03-07,1.23847,1.24173,1.23609,1.24006
2013-03-08,1.24009,1.24833,1.23847,1.24428
2013-03-11,1.24427,1.24772,1.24029,1.24662
2013-03-12,1.24663,1.25313,1.24509,1.25009
2013-03-13,1.25012,1.26768,1.24601,1.26757
2013-03-14,1.26762,1.26801,1.26106,1.26338
2013-03-15,1.26342,1.26396,1.25592,1.25778
2013-03-18,1.25781,1.26194,1.25628,1.2576
2013-03-19,1.25762,1.26127,1.25573,1.26046
2013-03-20,1.26052,1.26379,1.2527,1.25357
2013-03-21,1.25353,1.25612,1.2501,1.2524
2013-03-22,1.25243,1.25489,1.24935,1.25102
2013-03-25,1.25104,1.25428,1.25031,1.25238
2013-03-26,1.25237,1.2551,1.2473,1.24883
2013-03-27,1.24885,1.24999,1.24618,1.24684
2013-03-28,1.24685,1.24727,1.2426,1.24513
2013-03-29,1.2451,1.24633,1.24265,1.2444
2013-04-01,1.24435,1.24634,1.24301,1.24512
2013-04-02,1.24505,1.24523,1.23935,1.24357
2013-04-03,1.24361,1.24591,1.24086,1.24521
2013-04-04,1.24516,1.24525,1.23783,1.2387
2013-04-05,1.23865,1.2412,1.22995,1.23274
2013-04-08,1.23272,1.23278,1.22712,1.22866
2013-04-09,1.22864,1.23498,1.22712,1.23131
2013-04-10,1.23133,1.23216,1.22299,1.22431
2013-04-11,1.2243,1.22493,1.21802,1.22199
2013-04-12,1.22201,1.23083,1.22171,1.22707
2013-04-15,1.2271,1.22928,1.22178,1.22283
2013-04-16,1.22288,1.22563,1.22007,1.22213
2013-04-17,1.22208,1.22466,1.21738,1.21944
2013-04-18,1.21935,1.22488,1.21734,1.22293
2013-04-19,1.22295,1.22407,1.21753,1.21991
2013-04-22,1.21993,1.22072,1.21597,1.21902
2013-04-23,1.21897,1.22313,1.21362,1.21428
2013-04-24,1.21424,1.21623,1.20764,1.20858
2013-04-25,1.20859,1.21151,1.20659,1.20925
2013-04-26,1.20928,1.21315,1.20498,1.2098
2013-04-29,1.20982,1.21206,1.20725,1.20911
2013-04-30,1.2091,1.21232,1.20578,1.20845
2013-05-01,1.20841,1.21268,1.20581,1.20614
2013-05-02,1.20615,1.20972,1.20351,1.20355
2013-05-03,1.20362,1.20918,1.20111,1.20219
2013-05-06,1.20213,1.20576,1.20091,1.20146
2013-05-07,1.20144,1.21535,1.19562,1.21315
2013-05-08,1.21313,1.21647,1.20249,1.21118
2013-05-09,1.21117,1.21168,1.19881,1.20398
2013-05-10,1.204,1.20832,1.2024,1.20446
2013-05-13,1.20447,1.20877,1.20139,1.20383
2013-05-14,1.20385,1.20773,1.20162,1.20387
2013-05-15,1.20389,1.20584,1.19745,1.198
2013-05-16,1.19803,1.206,1.19581,1.20327
2013-05-17,1.20325,1.20727,1.19985,1.20475
2013-05-20,1.20477,1.20514,1.19736,1.19866
2013-05-21,1.19863,1.20253,1.19713,1.1995
2013-05-22,1.19952,1.20242,1.19617,1.20038
2013-05-23,1.20046,1.20154,1.19419,1.19547
2013-05-24,1.19546,1.19762,1.18909,1.19175
2013-05-27,1.19177,1.19356,1.18942,1.19152
2013-05-28,1.1915,1.19406,1.18382,1.18426
2013-05-29,1.18427,1.19448,1.18155,1.19378
2013-05-30,1.19379,1.19848,1.19095,1.19323
2013-05-31,1.19324,1.2092,1.19057,1.20737
2013-06-03,1.20746,1.20988,1.20346,1.2069
2013-06-04,1.20689,1.20774,1.19738,1.19802
2013-06-05,1.19806,1.20106,1.192,1.19294
2013-06-06,1.19297,1.19859,1.1902,1.19178
2013-06-07,1.19176,1.2054,1.19058,1.20037
2013-06-10,1.20038,1.20125,1.19316,1.19402
2013-06-11,1.19405,1.20301,1.19316,1.19782
2013-06-12,1.19783,1.20108,1.18636,1.19368
2013-06-13,1.19369,1.19922,1.18759,1.18933
2013-06-14,1.18936,1.19257,1.18603,1.18946
2013-06-17,1.1895,1.19538,1.18741,1.19155
2013-06-18,1.19153,1.19198,1.18228,1.18699
2013-06-19,1.187,1.18854,1.17484,1.17753
2013-06-20,1.17756,1.18974,1.17539,1.18541
2013-06-21,1.1854,1.19286,1.1843,1.18873
2013-06-24,1.18869,1.19677,1.18531,1.19293
2013-06-25,1.19296,1.19799,1.19117,1.19632
2013-06-26,1.1963,1.19835,1.18798,1.1912
2013-06-27,1.19121,1.19264,1.18443,1.18475
2013-06-28,1.18473,1.18715,1.179,1.18084
2013-07-01,1.18087,1.18316,1.1793,1.18041
2013-07-02,1.18038,1.18229,1.17401,1.17613
2013-07-03,1.17611,1.17652,1.16499,1.17042
2013-07-04,1.17043,1.17213,1.16526,1.16837
2013-07-05,1.16836,1.17867,1.16692,1.17175
2013-07-08,1.17174,1.17444,1.16744,1.16885
2013-07-09,1.16887,1.1709,1.16454,1.16815
2013-07-10,1.16814,1.17442,1.16373,1.16819
2013-07-11,1.16814,1.17489,1.16579,1.16658
2013-07-12,1.16657,1.16712,1.15833,1.16451
2013-07-15,1.16454,1.17228,1.1631,1.17028
2013-07-16,1.17029,1.17357,1.1696,1.17148
2013-07-17,1.17149,1.17317,1.16511,1.16531
2013-07-18,1.16533,1.16613,1.15957,1.16095
