Date,Open,High,Low,Close
2013-01-01,1.03945,1.04923,1.03742,1.04668
2013-01-02,1.04667,1.05228,1.04602,1.04897
2013-01-03,1.04893,1.05266,1.04232,1.04326
2013-01-04,1.04333,1.05119,1.03937,1.04711
2013-01-07,1.04712,1.05158,1.04667,1.04787
2013-01-08,1.04786,1.05227,1.04687,1.05018
2013-01-09,1.05019,1.05531,1.04906,1.05475
2013-01-10,1.05474,1.0598,1.05451,1.0582
2013-01-11,1.05821,1.05869,1.05208,1.05587
2013-01-14,1.0559,1.05766,1.05403,1.05448
2013-01-15,1.05446,1.05792,1.05252,1.05628
2013-01-16,1.0563,1.05757,1.04954,1.05064
2013-01-17,1.05062,1.05571,1.04931,1.05165
2013-01-18,1.05164,1.05279,1.0485,1.05156
2013-01-21,1.05163,1.05578,1.05035,1.05485
2013-01-22,1.05486,1.05776,1.05267,1.05347
2013-01-23,1.05348,1.05666,1.05089,1.05131
2013-01-24,1.05133,1.05278,1.0438,1.04485
2013-01-25,1.04486,1.04677,1.04024,1.0417
2013-01-28,1.04174,1.0452,1.03837,1.04436
2013-01-29,1.04435,1.04757,1.04379,1.04735
2013-01-30,1.04736,1.04746,1.03793,1.03908
2013-01-31,1.03913,1.04503,1.03816,1.03891
2013-02-01,1.03886,1.04333,1.03602,1.04265
2013-02-04,1.04267,1.04569,1.03918,1.03985
2013-02-05,1.03984,1.04225,1.03454,1.03523
2013-02-06,1.03526,1.03573,1.02958,1.03164
2013-02-07,1.03165,1.03379,1.02547,1.02857
2013-02-08,1.02861,1.03474,1.02842,1.03009
2013-02-11,1.03007,1.03022,1.02402,1.02502
2013-02-12,1.02503,1.03605,1.02264,1.03574
2013-02-13,1.03573,1.03719,1.0318,1.03497
2013-02-14,1.03496,1.03739,1.03257,1.03645
2013-02-15,1.03649,1.03695,1.02744,1.0287
2013-02-18,1.02871,1.03304,1.02838,1.03289
2013-02-19,1.03286,1.03666,1.03198,1.03591
2013-02-20,1.0359,1.03665,1.0233,1.02396
2013-02-21,1.02395,1.03227,1.02204,1.03125
2013-02-22,1.03126,1.03395,1.02614,1.02801
2013-02-25,1.02798,1.03274,1.02476,1.02736
2013-02-26,1.02735,1.02856,1.01996,1.02127
2013-02-27,1.02132,1.0285,1.01824,1.02736
2013-02-28,1.02737,1.02891,1.02053,1.02304
2013-03-01,1.02305,1.02407,1.01155,1.01225
2013-03-04,1.01223,1.02417,1.01145,1.02394
2013-03-05,1.02395,1.03003,1.0214,1.02766
2013-03-06,1.02765,1.02926,1.02185,1.02499
2013-03-07,1.02502,1.02891,1.02354,1.02404
2013-03-08,1.02405,1.02832,1.02034,1.02243
2013-03-11,1.02244,1.03116,1.02169,1.02791
2013-03-12,1.0279,1.03346,1.02658,1.03145
