Date,Open,High,Low,Close
2013-01-01,87.248,88.469,87.028,88.193
2013-01-02,88.19,88.675,88.147,88.448
2013-01-03,88.445,88.776,87.961,88.728
2013-01-04,88.73,89.622,88.696,89.086
2013-01-07,89.087,89.123,88.472,88.604
2013-01-08,88.606,88.904,87.968,88.56
2013-01-09,88.559,89.286,88.462,89.268
2013-01-10,89.271,90.842,89.146,90.521
2013-01-11,90.522,91.119,90.207,91.031
2013-01-14,91.03,91.122,90.085,90.456
2013-01-15,90.457,90.515,89.281,89.457
2013-01-16,89.458,90.047,88.943,89.464
2013-01-17,89.464,91.466,89.364,91.161
2013-01-18,91.162,91.33,90.115,90.312
2013-01-21,90.315,90.837,89.608,89.835
2013-01-22,89.834,90.103,88.917,89.154
2013-01-23,89.153,89.363,88.367,89.028
2013-01-24,89.027,90.432,88.987,90.124
2013-01-25,90.123,90.634,89.907,90.279
2013-01-28,90.28,90.504,89.671,90.242
2013-01-29,90.237,90.883,89.758,90.759
2013-01-30,90.758,91.189,90.447,90.503
2013-01-31,90.504,92.473,90.457,92.349
2013-02-01,92.35,93.206,91.808,92.832
2013-02-04,92.833,93.572,92.041,92.428
2013-02-05,92.427,94.214,92.172,94.116
2013-02-06,94.115,94.333,93.404,93.789
2013-02-07,93.79,94.488,93.239,93.673
2013-02-08,93.674,93.708,92.047,92.113
2013-02-11,92.11,94.025,91.979,93.585
2013-02-12,93.586,93.886,92.616,92.703
2013-02-13,92.704,93.48,92.69,93.344
2013-02-14,93.343,93.542,92.194,92.208
2013-02-15,92.209,93.524,92.029,93.323
2013-02-18,93.325,93.425,92.571,92.617
2013-02-19,92.615,92.728,92.131,92.371
2013-02-20,92.37,92.442,91.676,91.762
2013-02-21,91.761,91.916,91.01,91.862
2013-02-22,91.861,92.447,90.846,91.905
2013-02-25,91.904,92.167,88.513,89.783
2013-02-26,89.786,90.052,88.566,89.58
2013-02-27,89.579,90.574,88.723,90.137
2013-02-28,90.138,90.42,89.494,89.959
2013-03-01,89.96,91.171,89.63,90.565
2013-03-04,90.564,91.087,90.427,90.752
2013-03-05,90.753,90.953,90.518,90.735
2013-03-06,90.732,91.233,90.493,90.981
2013-03-07,90.982,92.553,90.979,92.472
2013-03-08,92.473,94.268,92.35,93.545
2013-03-11,93.544,94.221,93.3,93.997
2013-03-12,93.999,94.06,93.031,93.264
2013-03-13,93.263,93.752,93.035,93.369
2013-03-14,93.366,94.141,93.335,94.02
2013-03-15,94.019,94.352,92.009,92.465
2013-03-18,92.469,93.664,92.122,93.49
2013-03-19,93.491,93.558,92.183,92.537
2013-03-20,92.541,93.751,92.441,93.591
2013-03-21,93.593,93.619,92.252,92.704
2013-03-22,92.705,92.893,91.791,92.667
2013-03-25,92.666,93.124,91.444,92.448
2013-03-26,92.446,93.211,92.085,93.211
2013-03-27,93.212,93.259,92.309,92.62
2013-03-28,92.621,92.896,92.276,92.627
2013-03-29,92.626,92.757,92.177,92.39
2013-04-01,92.392,92.43,91.171,91.321
2013-04-02,91.322,92.298,91.278,92.145
2013-04-03,92.141,92.321,91.355,91.519
2013-04-04,91.52,95.912,91.488,95.648
2013-04-05,95.649,97.168,93.898,96.848
2013-04-08,96.847,97.987,96.533,97.655
2013-04-09,97.654,97.838,96.982,97.448
2013-04-10,97.447,98.443,97.441,98.08
2013-04-11,98.077,98.863,97.996,98.434
2013-04-12,98.433,98.514,95.757,95.881
2013-04-15,95.88,96.406,93.449,95.294
2013-04-16,95.293,96.19,95.039,95.95
2013-04-17,95.949,96.249,94.538,95.811
2013-04-18,95.816,96.295,95.31,96.033
2013-04-19,96.035,97.439,95.976,97.366
2013-04-22,97.367,97.376,95.93,96.03
2013-04-23,96.032,97.136,95.781,96.831
2013-04-24,96.83,97.172,96.594,97.147
2013-04-25,97.145,97.569,96.67,97.176
2013-04-26,97.177,97.185,95.813,96.013
2013-04-29,96.014,96.981,96.004,96.781
2013-04-30,96.78,96.888,96.15,96.603
2013-05-01,96.606,97.074,96.17,96.493
2013-05-02,96.498,97.728,96.252,96.856
2013-05-03,96.86,98.433,96.729,98.323
2013-05-06,98.322,98.725,98.137,98.375
2013-05-07,98.376,98.887,98.127,98.521
2013-05-08,98.522,98.748,98.052,98.535
2013-05-09,98.537,100.419,98.299,100.195
2013-05-10,100.193,100.98,100.054,100.582
2013-05-13,100.573,101.032,100.296,100.555
2013-05-14,100.558,100.881,99.991,100.199
