Date,Open,High,Low,Close
2013-01-01,94.759,96.031,94.525,95.609
2013-01-02,95.606,95.949,94.652,94.781
2013-01-03,94.78,94.912,93.974,94.565
2013-01-04,94.564,95.588,94.484,94.939
2013-01-07,94.94,95.349,94.389,94.909
2013-01-08,94.908,95.059,93.927,94.595
2013-01-09,94.594,95.242,94.33,95.106
2013-01-10,95.105,97.722,95.071,97.234
2013-01-11,97.237,98.206,96.771,98.143
2013-01-14,98.141,98.217,96.012,96.314
2013-01-15,96.311,96.383,94.441,94.551
2013-01-16,94.552,95.4,94.352,94.798
2013-01-17,94.799,96.593,94.679,96.006
2013-01-18,96.007,96.692,95.788,95.809
2013-01-21,95.814,96.513,95.549,95.766
2013-01-22,95.767,96.04,94.968,95.253
2013-01-23,95.251,96.012,94.696,95.753
2013-01-24,95.752,97.545,95.734,97.22
2013-01-25,97.221,98.641,97.2,98.084
2013-01-28,98.087,98.208,97.564,97.995
2013-01-29,97.989,98.708,97.721,98.585
2013-01-30,98.584,100.15,98.472,99.868
2013-01-31,99.866,101.346,99.621,101.192
2013-02-01,101.193,102.62,101.138,101.891
2013-02-04,101.896,102.388,101.175,101.474
2013-02-05,101.473,103.65,101.153,103.312
2013-02-06,103.31,103.504,102.113,102.671
2013-02-07,102.675,103.482,101.323,101.897
2013-02-08,101.898,101.927,100.515,100.758
2013-02-11,100.756,102.74,100.736,102.357
2013-02-12,102.36,103.006,101.125,101.232
2013-02-13,101.236,102.269,101.236,101.936
2013-02-14,101.933,102.085,100.052,100.067
2013-02-15,100.068,101.98,99.964,101.636
2013-02-18,101.639,102.155,101.301,101.401
2013-02-19,101.4,101.883,101.059,101.44
2013-02-20,101.436,101.649,100.456,100.592
2013-02-21,100.593,100.77,99.508,100.501
2013-02-22,100.493,101.706,99.938,101.045
2013-02-25,101.042,101.827,97.415,98.978
2013-02-26,98.984,99.324,97.734,98.547
2013-02-27,98.546,99.751,97.949,99.237
2013-02-28,99.234,99.53,98.651,98.949
2013-03-01,98.948,99.435,98.199,99.002
2013-03-04,98.997,99.406,98.883,99.009
2013-03-05,99.012,99.244,98.745,99.018
2013-03-06,99.016,99.286,98.779,98.988
2013-03-07,98.989,101.037,98.953,100.95
2013-03-08,100.949,101.864,100.056,101.061
2013-03-11,101.06,101.991,100.88,101.684
2013-03-12,101.685,101.923,100.864,101.095
2013-03-13,101.094,101.423,100.512,100.704
2013-03-14,100.703,101.596,100.638,101.505
2013-03-15,101.507,102.281,99.595,100.448
2013-03-18,100.451,101.2,99.778,100.93
2013-03-19,100.931,101.215,99.921,100.324
2013-03-20,100.328,101.906,100.22,101.552
2013-03-21,101.551,101.621,99.895,100.313
2013-03-22,100.311,101.362,99.497,100.879
2013-03-25,100.884,101.028,98.559,99.409
2013-03-26,99.408,99.913,99.027,99.88
2013-03-27,99.882,99.945,98.511,98.71
2013-03-28,98.713,99.326,98.326,99.174
2013-03-29,99.175,99.318,98.565,98.776
2013-04-01,98.777,98.826,97.994,98.097
2013-04-02,98.098,98.696,97.952,98.412
2013-04-03,98.411,98.697,98.091,98.294
2013-04-04,98.297,103.322,98.264,103.058
2013-04-05,103.059,105.823,101.92,105.394
2013-04-08,105.396,106.681,105.251,106.385
2013-04-09,106.384,106.608,105.424,106.22
2013-04-10,106.216,107.094,106.187,106.73
2013-04-11,106.729,107.434,106.431,106.97
2013-04-12,106.966,107.098,104.924,105.065
2013-04-15,105.063,105.798,102.873,104.732
2013-04-16,104.731,106.561,104.619,106.291
2013-04-17,106.292,106.758,104.104,105.507
2013-04-18,105.506,105.922,104.94,105.651
2013-04-19,105.652,107.189,105.606,107.071
2013-04-22,107.073,107.078,105.353,105.419
2013-04-23,105.422,105.982,104.582,105.134
2013-04-24,105.132,105.522,104.494,105.064
2013-04-25,105.062,105.275,104.587,105.075
2013-04-26,105.077,105.078,103.383,103.519
2013-04-29,103.524,104.773,103.515,104.469
2013-04-30,104.467,104.976,103.88,104.605
2013-05-01,104.603,105.305,104.585,104.852
2013-05-02,104.854,106.006,104.435,104.836
2013-05-03,104.839,106.375,104.786,105.945
2013-05-06,105.944,106.117,105.318,105.54
2013-05-07,105.541,105.838,104.843,105.36
2013-05-08,105.365,105.876,105.055,105.722
2013-05-09,105.723,106.512,105.338,106.454
2013-05-10,106.456,106.583,105.734,106.179
2013-05-13,106.178,106.636,105.941,106.507
2013-05-14,106.508,106.642,105.636,105.753
2013-05-15,105.751,106.043,105.331,105.801
2013-05-16,105.802,106.371,105.463,105.832
2013-05-17,105.831,106.246,105.081,105.939
2013-05-20,105.935,106.093,105.634,105.911
