Date,Open,High,Low,Close
2013-01-01,1.27005,1.27261,1.2656,1.26661
2013-01-02,1.26659,1.26854,1.25165,1.2521
2013-01-03,1.25212,1.25354,1.2441,1.24897
2013-01-04,1.24891,1.25146,1.24387,1.24491
2013-01-07,1.24489,1.25278,1.24049,1.25171
2013-01-08,1.25172,1.25261,1.24357,1.24469
2013-01-09,1.24467,1.24585,1.23614,1.23647
2013-01-10,1.23648,1.25477,1.23557,1.25271
2013-01-11,1.2527,1.27086,1.2525,1.26802
2013-01-14,1.26801,1.26965,1.26224,1.26637
2013-01-15,1.26635,1.26802,1.25643,1.25794
2013-01-16,1.25793,1.26495,1.25584,1.26394
2013-01-17,1.26397,1.27338,1.2634,1.27256
2013-01-18,1.27258,1.27371,1.2649,1.26661
2013-01-21,1.26662,1.2683,1.26247,1.2646
2013-01-22,1.26454,1.26681,1.25671,1.26323
2013-01-23,1.26322,1.26661,1.25842,1.26606
2013-01-24,1.26604,1.28066,1.26413,1.27855
2013-01-25,1.27853,1.29399,1.27824,1.29174
2013-01-28,1.29167,1.29572,1.28682,1.28823
2013-01-29,1.28826,1.29008,1.28359,1.28754
2013-01-30,1.28753,1.30729,1.28717,1.30552
2013-01-31,1.30549,1.31232,1.29878,1.311
2013-02-01,1.31102,1.31886,1.30566,1.30609
2013-02-04,1.30608,1.30842,1.29011,1.29666
2013-02-05,1.29665,1.31301,1.29184,1.31119
2013-02-06,1.31118,1.31524,1.30834,1.30934
2013-02-07,1.30932,1.3157,1.29576,1.30347
2013-02-08,1.30342,1.30357,1.29313,1.298
2013-02-11,1.29802,1.30754,1.29798,1.30607
2013-02-12,1.30608,1.3144,1.29721,1.29793
2013-02-13,1.29794,1.30892,1.29664,1.29815
2013-02-14,1.29817,1.29905,1.28536,1.28821
2013-02-15,1.2882,1.2986,1.28459,1.29559
2013-02-18,1.29557,1.2993,1.29139,1.29239
2013-02-19,1.29238,1.29833,1.28784,1.29457
2013-02-20,1.29454,1.30165,1.2933,1.29521
2013-02-21,1.2952,1.29545,1.27909,1.2809
2013-02-22,1.28089,1.285,1.2742,1.28273
2013-02-25,1.28275,1.29126,1.26748,1.27035
2013-02-26,1.27036,1.28086,1.26915,1.27887
2013-02-27,1.27885,1.28924,1.2773,1.27882
2013-02-28,1.27876,1.28142,1.27615,1.27769
2013-03-01,1.27774,1.28644,1.27098,1.28548
2013-03-04,1.28549,1.28606,1.27207,1.27261
2013-03-05,1.27262,1.27692,1.26823,1.27042
2013-03-06,1.27043,1.2717,1.26501,1.26738
