Date,Open,High,Low,Close
2013-01-01,1.31142,1.3138,1.30793,1.30961
2013-01-02,1.30962,1.31198,1.29499,1.2953
2013-01-03,1.29527,1.29725,1.28691,1.28822
2013-01-04,1.28821,1.29151,1.28444,1.28785
2013-01-07,1.28784,1.29579,1.28539,1.29462
2013-01-08,1.29461,1.2961,1.28928,1.29079
2013-01-09,1.29077,1.29209,1.28562,1.28724
2013-01-10,1.2872,1.3071,1.28697,1.30352
2013-01-11,1.30354,1.31844,1.30289,1.31713
2013-01-14,1.31712,1.31766,1.31317,1.31413
2013-01-15,1.31412,1.3171,1.30642,1.30875
2013-01-16,1.30873,1.31282,1.30765,1.31097
2013-01-17,1.31098,1.32123,1.31011,1.32069
2013-01-18,1.32072,1.32442,1.31636,1.32034
2013-01-21,1.32029,1.3249,1.31945,1.32323
2013-01-22,1.32322,1.32604,1.31823,1.32087
2013-01-23,1.32089,1.33199,1.31685,1.33168
2013-01-24,1.33165,1.34256,1.32891,1.34037
2013-01-25,1.34038,1.36002,1.34027,1.35679
2013-01-28,1.3568,1.35933,1.35176,1.3533
2013-01-29,1.35333,1.35588,1.34947,1.35109
2013-01-30,1.35098,1.36385,1.35065,1.36109
2013-01-31,1.36107,1.36207,1.35194,1.35863
2013-02-01,1.35864,1.37068,1.35749,1.35857
2013-02-04,1.35858,1.35947,1.34625,1.34725
2013-02-05,1.34724,1.35647,1.34442,1.35305
2013-02-06,1.35306,1.35369,1.34523,1.34569
2013-02-07,1.3457,1.35232,1.33373,1.33782
2013-02-08,1.33784,1.34346,1.33544,1.34331
2013-02-11,1.3433,1.35094,1.34317,1.34719
2013-02-12,1.34718,1.35607,1.34531,1.34695
2013-02-13,1.34697,1.35702,1.34526,1.3457
2013-02-14,1.34568,1.34656,1.33276,1.33577
2013-02-15,1.33579,1.34776,1.33274,1.34309
2013-02-18,1.34306,1.35147,1.34173,1.34934
2013-02-19,1.34936,1.35888,1.3474,1.35683
2013-02-20,1.35678,1.36113,1.3496,1.35074
2013-02-21,1.35072,1.35107,1.34167,1.34247
2013-02-22,1.34245,1.35136,1.34057,1.35
2013-02-25,1.34997,1.36237,1.33665,1.33806
2013-02-26,1.33805,1.34564,1.33449,1.34001
2013-02-27,1.34003,1.34717,1.33895,1.34454
2013-02-28,1.34452,1.34793,1.34065,1.34611
2013-03-01,1.3461,1.34919,1.33392,1.34104
2013-03-04,1.34103,1.34181,1.33567,1.33701
2013-03-05,1.33699,1.34152,1.33668,1.34058
2013-03-06,1.34057,1.34391,1.33766,1.34019
2013-03-07,1.34022,1.35053,1.33876,1.34987
2013-03-08,1.34982,1.35368,1.32765,1.33607
2013-03-11,1.33605,1.33912,1.33412,1.33712
2013-03-12,1.33715,1.34132,1.33476,1.33721
2013-03-13,1.33722,1.34027,1.32768,1.33033
2013-03-14,1.33035,1.33291,1.32431,1.33002
2013-03-15,1.33005,1.3363,1.31802,1.32171
2013-03-18,1.3217,1.32776,1.3184,1.32353
2013-03-19,1.32352,1.32902,1.32027,1.32222
2013-03-20,1.32218,1.3303,1.32146,1.32708
2013-03-21,1.32706,1.32756,1.31733,1.32228
2013-03-22,1.32229,1.33391,1.32004,1.33256
2013-03-25,1.33263,1.33426,1.31155,1.31231
2013-03-26,1.31234,1.31444,1.30587,1.30614
2013-03-27,1.30617,1.30707,1.29642,1.29874
2013-03-28,1.29875,1.30537,1.2968,1.30306
2013-03-29,1.30304,1.30479,1.29971,1.3003
2013-04-01,1.30031,1.30816,1.29951,1.30617
2013-04-02,1.30618,1.30689,1.29836,1.29919
2013-04-03,1.29918,1.30376,1.29771,1.30329
