Date,Open,High,Low,Close
2013-01-01,1.20815,1.20857,1.20701,1.20844
2013-01-02,1.20842,1.21071,1.20787,1.20906
2013-01-03,1.20907,1.21052,1.20827,1.20896
2013-01-04,1.20895,1.20997,1.20822,1.20871
2013-01-07,1.20869,1.2091,1.20827,1.20888
2013-01-08,1.20887,1.20929,1.20857,1.20872
2013-01-09,1.20871,1.20921,1.20851,1.20861
2013-01-10,1.20858,1.21413,1.20853,1.21377
2013-01-11,1.21375,1.22336,1.2128,1.22206
2013-01-14,1.22205,1.23844,1.22124,1.23459
2013-01-15,1.23456,1.24128,1.23061,1.23855
2013-01-16,1.23856,1.24002,1.23327,1.23743
2013-01-17,1.23744,1.25689,1.23699,1.25428
2013-01-18,1.25429,1.25521,1.23887,1.24488
2013-01-21,1.24487,1.24632,1.23924,1.24151
2013-01-22,1.24149,1.24492,1.23394,1.23654
2013-01-23,1.23655,1.24056,1.23249,1.23852
2013-01-24,1.23851,1.24445,1.23732,1.2428
2013-01-25,1.24279,1.25061,1.23804,1.24898
2013-01-28,1.24893,1.25141,1.24518,1.24644
2013-01-29,1.24646,1.24649,1.23997,1.24411
2013-01-30,1.24409,1.24626,1.23355,1.23373
2013-01-31,1.23372,1.24087,1.23296,1.24016
2013-02-01,1.24015,1.24142,1.23059,1.23806
2013-02-04,1.23805,1.23967,1.2259,1.22751
2013-02-05,1.22752,1.23438,1.22563,1.23292
2013-02-06,1.23294,1.23685,1.22849,1.22957
2013-02-07,1.22958,1.23322,1.22759,1.23018
2013-02-08,1.23014,1.23103,1.22553,1.22834
2013-02-11,1.22833,1.2345,1.22599,1.23193
2013-02-12,1.23192,1.23557,1.22848,1.23377
2013-02-13,1.23374,1.23863,1.23254,1.23269
2013-02-14,1.23268,1.23479,1.228,1.23114
2013-02-15,1.23113,1.23401,1.22848,1.23348
2013-02-18,1.23352,1.23454,1.23108,1.23275
2013-02-19,1.23276,1.23594,1.23173,1.23581
2013-02-20,1.23579,1.23583,1.23101,1.23244
2013-02-21,1.23243,1.23252,1.22689,1.22737
2013-02-22,1.22738,1.2307,1.22575,1.22816
2013-02-25,1.22815,1.23247,1.21195,1.21401
2013-02-26,1.21404,1.21968,1.21244,1.21837
2013-02-27,1.21838,1.22283,1.2168,1.22154
2013-02-28,1.22156,1.22423,1.2188,1.22412
2013-03-01,1.22413,1.22909,1.22292,1.2271
2013-03-04,1.22712,1.22753,1.22384,1.2258
2013-03-05,1.22577,1.22952,1.22572,1.22876
2013-03-06,1.22877,1.23228,1.22868,1.23205
2013-03-07,1.23204,1.2372,1.23119,1.23683
2013-03-08,1.23684,1.239,1.23512,1.23698
2013-03-11,1.23696,1.23809,1.23453,1.23638
2013-03-12,1.23639,1.23652,1.23217,1.23399
2013-03-13,1.23393,1.23493,1.23048,1.23372
2013-03-14,1.23373,1.23693,1.23091,1.23223
2013-03-15,1.23221,1.23347,1.217,1.21704
2013-03-18,1.21703,1.22877,1.21687,1.22625
2013-03-19,1.22623,1.22671,1.21775,1.21981
2013-03-20,1.21984,1.22345,1.21969,1.22337
2013-03-21,1.22334,1.22372,1.2194,1.22221
2013-03-22,1.2222,1.22539,1.21997,1.22438
2013-03-25,1.22439,1.2248,1.21824,1.22064
2013-03-26,1.22062,1.22179,1.21898,1.21924
2013-03-27,1.21925,1.21969,1.21693,1.21888
2013-03-28,1.21893,1.22012,1.21563,1.21709
2013-03-29,1.2171,1.21738,1.2161,1.21645
2013-04-01,1.21646,1.2178,1.21589,1.21634
2013-04-02,1.21633,1.21784,1.21359,1.21673
2013-04-03,1.21673,1.2183,1.21314,1.21375
2013-04-04,1.21373,1.21718,1.21328,1.21546
2013-04-05,1.21545,1.2171,1.21298,1.21386
2013-04-08,1.21387,1.21815,1.21351,1.21773
2013-04-09,1.21774,1.22118,1.21735,1.21951
2013-04-10,1.21949,1.22025,1.21768,1.21832
2013-04-11,1.21831,1.22038,1.21814,1.21892
2013-04-12,1.21893,1.21916,1.21521,1.21552
2013-04-15,1.21554,1.21728,1.21367,1.21506
2013-04-16,1.21507,1.21706,1.21483,1.21617
2013-04-17,1.21616,1.21647,1.21385,1.21571
2013-04-18,1.21573,1.21738,1.21508,1.21709
2013-04-19,1.21708,1.21914,1.21627,1.21884
2013-04-22,1.21885,1.22077,1.21795,1.22005
2013-04-23,1.22007,1.22959,1.21901,1.22916
2013-04-24,1.22917,1.23435,1.22629,1.23403
2013-04-25,1.23404,1.23484,1.22826,1.22952
2013-04-26,1.22953,1.23114,1.22499,1.22872
2013-04-29,1.2287,1.23069,1.22629,1.22761
2013-04-30,1.2276,1.22778,1.22281,1.22352
2013-05-01,1.22356,1.22629,1.22151,1.22208
2013-05-02,1.22207,1.2259,1.21963,1.22161
2013-05-03,1.2216,1.22752,1.2216,1.22721
2013-05-06,1.22723,1.22905,1.22589,1.22726
2013-05-07,1.22727,1.23371,1.22549,1.23052
2013-05-08,1.23053,1.23482,1.22951,1.22976
2013-05-09,1.22975,1.24079,1.2282,1.23721
2013-05-10,1.23722,1.24607,1.23615,1.24398
2013-05-13,1.24396,1.24433,1.23954,1.2407
2013-05-14,1.24069,1.25021,1.2386,1.24923
2013-05-15,1.24924,1.25242,1.24227,1.24307
2013-05-16,1.24308,1.24829,1.2383,1.24295
2013-05-17,1.24296,1.24925,1.24152,1.24469
2013-05-20,1.24464,1.24829,1.24349,1.24734
2013-05-21,1.24735,1.25337,1.24507,1.2523
2013-05-22,1.25229,1.26491,1.25143,1.25776
2013-05-23,1.25772,1.25828,1.24194,1.25122
2013-05-24,1.25121,1.25461,1.24064,1.24474
2013-05-27,1.24476,1.24835,1.24092,1.24793
2013-05-28,1.24782,1.25719,1.24766,1.25372
2013-05-29,1.25373,1.25718,1.24357,1.24404
2013-05-30,1.24405,1.24923,1.24206,1.244
2013-05-31,1.24402,1.24606,1.23794,1.24491
2013-06-03,1.24493,1.24862,1.2331,1.23931
2013-06-04,1.23929,1.2429,1.2377,1.24004
2013-06-05,1.24003,1.24035,1.23087,1.23358
2013-06-06,1.23356,1.23866,1.22729,1.22888
2013-06-07,1.22891,1.23833,1.22699,1.23656
2013-06-10,1.23653,1.24185,1.23636,1.23708
2013-06-11,1.23707,1.23839,1.22399,1.22944
2013-06-12,1.22942,1.23339,1.22544,1.22575
2013-06-13,1.22576,1.23383,1.22224,1.23323
2013-06-14,1.23322,1.23346,1.22768,1.23087
2013-06-17,1.23088,1.23631,1.23007,1.23274
2013-06-18,1.23275,1.23565,1.22915,1.2313
2013-06-19,1.23128,1.23631,1.23003,1.23227
2013-06-20,1.23226,1.23466,1.22418,1.22488
2013-06-21,1.22487,1.22855,1.22477,1.22717
2013-06-24,1.22716,1.22767,1.22185,1.22349
2013-06-25,1.22348,1.22964,1.22348,1.22603
2013-06-26,1.22602,1.22734,1.22397,1.22644
2013-06-27,1.22645,1.23375,1.2262,1.23307
