Date,Open,High,Low,Close
2013-01-01,7.46021,7.46031,7.46016,7.46029
2013-01-02,7.46026,7.46069,7.45942,7.46025
2013-01-03,7.46023,7.4603,7.4587,7.4591
2013-01-04,7.45912,7.45961,7.45831,7.4589
2013-01-07,7.45893,7.46028,7.45833,7.4601
2013-01-08,7.46011,7.46054,7.45933,7.46
2013-01-09,7.45998,7.46067,7.4599,7.46035
2013-01-10,7.46033,7.46154,7.46013,7.461
2013-01-11,7.46094,7.4622,7.46051,7.4617
2013-01-14,7.46175,7.4626,7.46158,7.46212
2013-01-15,7.46214,7.46252,7.46154,7.46185
2013-01-16,7.4618,7.46243,7.4616,7.46208
2013-01-17,7.46206,7.46273,7.46175,7.46265
2013-01-18,7.46263,7.46358,7.4623,7.46303
2013-01-21,7.46301,7.46355,7.46259,7.46285
2013-01-22,7.46286,7.4634,7.46271,7.46285
2013-01-23,7.46286,7.4632,7.46149,7.46194
2013-01-24,7.46196,7.46284,7.46078,7.46098
2013-01-25,7.46106,7.46252,7.4608,7.46209
2013-01-28,7.46204,7.4623,7.45975,7.46051
2013-01-29,7.46053,7.46056,7.45877,7.45943
2013-01-30,7.45963,7.46091,7.45886,7.46025
2013-01-31,7.46022,7.46122,7.45965,7.46038
2013-02-01,7.46046,7.4619,7.45982,7.46035
2013-02-04,7.46032,7.46064,7.45935,7.45957
2013-02-05,7.45955,7.45985,7.45879,7.45922
2013-02-06,7.4592,7.4597,7.45864,7.45877
2013-02-07,7.45879,7.4609,7.45868,7.45995
2013-02-08,7.45997,7.46214,7.45955,7.46143
2013-02-11,7.46138,7.46173,7.46064,7.46155
2013-02-12,7.46156,7.46182,7.46059,7.46118
2013-02-13,7.4607,7.46211,7.4607,7.4616
2013-02-14,7.46151,7.46205,7.4588,7.45888
2013-02-15,7.4589,7.45976,7.45695,7.4596
2013-02-18,7.45959,7.46001,7.45839,7.4586
2013-02-19,7.45863,7.45993,7.4583,7.45985
2013-02-20,7.45981,7.46198,7.45903,7.45945
2013-02-21,7.45943,7.45999,7.45879,7.4594
2013-02-22,7.45939,7.46059,7.45899,7.46058
2013-02-25,7.46053,7.46134,7.45923,7.4603
2013-02-26,7.46011,7.46039,7.45539,7.4564
2013-02-27,7.45641,7.45747,7.45568,7.45675
2013-02-28,7.45676,7.45742,7.4539,7.4573
2013-03-01,7.45736,7.4575,7.45418,7.4552
2013-03-04,7.45525,7.45615,7.45458,7.45523
2013-03-05,7.45526,7.45608,7.45495,7.45543
2013-03-06,7.4554,7.4563,7.45486,7.45558
2013-03-07,7.45556,7.45573,7.4539,7.45423
2013-03-08,7.4542,7.45861,7.4542,7.4573
2013-03-11,7.45729,7.45785,7.45617,7.45745
2013-03-12,7.4574,7.4584,7.4569,7.45768
2013-03-13,7.45772,7.45775,7.45632,7.45716
2013-03-14,7.4571,7.45782,7.45678,7.45733
2013-03-15,7.45732,7.45812,7.45655,7.4566
2013-03-18,7.4567,7.45698,7.45392,7.4548
2013-03-19,7.4549,7.45628,7.44956,7.45315
2013-03-20,7.45314,7.454,7.45156,7.45298
2013-03-21,7.45311,7.45338,7.45118,7.45233
2013-03-22,7.45238,7.45362,7.45149,7.45272
2013-03-25,7.4527,7.45473,7.45089,7.4522
2013-03-26,7.45212,7.45601,7.45155,7.45331
2013-03-27,7.45332,7.4536,7.45191,7.45311
2013-03-28,7.45313,7.45664,7.45281,7.45509
2013-03-29,7.45507,7.4564,7.45443,7.45482
2013-04-01,7.45484,7.45548,7.45463,7.45518
2013-04-02,7.45531,7.45629,7.45376,7.45425
2013-04-03,7.4543,7.45436,7.45245,7.45261
2013-04-04,7.45258,7.45471,7.45238,7.45441
2013-04-05,7.45447,7.4551,7.45381,7.45441
2013-04-08,7.45445,7.45448,7.45348,7.4542
2013-04-09,7.45423,7.45707,7.4541,7.45655
2013-04-10,7.45647,7.45662,7.4554,7.45614
2013-04-11,7.45615,7.45686,7.45543,7.456
2013-04-12,7.45598,7.45705,7.45317,7.45605
2013-04-15,7.45606,7.45626,7.45537,7.45591
2013-04-16,7.45592,7.45621,7.45487,7.45569
2013-04-17,7.45565,7.45797,7.45392,7.455
2013-04-18,7.45501,7.45666,7.45388,7.45521
2013-04-19,7.45515,7.456,7.45245,7.4548
2013-04-22,7.45485,7.45561,7.45288,7.454
2013-04-23,7.45402,7.45579,7.45378,7.4549
2013-04-24,7.455,7.45794,7.45438,7.45705
2013-04-25,7.45704,7.45755,7.4552,7.45578
2013-04-26,7.45575,7.45642,7.45531,7.45599
2013-04-29,7.45595,7.4568,7.45505,7.45583
2013-04-30,7.4558,7.45715,7.45488,7.45545
2013-05-01,7.45553,7.4566,7.455,7.45583
2013-05-02,7.45579,7.45629,7.45233,7.45459
2013-05-03,7.45455,7.45598,7.45256,7.45312
2013-05-06,7.45304,7.45375,7.45205,7.45236
2013-05-07,7.45246,7.45285,7.4516,7.4524
2013-05-08,7.45239,7.45424,7.45122,7.45304
2013-05-09,7.45308,7.45356,7.4524,7.45268
2013-05-10,7.45266,7.45572,7.45239,7.45485
2013-05-13,7.45482,7.45575,7.45243,7.45253
2013-05-14,7.45255,7.45362,7.45237,7.45345
2013-05-15,7.45345,7.45452,7.45238,7.45238
2013-05-16,7.45244,7.45325,7.45231,7.45278
2013-05-17,7.45278,7.45309,7.45125,7.4524
2013-05-20,7.45243,7.4527,7.45138,7.45218
2013-05-21,7.45215,7.45288,7.45136,7.4526
2013-05-22,7.4527,7.45372,7.45194,7.45348
2013-05-23,7.4533,7.4545,7.45284,7.45414
2013-05-24,7.45408,7.45468,7.45278,7.45378
2013-05-27,7.45375,7.45393,7.45161,7.45322
2013-05-28,7.45325,7.4537,7.45187,7.45252
2013-05-29,7.45244,7.45472,7.45229,7.45428
2013-05-30,7.45425,7.45482,7.45384,7.4545
2013-05-31,7.45448,7.4558,7.45417,7.45485
2013-06-03,7.45486,7.45521,7.4535,7.45443
2013-06-04,7.45438,7.45473,7.45272,7.4542
2013-06-05,7.45413,7.45472,7.45398,7.45448
2013-06-06,7.45449,7.45669,7.45401,7.45533
2013-06-07,7.45538,7.45839,7.45416,7.45515
2013-06-10,7.45518,7.45661,7.4518,7.45543
2013-06-11,7.45553,7.45798,7.45536,7.45729
2013-06-12,7.45719,7.4586,7.4566,7.45837
2013-06-13,7.4583,7.4594,7.45812,7.45883
2013-06-14,7.45878,7.45885,7.45763,7.45835
2013-06-17,7.45825,7.45935,7.4578,7.45855
2013-06-18,7.45856,7.46055,7.45809,7.4601
2013-06-19,7.45995,7.45996,7.4586,7.45889
2013-06-20,7.45885,7.4589,7.4578,7.45865
2013-06-21,7.45871,7.45933,7.45713,7.45865
2013-06-24,7.45851,7.45959,7.45759,7.45959
2013-06-25,7.45935,7.4596,7.45756,7.4587
2013-06-26,7.45866,7.46011,7.45819,7.459
2013-06-27,7.45902,7.4594,7.45827,7.45855
2013-06-28,7.45852,7.45892,7.45802,7.4584
2013-07-01,7.45835,7.45904,7.45809,7.4586
2013-07-02,7.45863,7.46023,7.45835,7.45965
2013-07-03,7.45968,7.46056,7.45946,7.4602
2013-07-04,7.46022,7.4605,7.45879,7.459
2013-07-05,7.45904,7.45969,7.4583,7.459
2013-07-08,7.45896,7.45927,7.45785,7.45855
2013-07-09,7.45848,7.45922,7.4583,7.4585
2013-07-10,7.45855,7.46059,7.45747,7.4596
2013-07-11,7.45964,7.45995,7.4575,7.45805
2013-07-12,7.45808,7.45845,7.45705,7.45825
2013-07-15,7.45804,7.45815,7.45675,7.45715
2013-07-16,7.4572,7.45797,7.45639,7.45725
2013-07-17,7.4569,7.45847,7.4567,7.45745
2013-07-18,7.45728,7.45765,7.4568,7.45694
2013-07-19,7.457,7.4584,7.4564,7.45669
2013-07-22,7.45709,7.45944,7.45648,7.4586
2013-07-23,7.4585,7.4587,7.4575,7.45811
2013-07-24,7.45803,7.45831,7.45688,7.45775
2013-07-25,7.4578,7.4578,7.4558,7.45624
2013-07-26,7.45615,7.45674,7.455,7.45575
2013-07-29,7.45576,7.45645,7.45442,7.4546
2013-07-30,7.45458,7.45517,7.4543,7.45432
2013-07-31,7.45457,7.45569,7.45384,7.45525
2013-08-01,7.45524,7.45525,7.45387,7.45475
2013-08-02,7.45473,7.45564,7.45407,7.455
2013-08-05,7.45498,7.4556,7.45423,7.45515
2013-08-06,7.45516,7.45673,7.45465,7.4564
2013-08-07,7.45615,7.45761,7.456,7.4566
2013-08-08,7.45668,7.45801,7.45645,7.4577
2013-08-09,7.45775,7.45972,7.45653,7.45898
2013-08-12,7.459,7.45965,7.4585,7.4593
2013-08-13,7.45935,7.45958,7.45849,7.45895
2013-08-14,7.45894,7.45903,7.45725,7.4577
2013-08-15,7.45773,7.45825,7.45679,7.4574
2013-08-16,7.45759,7.4583,7.4565,7.45685
2013-08-19,7.45675,7.45877,7.45587,7.4586
2013-08-20,7.45861,7.45927,7.45728,7.4589
2013-08-21,7.45895,7.45913,7.45738,7.4582
2013-08-22,7.45819,7.45962,7.45783,7.45955
2013-08-23,7.45915,7.4594,7.45739,7.4591
2013-08-26,7.45909,7.45952,7.458,7.4594
2013-08-27,7.45936,7.45983,7.45848,7.45969
2013-08-28,7.45975,7.45978,7.45859,7.45917
2013-08-29,7.45913,7.45949,7.45757,7.45875
2013-08-30,7.45884,7.46031,7.45841,7.45935
2013-09-02,7.45937,7.45967,7.458,7.4593
2013-09-03,7.45932,7.4596,7.45852,7.4594
2013-09-04,7.45945,7.45952,7.45736,7.45885
2013-09-05,7.4589,7.45914,7.45734,7.45815
2013-09-06,7.45824,7.45939,7.45782,7.4588
2013-09-09,7.45885,7.4591,7.45825,7.45844
2013-09-10,7.45851,7.45881,7.45786,7.45866
2013-09-11,7.45863,7.45913,7.45739,7.45825
2013-09-12,7.45824,7.45825,7.45689,7.4574
