Date,Open,High,Low,Close
2013-01-01,0.81201,0.81514,0.81109,0.81248
2013-01-02,0.81244,0.81481,0.80938,0.80976
2013-01-03,0.80975,0.81197,0.80848,0.81075
2013-01-04,0.8107,0.81426,0.80961,0.813
2013-01-07,0.81297,0.81509,0.8104,0.81429
2013-01-08,0.8143,0.81604,0.81393,0.81483
2013-01-09,0.81485,0.81617,0.8133,0.81463
2013-01-10,0.81464,0.82136,0.81449,0.82093
2013-01-11,0.82092,0.82975,0.82059,0.82946
2013-01-14,0.82945,0.83249,0.82798,0.83074
2013-01-15,0.8307,0.83238,0.8265,0.82742
2013-01-16,0.82741,0.83176,0.827,0.83032
2013-01-17,0.83031,0.83765,0.82994,0.83743
2013-01-18,0.83744,0.84055,0.83547,0.83935
2013-01-21,0.83933,0.84231,0.8377,0.84136
2013-01-22,0.84135,0.84397,0.83633,0.84061
2013-01-23,0.84064,0.84195,0.83784,0.84086
2013-01-24,0.84085,0.848,0.83901,0.8471
2013-01-25,0.84711,0.85428,0.84694,0.85372
2013-01-28,0.85371,0.85855,0.85312,0.85678
2013-01-29,0.85679,0.8568,0.85271,0.8563
2013-01-30,0.85629,0.86058,0.85597,0.85845
2013-01-31,0.85844,0.8588,0.85532,0.85833
2013-02-01,0.85832,0.87159,0.85778,0.86752
2013-02-04,0.86751,0.86823,0.85609,0.85611
2013-02-05,0.8561,0.86865,0.85535,0.86688
2013-02-06,0.86687,0.86738,0.86145,0.86256
2013-02-07,0.86257,0.86629,0.85153,0.85253
2013-02-08,0.85254,0.85301,0.84457,0.84636
2013-02-11,0.84635,0.8573,0.8463,0.85518
2013-02-12,0.85517,0.86301,0.85396,0.85723
2013-02-13,0.85725,0.86832,0.85708,0.86565
2013-02-14,0.86574,0.86655,0.85836,0.86056
2013-02-15,0.86055,0.86323,0.85735,0.86094
2013-02-18,0.86093,0.86472,0.86048,0.86289
2013-02-19,0.8629,0.86999,0.85998,0.86865
2013-02-20,0.86863,0.87637,0.86833,0.87206
2013-02-21,0.87205,0.87578,0.8623,0.86376
2013-02-22,0.86375,0.87672,0.86039,0.87194
2013-02-25,0.87192,0.88141,0.85754,0.85886
2013-02-26,0.85884,0.86526,0.85753,0.86446
2013-02-27,0.86445,0.86783,0.86219,0.86664
2013-02-28,0.86663,0.86729,0.86007,0.86181
2013-03-01,0.86182,0.86838,0.86084,0.86562
2013-03-04,0.86563,0.86617,0.86082,0.86174
2013-03-05,0.86173,0.86345,0.85877,0.86272
2013-03-06,0.86271,0.86678,0.86241,0.86601
2013-03-07,0.86599,0.87354,0.86362,0.87331
2013-03-08,0.8733,0.87424,0.86753,0.87151
2013-03-11,0.8715,0.87479,0.87018,0.87454
2013-03-12,0.87455,0.87927,0.87177,0.87271
2013-03-13,0.87275,0.87416,0.86623,0.86702
2013-03-14,0.86704,0.86817,0.86108,0.8625
2013-03-15,0.86249,0.86581,0.85306,0.85446
2013-03-18,0.85445,0.85904,0.85342,0.8578
2013-03-19,0.85779,0.85859,0.85041,0.85314
2013-03-20,0.85315,0.86009,0.85197,0.85608
2013-03-21,0.85605,0.85665,0.84888,0.8504
2013-03-22,0.85038,0.85574,0.84837,0.85459
2013-03-25,0.85462,0.85604,0.84573,0.84744
2013-03-26,0.84743,0.84977,0.84585,0.84728
2013-03-27,0.84731,0.84807,0.84358,0.84424
2013-03-28,0.84426,0.84753,0.84147,0.84334
2013-03-29,0.84333,0.84424,0.84111,0.84179
2013-04-01,0.8418,0.84472,0.84103,0.84395
2013-04-02,0.84396,0.8493,0.84246,0.84869
2013-04-03,0.8487,0.84937,0.8468,0.84894
2013-04-04,0.84893,0.85204,0.84345,0.849
2013-04-05,0.84901,0.85152,0.84623,0.84726
2013-04-08,0.84724,0.85589,0.84654,0.85436
2013-04-09,0.85435,0.85511,0.85065,0.85348
2013-04-10,0.85346,0.85593,0.85112,0.85182
2013-04-11,0.85183,0.85346,0.85036,0.85167
2013-04-12,0.85166,0.85483,0.84891,0.85349
2013-04-15,0.85351,0.85482,0.85197,0.85354
2013-04-16,0.85355,0.86011,0.85222,0.85768
2013-04-17,0.85769,0.86361,0.85328,0.85565
2013-04-18,0.85564,0.85731,0.85287,0.8542
2013-04-19,0.85419,0.85893,0.85026,0.85819
2013-04-22,0.85818,0.85886,0.85353,0.85426
2013-04-23,0.85427,0.85676,0.85098,0.85263
2013-04-24,0.85265,0.85372,0.84962,0.85131
2013-04-25,0.8513,0.85321,0.84089,0.84334
2013-04-26,0.84333,0.84468,0.8397,0.84063
2013-04-29,0.84062,0.84573,0.84039,0.84566
2013-04-30,0.84563,0.84842,0.8424,0.84746
2013-05-01,0.84743,0.84966,0.84592,0.84684
2013-05-02,0.84686,0.84812,0.84039,0.842
2013-05-03,0.84201,0.84488,0.84056,0.84214
2013-05-06,0.84216,0.84372,0.83999,0.84131
2013-05-07,0.8413,0.84662,0.84091,0.84558
2013-05-08,0.84557,0.8488,0.84542,0.84701
2013-05-09,0.847,0.84712,0.84299,0.84427
2013-05-10,0.84428,0.84601,0.843,0.84503
2013-05-13,0.84504,0.85037,0.84305,0.84935
2013-05-14,0.84934,0.85156,0.84732,0.84936
2013-05-15,0.8494,0.84954,0.84346,0.84534
2013-05-16,0.84536,0.84633,0.84198,0.84354
2013-05-17,0.84354,0.84621,0.84294,0.84493
2013-05-20,0.84494,0.8469,0.84396,0.84494
2013-05-21,0.84492,0.8528,0.84472,0.8527
2013-05-22,0.85269,0.85892,0.85177,0.85461
2013-05-23,0.85459,0.85697,0.85313,0.85659
2013-05-24,0.85662,0.85963,0.85344,0.85443
2013-05-27,0.85442,0.85719,0.85395,0.85505
2013-05-28,0.85506,0.8561,0.85417,0.85525
2013-05-29,0.85524,0.85938,0.85398,0.85608
2013-05-30,0.85609,0.8598,0.85443,0.85607
2013-05-31,0.85606,0.85772,0.85276,0.85512
2013-06-03,0.8551,0.85516,0.85016,0.85256
2013-06-04,0.85259,0.85578,0.85218,0.85415
2013-06-05,0.85414,0.8543,0.84911,0.8501
2013-06-06,0.85009,0.85198,0.84759,0.84992
2013-06-07,0.84991,0.85261,0.84857,0.85019
2013-06-10,0.85018,0.85187,0.84893,0.8516
2013-06-11,0.85159,0.85502,0.85,0.85081
2013-06-12,0.85082,0.85233,0.84677,0.85162
2013-06-13,0.85159,0.85407,0.84752,0.85021
2013-06-14,0.85022,0.8534,0.84808,0.84832
2013-06-17,0.84834,0.85068,0.84746,0.85019
2013-06-18,0.85018,0.85836,0.84999,0.8563
2013-06-19,0.85631,0.85895,0.85429,0.85863
2013-06-20,0.85862,0.85891,0.85166,0.85325
2013-06-21,0.85323,0.8551,0.85044,0.85145
2013-06-24,0.85146,0.85413,0.84818,0.84954
2013-06-25,0.84956,0.85112,0.8471,0.84726
2013-06-26,0.84725,0.84984,0.84682,0.8493
2013-06-27,0.84931,0.85624,0.84927,0.85566
2013-06-28,0.85565,0.85895,0.85452,0.85594
2013-07-01,0.85596,0.85927,0.85468,0.85849
2013-07-02,0.8585,0.85931,0.85539,0.8562
2013-07-03,0.85619,0.8574,0.84811,0.85138
2013-07-04,0.85137,0.86316,0.85101,0.85739
2013-07-05,0.85738,0.86286,0.85658,0.86187
2013-07-08,0.86189,0.86266,0.86006,0.86076
2013-07-09,0.86072,0.86679,0.85856,0.85931
2013-07-10,0.85929,0.8693,0.85744,0.86676
2013-07-11,0.86675,0.86716,0.86102,0.86192
2013-07-12,0.86193,0.86535,0.86124,0.86426
2013-07-15,0.86425,0.86638,0.86302,0.86514
2013-07-16,0.86511,0.87062,0.86417,0.86909
2013-07-17,0.86908,0.87099,0.86142,0.8627
2013-07-18,0.86271,0.86462,0.85994,0.86227
2013-07-19,0.86226,0.86285,0.8589,0.86052
2013-07-22,0.86053,0.86109,0.85815,0.85856
2013-07-23,0.85857,0.86076,0.85813,0.85986
2013-07-24,0.85987,0.8628,0.85866,0.8615
2013-07-25,0.86149,0.8643,0.85869,0.86263
2013-07-26,0.86264,0.86373,0.86057,0.86323
2013-07-29,0.86324,0.8649,0.86206,0.86476
2013-07-30,0.86475,0.87086,0.86414,0.87056
2013-07-31,0.87055,0.87683,0.87014,0.8755
2013-08-01,0.87549,0.87592,0.86795,0.87357
2013-08-02,0.87356,0.87437,0.86766,0.86925
2013-08-05,0.86926,0.86957,0.86302,0.86384
2013-08-06,0.86382,0.86784,0.86179,0.86747
2013-08-07,0.86748,0.87308,0.85777,0.86055
2013-08-08,0.86054,0.86217,0.85922,0.86119
2013-08-09,0.86118,0.86177,0.85898,0.85994
2013-08-12,0.85995,0.8609,0.85795,0.86066
2013-08-13,0.86064,0.8609,0.85344,0.8586
2013-08-14,0.85862,0.8598,0.85272,0.8564
2013-08-15,0.85639,0.85643,0.85041,0.85364
2013-08-16,0.85362,0.85537,0.85228,0.85289
2013-08-19,0.85287,0.8538,0.85113,0.85301
2013-08-20,0.85302,0.85769,0.85163,0.85682
2013-08-21,0.85681,0.85691,0.85087,0.85485
2013-08-22,0.85488,0.85768,0.85373,0.85648
2013-08-23,0.85647,0.86025,0.85409,0.85941
2013-08-26,0.8594,0.85956,0.85763,0.85896
2013-08-27,0.85895,0.86231,0.85801,0.8617
2013-08-28,0.86171,0.86511,0.85712,0.85787
2013-08-29,0.85788,0.85826,0.85283,0.85338
2013-08-30,0.8534,0.85519,0.84851,0.84879
2013-09-02,0.84878,0.85031,0.8471,0.84785
2013-09-03,0.84783,0.84811,0.84453,0.84592
2013-09-04,0.84591,0.84622,0.84256,0.84459
2013-09-05,0.84457,0.84641,0.84074,0.8412
2013-09-06,0.84119,0.84345,0.83912,0.8419
2013-09-09,0.84191,0.84488,0.84094,0.84448
2013-09-10,0.84447,0.84523,0.84222,0.84312
2013-09-11,0.84313,0.84358,0.83824,0.84167
2013-09-12,0.84166,0.84247,0.83921,0.84102
2013-09-13,0.84103,0.84118,0.83558,0.83769
2013-09-16,0.8377,0.83904,0.83699,0.83861
2013-09-17,0.83867,0.84105,0.83788,0.83964
2013-09-18,0.83963,0.83976,0.83516,0.8389
2013-09-19,0.83891,0.84417,0.83829,0.8436
2013-09-20,0.84361,0.84627,0.84209,0.84428
2013-09-23,0.84429,0.84468,0.84024,0.84176
2013-09-24,0.84177,0.84479,0.84148,0.84252
2013-09-25,0.84251,0.84457,0.83969,0.84096
2013-09-26,0.84095,0.84281,0.83936,0.84014
2013-09-27,0.84013,0.84188,0.83396,0.83513
2013-09-30,0.83512,0.83877,0.83319,0.83321
2013-10-01,0.83322,0.83665,0.83322,0.83586
2013-10-02,0.83585,0.8387,0.83332,0.83781
2013-10-03,0.83782,0.84382,0.83769,0.84239
2013-10-04,0.8424,0.84748,0.84214,0.84604
2013-10-07,0.84603,0.84648,0.84285,0.84344
2013-10-08,0.84345,0.8468,0.84243,0.84424
2013-10-09,0.84423,0.84861,0.84286,0.84746
2013-10-10,0.84744,0.84917,0.84635,0.8471
2013-10-11,0.84713,0.85086,0.84608,0.8486
2013-10-14,0.84857,0.8495,0.84772,0.84792
2013-10-15,0.84791,0.84932,0.84445,0.84609
2013-10-16,0.84611,0.84887,0.84293,0.84773
2013-10-17,0.84772,0.84952,0.84486,0.84606
2013-10-18,0.84607,0.84689,0.84407,0.84615
2013-10-21,0.84614,0.84781,0.84498,0.84754
2013-10-22,0.84753,0.84982,0.84715,0.84843
2013-10-23,0.84844,0.85305,0.84832,0.85135
2013-10-24,0.85133,0.85543,0.85065,0.85142
2013-10-25,0.85141,0.85419,0.85037,0.85325
2013-10-28,0.85324,0.85709,0.85187,0.85598
2013-10-29,0.85597,0.85842,0.85447,0.8567
2013-10-30,0.85672,0.85767,0.85565,0.85581
2013-10-31,0.85578,0.85584,0.84511,0.84538
2013-11-01,0.84539,0.84758,0.84437,0.84638
2013-11-04,0.84637,0.84758,0.84487,0.84534
2013-11-05,0.84535,0.8457,0.83842,0.8394
2013-11-06,0.83942,0.84153,0.83777,0.84041
2013-11-07,0.8404,0.84108,0.82994,0.83323
2013-11-08,0.83322,0.83614,0.83226,0.83431
2013-11-11,0.83428,0.8395,0.83406,0.83796
2013-11-12,0.83797,0.84626,0.83764,0.84615
2013-11-13,0.84613,0.84616,0.83756,0.83998
2013-11-14,0.83997,0.84147,0.83604,0.83718
2013-11-15,0.83715,0.83859,0.83571,0.83637
2013-11-18,0.83636,0.83992,0.8361,0.83871
2013-11-19,0.8387,0.84138,0.83805,0.8409
2013-11-20,0.84092,0.84116,0.83244,0.8344
2013-11-21,0.83441,0.83565,0.8317,0.83178
2013-11-22,0.83177,0.83609,0.83159,0.83472
2013-11-25,0.83474,0.83773,0.834,0.83752
2013-11-26,0.83754,0.83902,0.836,0.83815
2013-11-27,0.83817,0.83858,0.83213,0.83215
2013-11-28,0.83216,0.83515,0.83123,0.83173
2013-11-29,0.83174,0.83439,0.82735,0.82817
2013-12-02,0.82818,0.8292,0.82518,0.82712
2013-12-03,0.82711,0.82953,0.82574,0.8289
2013-12-04,0.82891,0.83198,0.82729,0.83047
2013-12-05,0.83044,0.83787,0.82915,0.83667
2013-12-06,0.83666,0.83949,0.83466,0.83838
2013-12-09,0.83836,0.8384,0.8353,0.8357
2013-12-10,0.83568,0.83904,0.83497,0.83685
2013-12-11,0.83683,0.84308,0.83673,0.84292
2013-12-12,0.84293,0.84305,0.83902,0.84131
2013-12-13,0.84132,0.84421,0.84111,0.84357
2013-12-16,0.84355,0.84542,0.84151,0.84376
2013-12-17,0.84377,0.84656,0.84306,0.84574
2013-12-18,0.84573,0.8459,0.83384,0.83409
2013-12-19,0.83408,0.83668,0.83322,0.83336
2013-12-20,0.83337,0.83783,0.833,0.83655
2013-12-23,0.83654,0.83877,0.8354,0.83658
2013-12-24,0.83659,0.83781,0.83435,0.83574
2013-12-25,0.83659,0.83781,0.83435,0.83574
2013-12-26,0.8355,0.83601,0.83288,0.83533
2013-12-27,0.83534,0.83914,0.83361,0.83382
2013-12-30,0.83381,0.83725,0.83284,0.8371
2013-12-31,0.83714,0.83714,0.82979,0.83062
2014-01-01,0.83,0.83063,0.82855,0.82862
2014-01-02,0.82861,0.83189,0.82695,0.83075
2014-01-03,0.83076,0.83159,0.82747,0.83023
2014-01-06,0.83022,0.83308,0.8288,0.83125
2014-01-07,0.83125,0.83196,0.82913,0.83037
2014-01-08,0.83038,0.8306,0.82412,0.8255
2014-01-09,0.82549,0.82762,0.82297,0.82586
2014-01-10,0.82585,0.8306,0.8258,0.82895
2014-01-13,0.82896,0.8348,0.8284,0.83384
2014-01-14,0.83385,0.83419,0.8299,0.83022
2014-01-15,0.83019,0.83293,0.82852,0.83199
2014-01-16,0.832,0.83402,0.83144,0.83337
2014-01-17,0.83336,0.83388,0.82318,0.82402
2014-01-20,0.824,0.82622,0.82358,0.82445
2014-01-21,0.82446,0.82489,0.82135,0.82285
2014-01-22,0.82284,0.82314,0.81673,0.81768
2014-01-23,0.81767,0.8247,0.81752,0.82263
2014-01-24,0.82262,0.8305,0.82088,0.82906
2014-01-27,0.82905,0.83019,0.82302,0.82371
2014-01-28,0.82372,0.8252,0.82217,0.82366
2014-01-29,0.82365,0.82579,0.82194,0.82402
2014-01-30,0.82401,0.82679,0.82141,0.82232
2014-01-31,0.82231,0.82415,0.81876,0.82071
2014-02-03,0.8207,0.83009,0.8207,0.82945
2014-02-04,0.82947,0.83255,0.82651,0.82724
2014-02-05,0.82723,0.83328,0.82656,0.829
2014-02-06,0.82899,0.83491,0.82795,0.83229
2014-02-07,0.8323,0.83281,0.82875,0.83012
2014-02-10,0.83011,0.83265,0.82946,0.83207
2014-02-11,0.83208,0.8336,0.82838,0.82847
2014-02-12,0.82848,0.82986,0.81791,0.81899
2014-02-13,0.81898,0.82259,0.8183,0.82151
2014-02-14,0.8215,0.82264,0.81566,0.81654
2014-02-17,0.81652,0.82081,0.81622,0.81943
2014-02-18,0.81944,0.82525,0.81899,0.82432
2014-02-19,0.82431,0.82602,0.82205,0.82476
2014-02-20,0.82477,0.82526,0.82142,0.82385
2014-02-21,0.82387,0.82714,0.82151,0.82529
2014-02-24,0.82531,0.82854,0.82385,0.82409
2014-02-25,0.82411,0.82557,0.82241,0.82392
2014-02-26,0.82391,0.82514,0.82059,0.82105
2014-02-27,0.82104,0.82225,0.81972,0.82129
2014-02-28,0.82127,0.82667,0.819,0.82272
2014-03-03,0.82271,0.82494,0.82225,0.82469
2014-03-04,0.82471,0.82601,0.8227,0.82373
2014-03-05,0.82374,0.82412,0.82031,0.82127
2014-03-06,0.82128,0.82867,0.82054,0.82784
2014-03-07,0.82786,0.83019,0.82733,0.82986
2014-03-10,0.82984,0.83493,0.82911,0.83318
