Date,Open,High,Low,Close
2013-01-01,291.12,291.27,290.25,290.561
2013-01-02,290.51,293.273,290.357,291.185
2013-01-03,291.18,291.838,287.965,288.743
2013-01-04,288.748,291.981,288.527,290.535
2013-01-07,290.536,292.375,290.096,291.59
2013-01-08,291.581,293.055,290.87,291.675
2013-01-09,291.701,291.885,289.215,289.649
2013-01-10,289.655,293.7,289.26,293.537
2013-01-11,293.564,297.23,293.278,295.919
2013-01-14,295.918,298.344,294.091,294.606
2013-01-15,294.611,295.339,293.298,294.552
2013-01-16,294.557,295.67,293.935,294.795
2013-01-17,294.793,295.056,291.84,292.18
2013-01-18,292.165,293.329,291.812,292.963
2013-01-21,292.953,293.143,292.14,292.875
2013-01-22,292.864,294.72,292.561,294.082
2013-01-23,294.119,294.85,293.45,294.447
2013-01-24,294.486,295.463,294.229,295.275
2013-01-25,295.308,298.555,294.653,297.405
2013-01-28,297.464,299.9,296.73,297.627
2013-01-29,297.629,298.039,295.135,295.837
2013-01-30,295.838,296.573,293.47,293.93
2013-01-31,293.925,294.458,291.48,292.49
2013-02-01,292.48,293.294,291.085,292.23
2013-02-04,292.225,293.79,291.439,293.254
2013-02-05,293.28,295.787,291.435,294.662
2013-02-06,294.661,294.686,292.915,294.402
2013-02-07,294.403,294.522,292.158,292.526
2013-02-08,292.491,292.769,290.421,290.655
2013-02-11,290.66,291.66,290.345,290.57
2013-02-12,290.565,292.455,289.945,290.15
2013-02-13,290.155,290.429,288.573,290.051
2013-02-14,290.078,292.739,289.981,291.55
2013-02-15,291.543,293.05,291.252,292.727
2013-02-18,292.726,292.785,291.075,291.245
2013-02-19,291.255,291.84,290.342,291.08
2013-02-20,291.085,291.535,290.059,291.325
2013-02-21,291.33,293.745,291.313,293.593
2013-02-22,293.6,293.9,291.732,293.657
2013-02-25,293.628,294.626,292.598,294.56
2013-02-26,294.57,295.825,293.557,295.017
2013-02-27,295.012,296.366,294.775,295.28
2013-02-28,295.294,296.765,295.065,295.27
2013-03-01,295.255,296.21,293.972,294.606
2013-03-04,294.572,298.605,294.561,297.405
2013-03-05,297.435,299.48,297.141,298.266
2013-03-06,298.265,300.05,297.81,299.85
2013-03-07,299.855,299.884,298.296,298.54
2013-03-08,298.535,300.02,296.535,299.455
2013-03-11,299.475,303.525,299.003,301.84
2013-03-12,301.81,306.775,301.742,306.71
2013-03-13,306.72,307.375,303.93,304.541
2013-03-14,304.536,306.32,302.63,303.555
2013-03-15,303.562,306.385,303.344,305.995
2013-03-18,306.09,308.483,305.317,306.257
2013-03-19,306.252,307.125,304.585,305.54
2013-03-20,305.56,305.656,303.662,304.77
2013-03-21,304.795,306.755,304.17,306.64
