Date,Open,High,Low,Close
2013-01-01,114.463,115.979,114.168,115.539
2013-01-02,115.54,115.95,114.456,114.601
2013-01-03,114.6,114.796,113.644,114.336
2013-01-04,114.338,115.544,114.253,114.762
2013-01-07,114.763,115.229,114.102,114.741
2013-01-08,114.735,114.934,113.538,114.341
2013-01-09,114.34,115.128,114.044,114.947
2013-01-10,114.948,118.578,114.904,118.032
2013-01-11,118.036,120.116,117.62,119.94
2013-01-14,119.938,120.026,118.558,118.906
2013-01-15,118.905,119.051,116.858,117.111
2013-01-16,117.11,118.187,116.456,117.321
2013-01-17,117.317,120.705,117.184,120.43
2013-01-18,120.428,120.683,119.072,119.282
2013-01-21,119.283,120.154,118.641,118.905
2013-01-22,118.908,119.391,117.316,117.797
2013-01-23,117.795,118.917,117.045,118.588
2013-01-24,118.587,121.293,118.512,120.834
2013-01-25,120.837,122.897,120.827,122.526
2013-01-28,122.528,122.609,121.544,122.162
2013-01-29,122.158,122.817,121.211,122.661
2013-01-30,122.66,123.855,122.523,123.221
2013-01-31,123.219,125.709,122.974,125.503
2013-02-01,125.505,126.96,124.824,126.157
2013-02-04,126.161,126.696,124.173,124.562
2013-02-05,124.561,127.634,124.009,127.38
2013-02-06,127.378,127.695,125.918,126.249
2013-02-07,126.248,127.457,124.489,125.362
2013-02-08,125.364,125.396,123.416,123.774
2013-02-11,123.773,126.628,123.707,126.111
2013-02-12,126.114,126.933,124.764,124.903
2013-02-13,124.905,126.552,124.901,125.654
2013-02-14,125.652,125.941,123.184,123.213
2013-02-15,123.21,125.677,122.89,125.378
2013-02-18,125.38,125.885,124.875,125.012
2013-02-19,125.01,125.888,124.544,125.367
2013-02-20,125.368,125.536,123.801,123.983
2013-02-21,123.984,124.107,122.248,123.357
2013-02-22,123.354,124.957,122.552,124.105
2013-02-25,124.108,125.207,118.726,120.173
2013-02-26,120.171,121.057,118.965,120.075
2013-02-27,120.076,121.811,119.207,121.228
2013-02-28,121.225,121.594,120.508,121.132
2013-03-01,121.133,122.162,120.347,121.48
2013-03-04,121.479,121.912,121.115,121.374
2013-03-05,121.372,121.868,121.13,121.674
2013-03-06,121.672,122.27,121.538,121.971
2013-03-07,121.973,124.971,121.931,124.862
2013-03-08,124.858,125.952,123.793,125.022
2013-03-11,125.024,126.026,124.804,125.726
2013-03-12,125.728,125.788,124.379,124.752
2013-03-13,124.751,124.962,124.043,124.248
2013-03-14,124.246,125.231,124.16,125.084
2013-03-15,125.086,125.78,121.573,122.251
2013-03-18,122.254,124.119,121.627,123.771
2013-03-19,123.773,123.996,121.821,122.392
2013-03-20,122.393,124.492,122.266,124.245
2013-03-21,124.241,124.248,122.036,122.614
2013-03-22,122.615,123.842,121.46,123.523
2013-03-25,123.531,123.733,120.069,121.354
2013-03-26,121.355,121.85,120.751,121.779
2013-03-27,121.781,121.859,119.938,120.32
2013-03-28,120.321,120.936,119.738,120.732
2013-03-29,120.733,120.868,119.928,120.173
2013-04-01,120.174,120.243,119.186,119.32
2013-04-02,119.321,120.14,119.133,119.75
2013-04-03,119.742,120.168,119.103,119.314
2013-04-04,119.313,125.583,119.274,125.273
2013-04-05,125.275,128.429,123.858,127.944
2013-04-08,127.942,129.924,127.763,129.553
2013-04-09,129.551,130.082,128.429,129.54
2013-04-10,129.541,130.532,129.489,130.041
2013-04-11,130.043,131.11,129.741,130.398
2013-04-12,130.396,130.574,127.542,127.718
2013-04-15,127.72,128.63,124.979,127.265
2013-04-16,127.262,129.593,127.129,129.281
2013-04-17,129.278,129.729,126.429,128.282
2013-04-18,128.284,128.931,127.53,128.591
2013-04-19,128.596,130.658,128.533,130.513
2013-04-22,130.512,130.524,128.526,128.629
2013-04-23,128.633,129.693,127.857,129.236
2013-04-24,129.238,129.889,128.804,129.663
2013-04-25,129.662,129.863,128.559,129.204
2013-04-26,129.203,129.277,127.045,127.205
2013-04-29,127.208,128.584,127.198,128.254
2013-04-30,128.256,128.508,127.196,128.002
2013-05-01,128.001,128.914,127.92,128.148
