Date,Open,High,Low,Close
2013-01-01,7.34145,7.34449,7.31625,7.33095
2013-01-02,7.331,7.3445,7.30556,7.31359
2013-01-03,7.31365,7.31823,7.27869,7.27965
2013-01-04,7.2797,7.33994,7.27886,7.32606
2013-01-07,7.32607,7.3324,7.30385,7.32703
2013-01-08,7.32682,7.33631,7.31625,7.3221
2013-01-09,7.32209,7.32922,7.30076,7.30705
2013-01-10,7.30708,7.332,7.2906,7.32562
2013-01-11,7.32561,7.38271,7.3235,7.37835
2013-01-14,7.37834,7.3848,7.35535,7.36625
2013-01-15,7.36622,7.4304,7.35747,7.4093
2013-01-16,7.40929,7.43656,7.39825,7.39866
2013-01-17,7.39867,7.46515,7.3943,7.4611
2013-01-18,7.46109,7.47576,7.43104,7.46291
2013-01-21,7.46292,7.46785,7.44075,7.45744
2013-01-22,7.45696,7.46115,7.4123,7.42629
2013-01-23,7.42626,7.42939,7.3964,7.40079
2013-01-24,7.40103,7.4243,7.38475,7.39989
2013-01-25,7.3999,7.4492,7.39651,7.43739
2013-01-28,7.43761,7.44975,7.42568,7.44795
2013-01-29,7.4477,7.4514,7.40575,7.41597
2013-01-30,7.41595,7.44517,7.41042,7.42915
2013-01-31,7.42951,7.44315,7.41165,7.43347
2013-02-01,7.43315,7.44955,7.42203,7.43895
2013-02-04,7.4389,7.45455,7.3934,7.39428
2013-02-05,7.39438,7.45266,7.39065,7.43858
2013-02-06,7.43899,7.4472,7.41925,7.43775
2013-02-07,7.43762,7.44528,7.39105,7.39748
2013-02-08,7.3976,7.41015,7.38575,7.39052
2013-02-11,7.39053,7.39828,7.3627,7.37335
2013-02-12,7.37333,7.39269,7.3649,7.3761
2013-02-13,7.37605,7.38884,7.35684,7.37117
2013-02-14,7.3712,7.40962,7.34455,7.40642
2013-02-15,7.40631,7.42215,7.38,7.402
2013-02-18,7.40205,7.42855,7.39723,7.41905
2013-02-19,7.41906,7.42206,7.40591,7.4116
2013-02-20,7.41159,7.4413,7.4,7.43965
2013-02-21,7.43963,7.5075,7.42432,7.48659
2013-02-22,7.48668,7.49175,7.45655,7.47488
2013-02-25,7.4749,7.48705,7.44125,7.4426
2013-02-26,7.44265,7.48489,7.43325,7.45159
2013-02-27,7.45083,7.48275,7.44565,7.47994
2013-02-28,7.47995,7.49665,7.47092,7.48513
2013-03-01,7.48511,7.52295,7.47684,7.4816
2013-03-04,7.48135,7.48285,7.43385,7.4455
2013-03-05,7.44548,7.45278,7.4303,7.4373
2013-03-06,7.43725,7.4401,7.4136,7.4222
2013-03-07,7.42219,7.44255,7.41425,7.4306
2013-03-08,7.43055,7.45515,7.42375,7.44506
2013-03-11,7.44504,7.46395,7.43605,7.4602
2013-03-12,7.4603,7.4623,7.4284,7.42895
2013-03-13,7.42885,7.45705,7.42485,7.44351
2013-03-14,7.4435,7.5541,7.44015,7.53244
2013-03-15,7.53237,7.56525,7.48049,7.48617
2013-03-18,7.486,7.51325,7.48518,7.50243
2013-03-19,7.50253,7.5368,7.4958,7.51617
2013-03-20,7.5168,7.5768,7.50876,7.56398
2013-03-21,7.56416,7.5673,7.5267,7.53289
2013-03-22,7.5329,7.55538,7.52603,7.53944
2013-03-25,7.53945,7.55346,7.5053,7.50545
2013-03-26,7.50535,7.52001,7.48405,7.48725
2013-03-27,7.48705,7.49393,7.4548,7.47889
2013-03-28,7.47886,7.51245,7.47544,7.4843
2013-03-29,7.48415,7.497,7.47046,7.49077
2013-04-01,7.49078,7.49158,7.46124,7.47235
2013-04-02,7.4725,7.47815,7.45165,7.4543
2013-04-03,7.45458,7.47155,7.44133,7.47095
2013-04-04,7.4709,7.48374,7.4415,7.47058
2013-04-05,7.46952,7.47595,7.4376,7.43877
2013-04-08,7.43915,7.47905,7.436,7.476
2013-04-09,7.47623,7.49665,7.4613,7.47813
2013-04-10,7.47812,7.52095,7.4678,7.50515
2013-04-11,7.5047,7.5141,7.47139,7.4765
2013-04-12,7.47655,7.49843,7.46155,7.49235
2013-04-15,7.49236,7.51525,7.4894,7.5119
2013-04-16,7.51185,7.5476,7.5086,7.54755
2013-04-17,7.54768,7.57528,7.53925,7.56895
2013-04-18,7.56885,7.6072,7.55265,7.59787
2013-04-19,7.59788,7.60272,7.57965,7.59098
2013-04-22,7.59099,7.64597,7.58375,7.64237
2013-04-23,7.64274,7.69585,7.63363,7.69475
2013-04-24,7.69475,7.70055,7.66728,7.67045
2013-04-25,7.6709,7.67458,7.6347,7.63758
2013-04-26,7.63759,7.64495,7.61285,7.6261
2013-04-29,7.62625,7.6327,7.59665,7.61218
2013-04-30,7.61221,7.63035,7.58435,7.59709
2013-05-01,7.59707,7.61295,7.57435,7.596
2013-05-02,7.59601,7.61147,7.5562,7.5811
2013-05-03,7.58115,7.61936,7.57733,7.61124
2013-05-06,7.61076,7.63385,7.60349,7.6327
2013-05-07,7.63265,7.65496,7.62764,7.63649
2013-05-08,7.6365,7.66646,7.5546,7.56047
2013-05-09,7.56048,7.56195,7.52755,7.5396
2013-05-10,7.5395,7.57321,7.51565,7.53079
2013-05-13,7.5308,7.55014,7.51955,7.52789
2013-05-14,7.5277,7.553,7.52413,7.543
