Date,Open,High,Low,Close
2013-01-01,1.5951,1.5988,1.5816,1.58633
2013-01-02,1.58627,1.5907,1.57649,1.57779
2013-01-03,1.57788,1.58334,1.56882,1.58112
2013-01-04,1.58111,1.5839,1.56953,1.57199
2013-01-07,1.57195,1.57328,1.55804,1.56996
2013-01-08,1.56998,1.57122,1.55743,1.55875
2013-01-09,1.55872,1.56242,1.55103,1.5523
2013-01-10,1.55233,1.57404,1.55045,1.57287
2013-01-11,1.57286,1.59766,1.5726,1.5928
2013-01-14,1.59279,1.59449,1.58346,1.58902
2013-01-15,1.58898,1.59247,1.57848,1.58133
2013-01-16,1.58139,1.58661,1.57773,1.58204
2013-01-17,1.58209,1.60528,1.58158,1.60181
2013-01-18,1.60176,1.60322,1.58931,1.59309
2013-01-21,1.59312,1.59547,1.58334,1.58641
2013-01-22,1.58638,1.58972,1.57692,1.58325
2013-01-23,1.58317,1.58526,1.57467,1.57907
2013-01-24,1.57903,1.59892,1.57795,1.59792
2013-01-25,1.5979,1.61188,1.59696,1.61053
2013-01-28,1.6105,1.62351,1.60616,1.60829
2013-01-29,1.6083,1.61262,1.60405,1.61098
2013-01-30,1.61097,1.63562,1.61062,1.62462
2013-01-31,1.62455,1.62463,1.61169,1.61916
2013-02-01,1.6192,1.62753,1.60671,1.60976
2013-02-04,1.60974,1.6131,1.59711,1.60172
2013-02-05,1.60168,1.61173,1.59658,1.60672
2013-02-06,1.60667,1.61676,1.59957,1.61507
2013-02-07,1.61506,1.62492,1.60378,1.60495
2013-02-08,1.60513,1.60529,1.59465,1.604
2013-02-11,1.60397,1.61062,1.5986,1.6016
2013-02-12,1.60164,1.61315,1.59378,1.59543
2013-02-13,1.59541,1.60812,1.58285,1.58579
2013-02-14,1.58583,1.58694,1.56452,1.56896
2013-02-15,1.56899,1.58335,1.5638,1.58115
2013-02-18,1.58111,1.58762,1.57607,1.5812
2013-02-19,1.58117,1.59762,1.57571,1.59358
2013-02-20,1.59359,1.60217,1.58812,1.58943
2013-02-21,1.58942,1.59055,1.57292,1.57613
2013-02-22,1.57604,1.58172,1.56826,1.57523
2013-02-25,1.57516,1.58487,1.55902,1.56458
2013-02-26,1.56455,1.58823,1.56371,1.58377
2013-02-27,1.58373,1.59315,1.5786,1.58
2013-02-28,1.57999,1.58478,1.57541,1.58127
2013-03-01,1.58126,1.58805,1.57267,1.58545
2013-03-04,1.58546,1.58788,1.56913,1.57118
