Date,Open,High,Low,Close
2013-01-01,4.07355,4.07385,4.06834,4.07285
2013-01-02,4.0729,4.07615,4.05625,4.07115
2013-01-03,4.07095,4.09964,4.06635,4.09668
2013-01-04,4.09622,4.1274,4.09215,4.11795
2013-01-07,4.118,4.12905,4.11,4.1264
2013-01-08,4.12684,4.12806,4.10625,4.1084
2013-01-09,4.10839,4.11882,4.07423,4.07462
2013-01-10,4.07501,4.0985,4.06445,4.08845
2013-01-11,4.0889,4.12031,4.08096,4.11263
2013-01-14,4.11225,4.1343,4.1024,4.1156
2013-01-15,4.11545,4.11975,4.10459,4.11015
2013-01-16,4.11024,4.13396,4.1099,4.12216
2013-01-17,4.12167,4.12635,4.10273,4.10675
2013-01-18,4.1068,4.16395,4.10541,4.1521
2013-01-21,4.15099,4.18,4.14964,4.16728
2013-01-22,4.16733,4.17895,4.16162,4.17365
2013-01-23,4.17355,4.17805,4.15087,4.16927
2013-01-24,4.16874,4.1962,4.1659,4.18725
2013-01-25,4.18681,4.19215,4.16652,4.16922
2013-01-28,4.16924,4.2084,4.16875,4.19685
2013-01-29,4.1969,4.21196,4.18171,4.18685
2013-01-30,4.18675,4.20376,4.1747,4.1997
2013-01-31,4.19975,4.2134,4.17959,4.19475
2013-02-01,4.20261,4.20695,4.16415,4.16915
2013-02-04,4.16554,4.187,4.1344,4.17654
2013-02-05,4.17659,4.18267,4.1661,4.18185
2013-02-06,4.1818,4.19805,4.1534,4.17481
2013-02-07,4.17478,4.19353,4.1643,4.17037
2013-02-08,4.17042,4.17187,4.14455,4.1493
2013-02-11,4.14911,4.16625,4.1399,4.15431
2013-02-12,4.15477,4.1864,4.15244,4.17565
2013-02-13,4.1757,4.182,4.15083,4.15485
2013-02-14,4.1549,4.1824,4.15075,4.17695
2013-02-15,4.17655,4.19462,4.17616,4.18585
2013-02-18,4.18575,4.19435,4.18202,4.1858
2013-02-19,4.18514,4.19415,4.16495,4.1684
2013-02-20,4.16845,4.16935,4.1538,4.16563
2013-02-21,4.16569,4.18631,4.15075,4.16485
2013-02-22,4.16475,4.16785,4.1486,4.16465
2013-02-25,4.16475,4.17025,4.13495,4.1602
2013-02-26,4.16015,4.17485,4.1526,4.16085
2013-02-27,4.161,4.1717,4.1557,4.1572
2013-02-28,4.15701,4.1596,4.14477,4.14826
2013-03-01,4.14856,4.15393,4.1249,4.13315
2013-03-04,4.13305,4.14181,4.1312,4.1364
2013-03-05,4.13585,4.13859,4.1212,4.12485
2013-03-06,4.12475,4.1648,4.12035,4.1478
2013-03-07,4.14785,4.1536,4.14015,4.15065
2013-03-08,4.1506,4.15165,4.1259,4.13475
2013-03-11,4.13465,4.1519,4.12824,4.14075
2013-03-12,4.1405,4.1542,4.1369,4.14015
2013-03-13,4.13995,4.1486,4.1314,4.1376
2013-03-14,4.13765,4.15842,4.13155,4.15425
2013-03-15,4.1543,4.1633,4.1411,4.1542
2013-03-18,4.15425,4.15954,4.14449,4.15155
2013-03-19,4.1514,4.1672,4.14335,4.1635
2013-03-20,4.16345,4.17845,4.14915,4.1768
2013-03-21,4.1767,4.19305,4.1687,4.1917
2013-03-22,4.1916,4.19225,4.1662,4.172
2013-03-25,4.17205,4.1734,4.15535,4.1675
2013-03-26,4.16755,4.18345,4.1633,4.1798
2013-03-27,4.17985,4.18395,4.1751,4.1809
2013-03-28,4.18095,4.19019,4.17023,4.1757
2013-03-29,4.17585,4.1924,4.1711,4.17665
2013-04-01,4.1759,4.18333,4.1706,4.17875
2013-04-02,4.17889,4.18895,4.17365,4.18275
2013-04-03,4.1828,4.19765,4.18045,4.19659
2013-04-04,4.19629,4.19671,4.17635,4.17821
2013-04-05,4.1788,4.18878,4.1529,4.156
2013-04-08,4.15575,4.1618,4.11961,4.12083
2013-04-09,4.12093,4.13382,4.10953,4.11475
2013-04-10,4.11474,4.12225,4.09197,4.0953
2013-04-11,4.09535,4.12305,4.09323,4.11175
2013-04-12,4.11195,4.12065,4.0952,4.10333
2013-04-15,4.10333,4.11988,4.0973,4.1136
2013-04-16,4.11397,4.1183,4.1009,4.1081
2013-04-17,4.10805,4.12073,4.10035,4.11295
2013-04-18,4.1125,4.1251,4.10655,4.1146
2013-04-19,4.11455,4.11515,4.09705,4.1035
2013-04-22,4.10345,4.11685,4.09535,4.10905
2013-04-23,4.109,4.14325,4.1061,4.14095
2013-04-24,4.1409,4.15423,4.1313,4.14335
2013-04-25,4.1434,4.1607,4.14335,4.156
2013-04-26,4.15595,4.1625,4.1519,4.15805
2013-04-29,4.15815,4.15825,4.1283,4.1372
2013-04-30,4.1371,4.1659,4.1361,4.1633
2013-05-01,4.1632,4.17785,4.15645,4.16455
2013-05-02,4.1642,4.1678,4.13075,4.13545
2013-05-03,4.1354,4.15055,4.1263,4.1443
2013-05-06,4.14465,4.1563,4.136,4.15095
2013-05-07,4.15105,4.1585,4.13735,4.13975
2013-05-08,4.13965,4.14863,4.12835,4.13065
2013-05-09,4.1307,4.13335,4.1211,4.1285
2013-05-10,4.1287,4.15355,4.126,4.14835
2013-05-13,4.14845,4.16485,4.13745,4.1618
2013-05-14,4.16185,4.17205,4.15775,4.16495
2013-05-15,4.16485,4.1904,4.1624,4.18405
2013-05-16,4.1841,4.1904,4.1753,4.18605
2013-05-17,4.186,4.1908,4.1663,4.1729
2013-05-20,4.17295,4.1889,4.167,4.184
2013-05-21,4.1833,4.1903,4.177,4.18095
2013-05-22,4.18105,4.19038,4.171,4.18755
2013-05-23,4.1881,4.2113,4.1874,4.1967
2013-05-24,4.19651,4.2089,4.1922,4.19755
2013-05-27,4.198,4.19992,4.1899,4.19705
2013-05-28,4.19695,4.20764,4.17155,4.20145
2013-05-29,4.2014,4.24705,4.2012,4.24075
2013-05-30,4.2408,4.2881,4.2355,4.27765
2013-05-31,4.2776,4.29555,4.261,4.2767
2013-06-03,4.2768,4.2817,4.24635,4.25625
2013-06-04,4.2562,4.25905,4.2217,4.2373
2013-06-05,4.2372,4.2951,4.2292,4.2895
2013-06-06,4.2888,4.327,4.26915,4.2994
2013-06-07,4.29945,4.3168,4.2231,4.24
2013-06-10,4.23995,4.2741,4.23715,4.27255
2013-06-11,4.27275,4.28935,4.2601,4.27335
2013-06-12,4.2733,4.27395,4.2398,4.26065
2013-06-13,4.26075,4.27535,4.21715,4.2262
2013-06-14,4.2261,4.24895,4.20235,4.23915
2013-06-17,4.23905,4.24415,4.21515,4.22995
2013-06-18,4.2306,4.26823,4.22905,4.26445
2013-06-19,4.2644,4.29325,4.24965,4.29265
2013-06-20,4.29013,4.35065,4.28505,4.3425
2013-06-21,4.3424,4.36915,4.3104,4.34673
2013-06-24,4.3462,4.3558,4.3244,4.33315
2013-06-25,4.3332,4.33895,4.2941,4.33115
2013-06-26,4.33165,4.35315,4.3168,4.3379
