Date,Open,High,Low,Close
2013-01-01,8.5754,8.58101,8.56545,8.57025
2013-01-02,8.57022,8.5845,8.54585,8.55234
2013-01-03,8.55235,8.55943,8.5192,8.52098
2013-01-04,8.52094,8.55938,8.5046,8.5387
2013-01-07,8.53869,8.54905,8.50685,8.52725
2013-01-08,8.52735,8.58706,8.5223,8.57667
2013-01-09,8.57662,8.597,8.56175,8.5718
2013-01-10,8.57175,8.61632,8.55251,8.60705
2013-01-11,8.60706,8.64753,8.6029,8.63996
2013-01-14,8.63994,8.64405,8.6109,8.62575
2013-01-15,8.62573,8.66575,8.60577,8.63464
2013-01-16,8.63472,8.67289,8.61902,8.63985
2013-01-17,8.6399,8.69765,8.63285,8.6968
2013-01-18,8.69659,8.7001,8.65156,8.676
2013-01-21,8.67604,8.71742,8.66453,8.68058
2013-01-22,8.68057,8.70477,8.6619,8.67273
2013-01-23,8.67275,8.70829,8.6672,8.68236
2013-01-24,8.68228,8.7086,8.6644,8.67816
2013-01-25,8.6781,8.70445,8.6639,8.69625
2013-01-28,8.6961,8.702,8.62723,8.63005
2013-01-29,8.6301,8.64297,8.57785,8.58755
2013-01-30,8.5872,8.62206,8.58156,8.61119
2013-01-31,8.61117,8.6384,8.60657,8.638
2013-02-01,8.63802,8.6523,8.59585,8.61358
2013-02-04,8.61365,8.61685,8.5453,8.5462
2013-02-05,8.54615,8.60435,8.52967,8.58315
2013-02-06,8.58318,8.60742,8.57392,8.59418
2013-02-07,8.59442,8.63798,8.5896,8.59354
2013-02-08,8.59359,8.6179,8.5774,8.60903
2013-02-11,8.60903,8.61624,8.5609,8.56888
2013-02-12,8.56896,8.58049,8.54112,8.5539
2013-02-13,8.55417,8.57325,8.4463,8.45193
2013-02-14,8.45226,8.46638,8.42661,8.45036
2013-02-15,8.45031,8.46328,8.4367,8.44438
2013-02-18,8.44441,8.47707,8.43955,8.47415
2013-02-19,8.47425,8.48041,8.43385,8.45193
2013-02-20,8.45192,8.458,8.4008,8.42711
2013-02-21,8.42712,8.48778,8.41235,8.47074
2013-02-22,8.47077,8.4791,8.44658,8.45499
2013-02-25,8.45504,8.4846,8.44648,8.45575
2013-02-26,8.45575,8.47293,8.42487,8.44327
2013-02-27,8.44331,8.45685,8.42758,8.45132
2013-02-28,8.45131,8.46149,8.4128,8.43523
2013-03-01,8.4352,8.44663,8.3607,8.36377
2013-03-04,8.36831,8.38685,8.34959,8.3592
2013-03-05,8.35915,8.36521,8.3111,8.328
2013-03-06,8.32795,8.33576,8.30448,8.3284
2013-03-07,8.32851,8.33458,8.28363,8.29528
2013-03-08,8.29527,8.33348,8.28144,8.32777
2013-03-11,8.32704,8.33802,8.31946,8.33305
2013-03-12,8.33315,8.33465,8.255,8.25505
2013-03-13,8.255,8.33054,8.25435,8.32547
2013-03-14,8.32536,8.39345,8.31975,8.36455
2013-03-15,8.36457,8.37398,8.3226,8.33035
2013-03-18,8.33025,8.3549,8.32098,8.33546
2013-03-19,8.33545,8.3482,8.31705,8.32845
2013-03-20,8.3285,8.3717,8.3112,8.36595
2013-03-21,8.3659,8.38605,8.34622,8.37525
2013-03-22,8.3752,8.44075,8.36003,8.41353
2013-03-25,8.41354,8.4536,8.37057,8.38605
2013-03-26,8.38606,8.38985,8.33755,8.34022
2013-03-27,8.34016,8.35242,8.28185,8.3418
2013-03-28,8.342,8.3655,8.3248,8.35588
2013-03-29,8.35605,8.37635,8.3497,8.36153
2013-04-01,8.36315,8.37327,8.3438,8.36391
2013-04-02,8.36388,8.36686,8.3042,8.31271
2013-04-03,8.3127,8.3762,8.3087,8.3667
2013-04-04,8.36655,8.4435,8.34943,8.43567
2013-04-05,8.43565,8.43896,8.37169,8.37642
2013-04-08,8.3764,8.38378,8.33635,8.34975
2013-04-09,8.3495,8.38886,8.34028,8.35805
2013-04-10,8.35905,8.37312,8.32731,8.36148
2013-04-11,8.36149,8.36366,8.30456,8.31625
2013-04-12,8.31635,8.35709,8.29611,8.3455
2013-04-15,8.35452,8.38274,8.33755,8.37947
2013-04-16,8.37943,8.38835,8.3621,8.38725
2013-04-17,8.3873,8.50313,8.3835,8.49766
2013-04-18,8.4972,8.54535,8.47691,8.52125
2013-04-19,8.5213,8.54734,8.49813,8.53003
2013-04-22,8.53004,8.5442,8.48597,8.54095
2013-04-23,8.54097,8.64678,8.53039,8.63408
2013-04-24,8.63409,8.64045,8.57595,8.60498
2013-04-25,8.60503,8.61303,8.57663,8.59292
2013-04-26,8.59287,8.59988,8.54397,8.5488
2013-04-29,8.54885,8.5823,8.5434,8.57959
2013-04-30,8.57958,8.58637,8.5092,8.5392
2013-05-01,8.53895,8.5453,8.5029,8.51911
2013-05-02,8.51912,8.5709,8.51452,8.5351
2013-05-03,8.535,8.55541,8.50425,8.52815
2013-05-06,8.52813,8.5668,8.5216,8.5653
2013-05-07,8.56528,8.5728,8.51667,8.5409
2013-05-08,8.54093,8.56677,8.5311,8.55225
2013-05-09,8.55215,8.55445,8.51985,8.5385
2013-05-10,8.53835,8.58375,8.53815,8.58125
2013-05-13,8.58134,8.58482,8.55355,8.571
2013-05-14,8.57101,8.65293,8.5625,8.6196
2013-05-15,8.62018,8.63407,8.57308,8.58375
2013-05-16,8.58365,8.601,8.56366,8.58504
2013-05-17,8.58505,8.59847,8.57163,8.59105
2013-05-20,8.59104,8.60253,8.5505,8.56821
2013-05-21,8.56822,8.58251,8.5282,8.54735
2013-05-22,8.54725,8.55818,8.52835,8.54335
2013-05-23,8.54327,8.60905,8.53787,8.5937
2013-05-24,8.59324,8.63121,8.57955,8.58532
2013-05-27,8.58536,8.60268,8.57915,8.58573
2013-05-28,8.5857,8.64519,8.56182,8.63325
2013-05-29,8.63315,8.64432,8.5819,8.59715
2013-05-30,8.59716,8.61275,8.55362,8.561
2013-05-31,8.56095,8.61431,8.55808,8.60876
2013-06-03,8.60869,8.61125,8.5459,8.5461
2013-06-04,8.54605,8.59033,8.5438,8.58015
2013-06-05,8.58025,8.6437,8.57595,8.6258
2013-06-06,8.6257,8.69667,8.6004,8.67025
2013-06-07,8.67035,8.70005,8.65085,8.67006
2013-06-10,8.6702,8.7272,8.66036,8.71391
2013-06-11,8.71413,8.76159,8.69759,8.7183
2013-06-12,8.71835,8.72679,8.65444,8.69706
2013-06-13,8.69707,8.71779,8.64162,8.6577
2013-06-14,8.6578,8.66873,8.5808,8.58465
2013-06-17,8.58482,8.65495,8.58346,8.65495
2013-06-18,8.6549,8.69306,8.62399,8.64072
2013-06-19,8.64071,8.64182,8.5525,8.58967
2013-06-20,8.58964,8.72503,8.5651,8.673
