Date,Open,High,Low,Close
2013-01-01,2.35649,2.36659,2.35136,2.35792
2013-01-02,2.35739,2.36413,2.33595,2.33832
2013-01-03,2.33833,2.34524,2.32409,2.3296
2013-01-04,2.32959,2.33281,2.32333,2.32669
2013-01-07,2.32662,2.34105,2.32153,2.3367
2013-01-08,2.33684,2.33916,2.32105,2.32607
2013-01-09,2.32614,2.32843,2.31604,2.31896
2013-01-10,2.31895,2.34728,2.31834,2.3445
2013-01-11,2.34447,2.37025,2.3433,2.3679
2013-01-14,2.3678,2.37066,2.36052,2.36545
2013-01-15,2.36537,2.36947,2.34738,2.35326
2013-01-16,2.35321,2.35737,2.34281,2.34671
2013-01-17,2.34674,2.35376,2.34183,2.3513
2013-01-18,2.35125,2.3522,2.34035,2.34485
2013-01-21,2.34494,2.35573,2.34257,2.35285
2013-01-22,2.35276,2.36328,2.34405,2.3549
2013-01-23,2.35486,2.36317,2.35096,2.35772
2013-01-24,2.35762,2.37056,2.35443,2.36584
2013-01-25,2.36581,2.38035,2.36563,2.3794
2013-01-28,2.37935,2.38765,2.37078,2.387
2013-01-29,2.3869,2.38785,2.37557,2.38446
2013-01-30,2.38418,2.40382,2.38395,2.40153
2013-01-31,2.40148,2.40382,2.3837,2.39438
2013-02-01,2.39442,2.39915,2.38108,2.38355
2013-02-04,2.3835,2.38792,2.37706,2.3786
2013-02-05,2.3785,2.39519,2.37299,2.39256
2013-02-06,2.39253,2.39455,2.38318,2.39246
2013-02-07,2.39247,2.40133,2.36983,2.37808
2013-02-08,2.37813,2.37895,2.3644,2.36886
2013-02-11,2.36884,2.38209,2.36612,2.37982
2013-02-12,2.3797,2.38758,2.37317,2.3829
2013-02-13,2.38291,2.38509,2.37025,2.37131
2013-02-14,2.37136,2.37391,2.35767,2.3614
2013-02-15,2.36135,2.36949,2.3537,2.35835
2013-02-18,2.3584,2.36335,2.35577,2.35899
2013-02-19,2.35894,2.38375,2.35743,2.3813
2013-02-20,2.3812,2.38625,2.36752,2.36853
2013-02-21,2.36855,2.37457,2.36186,2.3691
2013-02-22,2.36915,2.37801,2.35884,2.37722
2013-02-25,2.37717,2.39046,2.36077,2.36729
2013-02-26,2.36725,2.37271,2.35554,2.3595
2013-02-27,2.35949,2.36998,2.35585,2.36196
2013-02-28,2.36192,2.36781,2.34748,2.3499
2013-03-01,2.35,2.35694,2.3363,2.34305
2013-03-04,2.34305,2.34862,2.3384,2.3434
2013-03-05,2.34355,2.34815,2.334,2.3385
2013-03-06,2.3386,2.34154,2.33113,2.33807
2013-03-07,2.33808,2.35735,2.33663,2.35607
2013-03-08,2.356,2.35754,2.33395,2.3484
2013-03-11,2.34841,2.34867,2.34136,2.34255
2013-03-12,2.3426,2.35465,2.3419,2.35054
2013-03-13,2.35049,2.35674,2.34395,2.3477
2013-03-14,2.3478,2.35873,2.34444,2.35544
2013-03-15,2.35546,2.36891,2.34046,2.34572
2013-03-18,2.34567,2.3541,2.34035,2.34797
2013-03-19,2.34798,2.35796,2.34289,2.35027
2013-03-20,2.35032,2.35881,2.34675,2.3546
2013-03-21,2.35495,2.35617,2.3406,2.34732
2013-03-22,2.34734,2.36506,2.3423,2.36045
2013-03-25,2.36065,2.3629,2.33975,2.34335
2013-03-26,2.34326,2.3457,2.3303,2.33087
2013-03-27,2.33085,2.33445,2.31461,2.3177
2013-03-28,2.31775,2.3262,2.3161,2.32215
2013-03-29,2.32225,2.32346,2.3125,2.31603
2013-04-01,2.31562,2.32536,2.31545,2.32335
2013-04-02,2.32345,2.32716,2.30789,2.3097
2013-04-03,2.30965,2.3254,2.306,2.3245
2013-04-04,2.3244,2.33392,2.30827,2.3314
2013-04-05,2.33135,2.3429,2.32613,2.3322
2013-04-08,2.3323,2.334,2.32105,2.3288
2013-04-09,2.32875,2.3369,2.32221,2.33585
2013-04-10,2.3359,2.34045,2.3315,2.33815
2013-04-11,2.33805,2.34939,2.3351,2.34195
2013-04-12,2.34185,2.34747,2.33365,2.34495
2013-04-15,2.3449,2.3465,2.33563,2.3404
2013-04-16,2.3405,2.36025,2.3388,2.35573
2013-04-17,2.35572,2.36172,2.33924,2.34744
