Date,Open,High,Low,Close
2013-01-01,1.56363,1.5664,1.55703,1.55858
2013-01-02,1.55866,1.55994,1.54489,1.54598
2013-01-03,1.54593,1.5478,1.53471,1.54026
2013-01-04,1.54023,1.5411,1.52914,1.53103
2013-01-07,1.53105,1.53744,1.52802,1.53692
2013-01-08,1.5369,1.53719,1.52597,1.52722
2013-01-09,1.52723,1.53048,1.51715,1.51759
2013-01-10,1.51758,1.5281,1.51529,1.52569
2013-01-11,1.52568,1.53269,1.52288,1.52849
2013-01-14,1.52848,1.53021,1.51763,1.52412
2013-01-15,1.52411,1.52527,1.51881,1.52009
2013-01-16,1.52007,1.52253,1.5124,1.52194
2013-01-17,1.52198,1.52491,1.51323,1.51932
2013-01-18,1.51933,1.52056,1.5071,1.50873
2013-01-21,1.50879,1.5106,1.50172,1.50271
2013-01-22,1.5027,1.50359,1.49608,1.50253
2013-01-23,1.50255,1.5062,1.49742,1.5054
2013-01-24,1.50534,1.51163,1.504,1.509
2013-01-25,1.50899,1.51834,1.50672,1.51278
2013-01-28,1.51279,1.51417,1.50209,1.50323
2013-01-29,1.50324,1.50775,1.5009,1.50321
2013-01-30,1.5032,1.52225,1.50289,1.52046
2013-01-31,1.5205,1.52846,1.51441,1.5271
2013-02-01,1.52713,1.53099,1.50445,1.50521
2013-02-04,1.50522,1.51517,1.50332,1.51428
2013-02-05,1.51427,1.51847,1.50189,1.51221
2013-02-06,1.51222,1.52197,1.51084,1.51765
2013-02-07,1.51764,1.53119,1.51472,1.52867
2013-02-08,1.52866,1.535,1.52151,1.53336
2013-02-11,1.53337,1.5352,1.52173,1.52702
2013-02-12,1.52701,1.52824,1.51302,1.5138
2013-02-13,1.51382,1.5171,1.4974,1.49932
2013-02-14,1.49928,1.50155,1.4934,1.49671
2013-02-15,1.4967,1.50829,1.49283,1.50453
2013-02-18,1.50454,1.5051,1.49651,1.49749
2013-02-19,1.49749,1.50004,1.4869,1.49006
2013-02-20,1.49007,1.4916,1.47821,1.48493
2013-02-21,1.48492,1.49101,1.47776,1.48269
2013-02-22,1.48268,1.4829,1.46276,1.47081
2013-02-25,1.47085,1.48186,1.46266,1.47888
2013-02-26,1.47887,1.48367,1.4745,1.47914
2013-02-27,1.47912,1.48799,1.47437,1.47533
2013-02-28,1.47529,1.48564,1.47488,1.48222
2013-03-01,1.48223,1.48569,1.46861,1.48469
2013-03-04,1.48472,1.48522,1.47606,1.47648
2013-03-05,1.47647,1.4845,1.47001,1.47231
2013-03-06,1.47236,1.47285,1.46165,1.46319
2013-03-07,1.46322,1.46905,1.4588,1.46316
2013-03-08,1.46323,1.46521,1.45328,1.45891
2013-03-11,1.45893,1.46083,1.44541,1.44823
2013-03-12,1.44821,1.4503,1.43774,1.44769
2013-03-13,1.44768,1.45358,1.43949,1.44045
2013-03-14,1.4404,1.45626,1.43949,1.4544
2013-03-15,1.45445,1.46261,1.44848,1.45798
2013-03-18,1.45788,1.45957,1.4511,1.45358
2013-03-19,1.45361,1.45958,1.45254,1.45403
2013-03-20,1.4541,1.4609,1.44772,1.45746
2013-03-21,1.45751,1.46226,1.44984,1.4561
2013-03-22,1.45617,1.46154,1.4524,1.45916
2013-03-25,1.45917,1.45949,1.4468,1.45202
2013-03-26,1.45201,1.45221,1.44206,1.44798
2013-03-27,1.448,1.4533,1.44516,1.4513
2013-03-28,1.45135,1.46195,1.44941,1.45946
2013-03-29,1.45947,1.46159,1.4556,1.4597
2013-04-01,1.45971,1.46383,1.45527,1.45621
2013-04-02,1.45626,1.45779,1.4407,1.4429
2013-04-03,1.44287,1.44887,1.4408,1.44424
2013-04-04,1.44433,1.46318,1.4436,1.46249
2013-04-05,1.46254,1.4826,1.45785,1.47768
2013-04-08,1.47769,1.4784,1.46198,1.46342
2013-04-09,1.46343,1.46612,1.45699,1.45891
2013-04-10,1.45889,1.46009,1.45095,1.45762
2013-04-11,1.45765,1.46111,1.45152,1.45865
2013-04-12,1.45854,1.47057,1.45631,1.46924
2013-04-15,1.46921,1.4844,1.46632,1.4767
2013-04-16,1.47669,1.4834,1.47409,1.4831
2013-04-17,1.48311,1.48458,1.47182,1.479
2013-04-18,1.47882,1.48667,1.4734,1.48224
2013-04-19,1.48214,1.4865,1.4779,1.47848
2013-04-22,1.47857,1.4939,1.4778,1.49167
2013-04-23,1.49162,1.49228,1.48225,1.48692
2013-04-24,1.48691,1.48896,1.48317,1.4845
2013-04-25,1.48441,1.5006,1.48332,1.499
2013-04-26,1.49898,1.5072,1.49674,1.5038
2013-04-29,1.50383,1.5053,1.4948,1.4954
2013-04-30,1.49544,1.50146,1.49259,1.49724
2013-05-01,1.4973,1.51852,1.4973,1.5173
2013-05-02,1.51726,1.52338,1.51025,1.51201
2013-05-03,1.51195,1.5175,1.50741,1.51492
2013-05-06,1.51495,1.5203,1.51379,1.51801
2013-05-07,1.51809,1.52862,1.51698,1.5196
2013-05-08,1.51957,1.53007,1.51503,1.5158
2013-05-09,1.51589,1.53603,1.51563,1.53074
2013-05-10,1.53073,1.54187,1.53,1.53822
2013-05-13,1.53824,1.5427,1.53305,1.53567
2013-05-14,1.53566,1.54219,1.53128,1.5382
2013-05-15,1.53819,1.5456,1.53576,1.54062
2013-05-16,1.54065,1.56434,1.53988,1.56389
2013-05-17,1.56393,1.56571,1.55254,1.5526
2013-05-20,1.55259,1.56151,1.55221,1.55527
2013-05-21,1.5553,1.55609,1.54217,1.5475
2013-05-22,1.5476,1.5609,1.54118,1.5607
2013-05-23,1.56061,1.56588,1.54566,1.56036
2013-05-24,1.5603,1.57299,1.55576,1.56981
2013-05-27,1.56975,1.5715,1.56445,1.56605
2013-05-28,1.56609,1.5735,1.5585,1.57133
2013-05-29,1.57125,1.57738,1.5618,1.56327
2013-05-30,1.5632,1.58079,1.5632,1.57789
2013-05-31,1.57787,1.58865,1.57545,1.58047
2013-06-03,1.58048,1.5858,1.5668,1.57642
2013-06-04,1.5764,1.5921,1.57291,1.58826
2013-06-05,1.58832,1.62968,1.5871,1.6281
2013-06-06,1.62811,1.64763,1.61925,1.64343
2013-06-07,1.64344,1.6536,1.62936,1.64948
2013-06-10,1.6495,1.6584,1.64109,1.65283
2013-06-11,1.65281,1.66719,1.64725,1.65205
2013-06-12,1.65206,1.66325,1.63626,1.65846
2013-06-13,1.65844,1.66114,1.62597,1.63809
2013-06-14,1.63808,1.64461,1.62317,1.63247
2013-06-17,1.63248,1.65294,1.62758,1.6501
2013-06-18,1.65009,1.65762,1.64379,1.64937
2013-06-19,1.64938,1.67137,1.63867,1.66878
2013-06-20,1.6688,1.68744,1.66767,1.68082
2013-06-21,1.68079,1.68271,1.66306,1.66923
2013-06-24,1.66921,1.67811,1.66059,1.67557
2013-06-25,1.67556,1.67752,1.66047,1.66724
2013-06-26,1.66719,1.66731,1.64211,1.64584
2013-06-27,1.64585,1.65371,1.63433,1.64983
2013-06-28,1.64986,1.66783,1.64477,1.65735
2013-07-01,1.65732,1.6617,1.64491,1.64967
2013-07-02,1.64964,1.66551,1.64724,1.66436
2013-07-03,1.66437,1.69159,1.66189,1.6747
2013-07-04,1.67476,1.67769,1.6411,1.64777
2013-07-05,1.64778,1.64841,1.62707,1.64234
2013-07-08,1.64221,1.64522,1.63416,1.63698
2013-07-09,1.63693,1.63824,1.61591,1.62233
2013-07-10,1.6223,1.6413,1.61413,1.63296
2013-07-11,1.63292,1.66068,1.62633,1.65364
2013-07-12,1.65366,1.67692,1.65066,1.66256
2013-07-15,1.66253,1.66458,1.64664,1.64952
2013-07-16,1.64951,1.64969,1.63278,1.63704
2013-07-17,1.63702,1.65619,1.63627,1.65498
2013-07-18,1.65499,1.66168,1.65214,1.65877
2013-07-19,1.65883,1.66385,1.65328,1.65874
2013-07-22,1.65871,1.66744,1.65461,1.65756
2013-07-23,1.65753,1.66239,1.64991,1.65804
2013-07-24,1.6581,1.67734,1.65734,1.67414
2013-07-25,1.67415,1.68129,1.65971,1.66062
2013-07-26,1.66056,1.66535,1.65598,1.65911
2013-07-29,1.65913,1.68913,1.65865,1.68662
2013-07-30,1.68667,1.69393,1.67877,1.6873
2013-07-31,1.68729,1.70341,1.68172,1.69204
2013-08-01,1.69203,1.70324,1.68656,1.69646
2013-08-02,1.69648,1.72546,1.6948,1.72186
2013-08-05,1.72194,1.72657,1.71516,1.71857
2013-08-06,1.71859,1.71973,1.70589,1.70952
