Date,Open,High,Low,Close
2013-01-01,1.61463,1.61682,1.60875,1.61158
2013-01-02,1.61159,1.61339,1.59865,1.59936
2013-01-03,1.59935,1.60018,1.58691,1.5887
2013-01-04,1.58879,1.59116,1.57975,1.58387
2013-01-07,1.58386,1.59017,1.5824,1.58963
2013-01-08,1.58961,1.59031,1.58246,1.58387
2013-01-09,1.58391,1.58676,1.57705,1.57991
2013-01-10,1.5799,1.59242,1.57843,1.58766
2013-01-11,1.58765,1.58999,1.58078,1.58775
2013-01-14,1.58776,1.58876,1.57968,1.58168
2013-01-15,1.58166,1.58441,1.57948,1.58155
2013-01-16,1.58156,1.58209,1.57563,1.57863
2013-01-17,1.57865,1.58338,1.57174,1.57684
2013-01-18,1.57684,1.58155,1.57179,1.57279
2013-01-21,1.57275,1.57773,1.56962,1.57247
2013-01-22,1.57243,1.57856,1.56963,1.57111
2013-01-23,1.57112,1.58601,1.56617,1.58351
2013-01-24,1.58349,1.58548,1.57799,1.58203
2013-01-25,1.58208,1.5962,1.58009,1.58902
2013-01-28,1.58907,1.58973,1.5776,1.57922
2013-01-29,1.57923,1.5846,1.57628,1.57751
2013-01-30,1.57755,1.58596,1.57595,1.58524
2013-01-31,1.58526,1.58796,1.57903,1.58263
2013-02-01,1.58267,1.58445,1.56345,1.56574
2013-02-04,1.56575,1.57442,1.56438,1.57344
2013-02-05,1.57346,1.57774,1.55736,1.56057
2013-02-06,1.5606,1.56424,1.5567,1.55988
2013-02-07,1.55986,1.56987,1.559,1.56905
2013-02-08,1.56904,1.58768,1.56773,1.58695
2013-02-11,1.58694,1.58805,1.57225,1.57513
2013-02-12,1.57512,1.57658,1.56479,1.57107
2013-02-13,1.57105,1.57327,1.55407,1.55429
2013-02-14,1.55434,1.55514,1.54918,1.55209
2013-02-15,1.5521,1.56595,1.54939,1.55976
2013-02-18,1.55977,1.56565,1.55492,1.56353
2013-02-19,1.56354,1.56877,1.55941,1.56182
2013-02-20,1.56183,1.56249,1.54509,1.54867
2013-02-21,1.54868,1.55708,1.54119,1.55397
2013-02-22,1.55393,1.56659,1.54058,1.54803
2013-02-25,1.54805,1.56002,1.54332,1.55774
2013-02-26,1.55775,1.56043,1.54854,1.54986
2013-02-27,1.54989,1.55861,1.54667,1.55121
2013-02-28,1.55119,1.56489,1.54968,1.56164
2013-03-01,1.56165,1.56363,1.5419,1.5489
2013-03-04,1.54892,1.55531,1.54436,1.5512
2013-03-05,1.55118,1.55926,1.55054,1.55369
2013-03-06,1.55374,1.55609,1.54462,1.54729
2013-03-07,1.54733,1.55416,1.54377,1.54542
2013-03-08,1.54541,1.55047,1.52432,1.53285
2013-03-11,1.5328,1.53515,1.52757,1.5287
2013-03-12,1.52869,1.53406,1.52408,1.53197
2013-03-13,1.53199,1.53885,1.53069,1.53415
2013-03-14,1.53416,1.54608,1.53048,1.5418
2013-03-15,1.54186,1.54823,1.53671,1.54656
2013-03-18,1.54659,1.55018,1.54121,1.54272
2013-03-19,1.54274,1.55412,1.54118,1.54956
2013-03-20,1.5495,1.55694,1.54142,1.54996
2013-03-21,1.54994,1.55705,1.54822,1.55467
2013-03-22,1.55462,1.56007,1.55353,1.55903
2013-03-25,1.55911,1.55969,1.54617,1.54832
2013-03-26,1.54831,1.55099,1.53912,1.54141
2013-03-27,1.54142,1.54301,1.53307,1.53813
2013-03-28,1.53818,1.5461,1.5355,1.54485
2013-03-29,1.54483,1.54729,1.54196,1.54441
2013-04-01,1.54439,1.55113,1.54337,1.54753
2013-04-02,1.54754,1.54795,1.53034,1.53056
2013-04-03,1.53056,1.5372,1.52931,1.53497
2013-04-04,1.53495,1.54361,1.52656,1.54201
2013-04-05,1.54202,1.56794,1.54089,1.55854
2013-04-08,1.5586,1.56273,1.55045,1.55214
2013-04-09,1.55216,1.55815,1.55079,1.55689
2013-04-10,1.55688,1.55817,1.55209,1.55594
2013-04-11,1.55593,1.55799,1.55076,1.55482
2013-04-12,1.55483,1.56049,1.553,1.55989
2013-04-15,1.55985,1.56763,1.55959,1.56395
2013-04-16,1.56397,1.57111,1.56229,1.57017
2013-04-17,1.57016,1.5708,1.55992,1.564
2013-04-18,1.56401,1.56994,1.55956,1.56685
2013-04-19,1.56686,1.5747,1.55958,1.5612
2013-04-22,1.56119,1.56904,1.55991,1.56726
2013-04-23,1.56727,1.56868,1.56239,1.56462
2013-04-24,1.5646,1.56955,1.56222,1.56712
2013-04-25,1.56708,1.58195,1.56462,1.57587
2013-04-26,1.57586,1.58155,1.57222,1.57539
2013-04-29,1.57538,1.57672,1.56545,1.5664
2013-04-30,1.56639,1.56868,1.56251,1.56266
2013-05-01,1.56271,1.57209,1.56243,1.56745
2013-05-02,1.56746,1.57103,1.56178,1.56983
2013-05-03,1.56982,1.57473,1.56424,1.56969
2013-05-06,1.5697,1.57073,1.56385,1.56446
2013-05-07,1.56447,1.56597,1.55262,1.55563
2013-05-08,1.5556,1.56225,1.55423,1.55711
2013-05-09,1.55705,1.56296,1.55156,1.55636
2013-05-10,1.55635,1.56044,1.5486,1.55343
2013-05-13,1.55344,1.55621,1.54354,1.54667
2013-05-14,1.54668,1.55203,1.54519,1.55173
2013-05-15,1.55176,1.55729,1.54533,1.54636
2013-05-16,1.54643,1.55771,1.54602,1.55749
2013-05-17,1.55748,1.56769,1.55671,1.56234
2013-05-20,1.56237,1.56504,1.56044,1.56304
2013-05-21,1.56303,1.56389,1.55469,1.55569
2013-05-22,1.55568,1.56201,1.54979,1.56039
2013-05-23,1.56029,1.56254,1.55456,1.55798
2013-05-24,1.55792,1.56632,1.55725,1.56175
2013-05-27,1.56186,1.56434,1.55737,1.56197
2013-05-28,1.56196,1.56575,1.55961,1.56412
2013-05-29,1.56409,1.57175,1.56186,1.56629
2013-05-30,1.56624,1.57251,1.56585,1.56952
2013-05-31,1.56956,1.5778,1.56593,1.57687
2013-06-03,1.57688,1.58427,1.57358,1.57642
2013-06-04,1.57644,1.58539,1.576,1.58391
2013-06-05,1.58393,1.59691,1.58283,1.59454
2013-06-06,1.59457,1.60558,1.59219,1.60238
2013-06-07,1.60239,1.60334,1.57933,1.58437
2013-06-10,1.58436,1.58878,1.57845,1.5873
2013-06-11,1.58729,1.59723,1.58585,1.59677
2013-06-12,1.59678,1.60339,1.58913,1.60085
2013-06-13,1.60081,1.60397,1.58914,1.59742
2013-06-14,1.59741,1.60033,1.5876,1.59492
2013-06-17,1.59495,1.60193,1.5926,1.59928
2013-06-18,1.59925,1.6018,1.5874,1.5986
2013-06-19,1.59864,1.60027,1.58763,1.58849
2013-06-20,1.58848,1.61105,1.58793,1.60891
2013-06-21,1.60893,1.61846,1.60214,1.61421
2013-06-24,1.61417,1.62677,1.61194,1.62273
2013-06-25,1.6227,1.62562,1.61401,1.61947
2013-06-26,1.61949,1.62046,1.5992,1.60023
2013-06-27,1.60025,1.60088,1.59243,1.59981
2013-06-28,1.59976,1.6016,1.59475,1.59942
2013-07-01,1.59943,1.60334,1.59588,1.59882
2013-07-02,1.59883,1.60404,1.59536,1.59675
2013-07-03,1.59673,1.61138,1.59628,1.60391
2013-07-04,1.6039,1.60702,1.57928,1.58428
2013-07-05,1.58429,1.58533,1.56934,1.5733
2013-07-08,1.57329,1.58101,1.57163,1.57692
2013-07-09,1.57691,1.57871,1.56055,1.56459
2013-07-10,1.56457,1.57948,1.56353,1.5731
2013-07-11,1.57312,1.57906,1.56224,1.57261
2013-07-12,1.57259,1.57294,1.56547,1.57006
2013-07-15,1.57007,1.57704,1.56534,1.57628
2013-07-16,1.57631,1.57855,1.567,1.57011
2013-07-17,1.57013,1.58866,1.56866,1.58283
2013-07-18,1.58286,1.58695,1.57845,1.57964
2013-07-19,1.57972,1.58509,1.57798,1.5831
2013-07-22,1.58309,1.59186,1.58074,1.58675
2013-07-23,1.58685,1.58776,1.58042,1.58278
2013-07-24,1.58277,1.58497,1.57426,1.57908
2013-07-25,1.5791,1.58514,1.57244,1.581
2013-07-26,1.58101,1.58401,1.57937,1.57964
2013-07-29,1.57968,1.58239,1.57306,1.57458
2013-07-30,1.5746,1.5787,1.56743,1.56797
2013-07-31,1.56799,1.57004,1.5578,1.56056
2013-08-01,1.56055,1.56983,1.55721,1.56498
2013-08-02,1.56496,1.59052,1.56379,1.5877
2013-08-05,1.58771,1.59668,1.58716,1.58893
2013-08-06,1.58891,1.59618,1.58825,1.59093
2013-08-07,1.59086,1.61792,1.58518,1.61498
2013-08-08,1.615,1.61625,1.60278,1.60431
2013-08-09,1.60433,1.60519,1.59287,1.5933
2013-08-12,1.59327,1.5971,1.59212,1.5935
2013-08-13,1.59345,1.60372,1.59231,1.59813
2013-08-14,1.59814,1.60486,1.59656,1.60131
2013-08-15,1.60134,1.61408,1.60041,1.61076
2013-08-16,1.6108,1.6187,1.60984,1.614
2013-08-19,1.61401,1.62314,1.61312,1.62227
2013-08-20,1.62229,1.63252,1.61949,1.63209
2013-08-21,1.63202,1.64335,1.63118,1.63713
2013-08-22,1.63707,1.64247,1.63172,1.64169
2013-08-23,1.64172,1.65086,1.63333,1.63467
2013-08-26,1.63465,1.64046,1.63426,1.63638
2013-08-27,1.63642,1.63922,1.62748,1.62917
2013-08-28,1.62912,1.63085,1.61705,1.62955
2013-08-29,1.62951,1.63486,1.62623,1.63355
2013-08-30,1.6335,1.63711,1.62637,1.63634
2013-09-02,1.63633,1.64327,1.63556,1.64128
2013-09-03,1.64129,1.64448,1.6346,1.64003
2013-09-04,1.64005,1.6424,1.63581,1.63665
2013-09-05,1.63669,1.64349,1.63489,1.63616
2013-09-06,1.63617,1.63665,1.62143,1.62622
2013-09-09,1.62621,1.63201,1.62489,1.62694
2013-09-10,1.62692,1.62955,1.62044,1.62823
2013-09-11,1.62821,1.63656,1.62665,1.63245
2013-09-12,1.63246,1.63494,1.62844,1.63049
2013-09-13,1.63048,1.64507,1.6303,1.64386
2013-09-16,1.64389,1.64531,1.63837,1.64134
2013-09-17,1.64135,1.64443,1.63341,1.63723
2013-09-18,1.63724,1.65207,1.63719,1.6481
2013-09-19,1.64808,1.6493,1.63637,1.64928
2013-09-20,1.64926,1.6513,1.6451,1.64935
2013-09-23,1.64934,1.65437,1.64758,1.64857
2013-09-24,1.64855,1.6491,1.63907,1.64693
2013-09-25,1.64692,1.65932,1.6464,1.65893
2013-09-26,1.65896,1.65993,1.65141,1.65464
2013-09-27,1.65463,1.66872,1.6544,1.6654
2013-09-30,1.66537,1.67699,1.65999,1.67539
2013-10-01,1.67538,1.67652,1.66995,1.67287
2013-10-02,1.67286,1.68061,1.67274,1.67622
2013-10-03,1.6762,1.67805,1.66692,1.66957
2013-10-04,1.66958,1.67032,1.64713,1.65179
2013-10-07,1.6518,1.66237,1.65131,1.66041
2013-10-08,1.66033,1.66957,1.65462,1.66632
2013-10-09,1.66633,1.6669,1.65191,1.6578
2013-10-10,1.65779,1.66286,1.65451,1.66142
2013-10-11,1.66143,1.66273,1.65014,1.65496
2013-10-14,1.65494,1.65786,1.65003,1.65243
2013-10-15,1.65241,1.66197,1.64846,1.65694
2013-10-16,1.65696,1.6659,1.64422,1.64938
2013-10-17,1.64937,1.66407,1.64803,1.66236
2013-10-18,1.66234,1.66862,1.66217,1.66279
2013-10-21,1.6628,1.66563,1.6607,1.66122
2013-10-22,1.66119,1.67155,1.65914,1.67151
2013-10-23,1.67149,1.68115,1.6639,1.68003
2013-10-24,1.68004,1.68983,1.67874,1.68861
2013-10-25,1.68859,1.69598,1.68656,1.68841
2013-10-28,1.68844,1.69234,1.67905,1.68209
2013-10-29,1.68211,1.68262,1.67556,1.6776
2013-10-30,1.67758,1.68218,1.67682,1.67842
2013-10-31,1.67844,1.67955,1.6706,1.67083
2013-11-01,1.6708,1.6729,1.65764,1.65911
2013-11-04,1.65912,1.66781,1.65852,1.66671
2013-11-05,1.66675,1.68177,1.66558,1.67983
2013-11-06,1.67995,1.68332,1.67375,1.67557
