Date,Open,High,Low,Close
2013-01-01,1.48733,1.48917,1.48065,1.48682
2013-01-02,1.48683,1.49337,1.48317,1.49264
2013-01-03,1.49263,1.49519,1.48836,1.49082
2013-01-04,1.49099,1.49251,1.48357,1.48636
2013-01-07,1.48637,1.49085,1.48254,1.48414
2013-01-08,1.48415,1.48516,1.48131,1.48299
2013-01-09,1.48297,1.48601,1.48082,1.48316
2013-01-10,1.48315,1.48364,1.47499,1.47825
2013-01-11,1.47821,1.48224,1.46881,1.47289
2013-01-14,1.4729,1.48985,1.47147,1.48562
2013-01-15,1.48563,1.49797,1.48154,1.4965
2013-01-16,1.49653,1.49677,1.4857,1.48995
2013-01-17,1.48999,1.50022,1.48828,1.49738
2013-01-18,1.49739,1.49812,1.47852,1.48273
2013-01-21,1.48275,1.48316,1.47397,1.47517
2013-01-22,1.47515,1.4775,1.46928,1.47075
2013-01-23,1.47074,1.47671,1.46811,1.47246
2013-01-24,1.47245,1.47665,1.46485,1.46675
2013-01-25,1.46677,1.46809,1.45488,1.46273
2013-01-28,1.4627,1.46321,1.4526,1.45446
2013-01-29,1.45449,1.45486,1.44739,1.45246
2013-01-30,1.45249,1.45403,1.4359,1.43677
2013-01-31,1.43678,1.44554,1.43654,1.44446
2013-02-01,1.44448,1.44574,1.41928,1.42666
2013-02-04,1.42667,1.43393,1.42594,1.43336
2013-02-05,1.43335,1.43634,1.41806,1.42182
2013-02-06,1.42184,1.43191,1.42146,1.42508
2013-02-07,1.42509,1.44487,1.4204,1.44259
2013-02-08,1.44262,1.45344,1.44132,1.45094
2013-02-11,1.45093,1.45096,1.4368,1.44029
2013-02-12,1.44034,1.44217,1.42792,1.43888
2013-02-13,1.43887,1.43909,1.42316,1.42347
2013-02-14,1.42348,1.43372,1.42302,1.43029
2013-02-15,1.4303,1.4343,1.42449,1.43234
2013-02-18,1.43238,1.43308,1.42475,1.4282
2013-02-19,1.42821,1.43317,1.41958,1.42231
2013-02-20,1.4223,1.42254,1.40694,1.41283
2013-02-21,1.41287,1.42316,1.40641,1.42061
2013-02-22,1.42051,1.42569,1.40077,1.40816
2013-02-25,1.40814,1.41682,1.39638,1.41319
2013-02-26,1.41321,1.4155,1.40682,1.40903
2013-02-27,1.40909,1.4117,1.40447,1.40914
2013-02-28,1.40916,1.42235,1.40846,1.41996
2013-03-01,1.41995,1.42131,1.40915,1.4171
2013-03-04,1.41715,1.42359,1.41467,1.42211
2013-03-05,1.42209,1.42865,1.42109,1.42387
2013-03-06,1.42389,1.4263,1.41923,1.42237
2013-03-07,1.42238,1.42677,1.41451,1.41572
2013-03-08,1.41571,1.42585,1.4144,1.41905
2013-03-11,1.41904,1.42087,1.4116,1.41332
2013-03-12,1.41333,1.41541,1.40277,1.4135
2013-03-13,1.41345,1.42329,1.40888,1.42254
2013-03-14,1.42253,1.43127,1.42183,1.42823
2013-03-15,1.42825,1.43162,1.41724,1.42389
2013-03-18,1.42388,1.43567,1.42253,1.42918
2013-03-19,1.42921,1.43281,1.42328,1.42953
