Date,Open,High,Low,Close
2013-01-01,140.915,142.742,140.537,142.172
2013-01-02,142.174,142.606,141.268,141.498
2013-01-03,141.5,141.711,140.156,141.001
2013-01-04,141.009,142.057,140.515,141.137
2013-01-07,141.136,141.522,140.484,140.881
2013-01-08,140.878,141.055,139.383,140.301
2013-01-09,140.298,141.229,139.975,141.076
2013-01-10,141.077,144.402,141.039,143.758
2013-01-11,143.759,144.784,142.988,144.581
2013-01-14,144.58,144.694,142.594,143.107
2013-01-15,143.106,143.22,141.277,141.516
2013-01-16,141.517,142.187,140.489,141.266
2013-01-17,141.264,144.241,141.132,143.781
2013-01-18,143.785,144.065,141.808,142.085
2013-01-21,142.086,142.794,140.942,141.298
2013-01-22,141.299,141.703,139.774,140.113
2013-01-23,140.11,141.425,139.244,141.012
2013-01-24,141.011,143.098,140.933,142.615
2013-01-25,142.62,144.222,142.608,143.491
2013-01-28,143.492,143.546,141.874,142.55
2013-01-29,142.543,143.423,142.032,143.209
2013-01-30,143.208,144.187,143.036,143.511
2013-01-31,143.513,146.431,143.454,146.191
2013-02-01,146.194,146.465,144.881,145.391
2013-02-04,145.396,146.593,144.846,145.471
2013-02-05,145.469,147.235,144.902,146.913
2013-02-06,146.91,147.223,145.923,146.339
2013-02-07,146.337,147.96,145.986,147.014
2013-02-08,147.013,147.06,145.036,146.217
2013-02-11,146.215,147.904,145.949,147.446
2013-02-12,147.444,147.593,145.26,145.683
2013-02-13,145.689,146.371,144.651,145.126
2013-02-14,145.121,145.336,143.123,143.149
2013-02-15,143.154,145.873,142.745,145.603
2013-02-18,145.604,145.738,144.789,144.848
2013-02-19,144.844,145.126,143.868,144.303
2013-02-20,144.301,144.319,142.002,142.146
2013-02-21,142.148,143.043,141.319,142.788
2013-02-22,142.789,142.913,141.534,142.305
2013-02-25,142.308,142.777,137.862,139.901
2013-02-26,139.897,140.193,137.812,138.877
2013-02-27,138.879,140.488,138.128,139.86
2013-02-28,139.858,140.874,139.449,140.523
2013-03-01,140.526,140.9,139.093,140.318
2013-03-04,140.318,141.422,140.201,140.827
2013-03-05,140.826,141.425,140.56,141.011
2013-03-06,141.012,141.477,140.55,140.817
2013-03-07,140.819,143.163,140.57,142.941
2013-03-08,142.94,144.717,142.639,143.428
2013-03-11,143.426,144.118,142.796,143.732
2013-03-12,143.733,143.8,141.991,142.918
2013-03-13,142.909,143.798,142.623,143.278
2013-03-14,143.274,145.122,143.177,144.996
2013-03-15,144.998,145.86,142.298,143.048
2013-03-18,143.05,144.617,142.338,144.267
2013-03-19,144.268,144.502,143.14,143.433
2013-03-20,143.434,145.245,143.252,145.103
2013-03-21,145.101,145.196,143.424,144.159
2013-03-22,144.158,144.769,143.005,144.517
2013-03-25,144.518,144.652,141.873,143.176
2013-03-26,143.173,143.735,142.489,143.708
2013-03-27,143.712,143.79,142.022,142.489
2013-03-28,142.491,143.267,142.185,143.125
2013-03-29,143.123,143.387,142.524,142.73
2013-04-01,142.733,142.834,141.165,141.36
2013-04-02,141.364,141.824,140.934,141.073
2013-04-03,141.071,141.507,140.368,140.513
2013-04-04,140.515,147.865,140.465,147.524
2013-04-05,147.529,151.683,145.934,150.983
2013-04-08,150.981,152.053,150.599,151.618
2013-04-09,151.615,152.367,150.543,151.753
2013-04-10,151.752,153.034,151.367,152.641
2013-04-11,152.64,153.844,152.339,153.085
2013-04-12,153.083,153.224,149.438,149.61
2013-04-15,149.609,150.712,146.447,149.075
2013-04-16,149.074,151.063,148.799,150.7
2013-04-17,150.699,151.146,148.096,149.887
2013-04-18,149.895,150.892,149.089,150.511
2013-04-19,150.514,152.503,150.444,152.051
2013-04-22,152.052,152.196,150.5,150.545
2013-04-23,150.549,152.006,149.945,151.545
2013-04-24,151.542,152.485,151.344,152.282
2013-04-25,152.281,153.751,151.402,153.174
2013-04-26,153.175,153.271,151.03,151.297
2013-04-29,151.298,152.194,151.253,151.634
2013-04-30,151.633,151.783,150.726,151.004
2013-05-01,151.012,152.219,150.997,151.286
2013-05-02,151.287,153.224,150.93,152.086
2013-05-03,152.085,154.664,152.055,154.376
2013-05-06,154.373,154.773,153.631,153.945
