Date,Open,High,Low,Close
2013-01-01,1.96319,1.96685,1.94255,1.95175
2013-01-02,1.95168,1.95629,1.9433,1.94772
2013-01-03,1.94774,1.95316,1.93456,1.94947
2013-01-04,1.9496,1.95077,1.92939,1.93291
2013-01-07,1.93293,1.93436,1.91803,1.92729
2013-01-08,1.9272,1.92772,1.91097,1.91218
2013-01-09,1.91216,1.91921,1.90207,1.9048
2013-01-10,1.90481,1.91686,1.89907,1.91525
2013-01-11,1.91524,1.92825,1.91457,1.91967
2013-01-14,1.91966,1.92244,1.90338,1.91207
2013-01-15,1.9121,1.91893,1.90294,1.9105
2013-01-16,1.91047,1.91277,1.89837,1.90463
2013-01-17,1.90468,1.91528,1.89718,1.91201
2013-01-18,1.91189,1.91333,1.89246,1.89727
2013-01-21,1.89728,1.89989,1.8828,1.88475
2013-01-22,1.88467,1.8882,1.8765,1.88282
2013-01-23,1.88281,1.88395,1.8738,1.87722
2013-01-24,1.87724,1.88787,1.87475,1.88556
2013-01-25,1.88558,1.89052,1.87752,1.88575
2013-01-28,1.88576,1.89778,1.8745,1.87633
2013-01-29,1.87635,1.88381,1.87336,1.88054
2013-01-30,1.88053,1.90209,1.8804,1.89176
2013-01-31,1.89171,1.89397,1.87969,1.8857
2013-02-01,1.88574,1.88711,1.8489,1.85475
2013-02-04,1.85473,1.87151,1.85334,1.87004
2013-02-05,1.87003,1.87112,1.848,1.85268
2013-02-06,1.85265,1.87289,1.85196,1.87167
2013-02-07,1.87166,1.89162,1.86936,1.88186
2013-02-08,1.88201,1.8962,1.87803,1.89445
2013-02-11,1.89437,1.8967,1.86825,1.87217
2013-02-12,1.87219,1.87458,1.85403,1.86048
2013-02-13,1.86046,1.86271,1.82854,1.83115
2013-02-14,1.83119,1.8323,1.81436,1.82258
2013-02-15,1.8226,1.83943,1.81635,1.8358
2013-02-18,1.8357,1.83933,1.82648,1.83174
2013-02-19,1.83172,1.83909,1.81535,1.83387
2013-02-20,1.83388,1.8383,1.81929,1.82185
2013-02-21,1.82186,1.83273,1.81301,1.8239
2013-02-22,1.82389,1.82777,1.80133,1.8058
2013-02-25,1.80583,1.82442,1.79486,1.82099
2013-02-26,1.82091,1.84025,1.81764,1.83131
2013-02-27,1.8313,1.8424,1.82112,1.82242
2013-02-28,1.82234,1.83989,1.82142,1.834
2013-03-01,1.83396,1.83735,1.81609,1.83081
2013-03-04,1.83082,1.83418,1.82177,1.82246
2013-03-05,1.8225,1.83443,1.81347,1.81644
2013-03-06,1.81641,1.81746,1.8047,1.81189
2013-03-07,1.81194,1.81876,1.80322,1.81431
2013-03-08,1.81426,1.82321,1.804,1.81518
2013-03-11,1.81516,1.82215,1.79969,1.80528
2013-03-12,1.80527,1.81329,1.79808,1.80959
2013-03-13,1.80965,1.82711,1.80342,1.82573
2013-03-14,1.82582,1.83942,1.82201,1.83738
2013-03-15,1.83739,1.84417,1.82255,1.83354
2013-03-18,1.83358,1.83796,1.82473,1.82789
2013-03-19,1.82794,1.8375,1.82641,1.8326
2013-03-20,1.8327,1.8448,1.82438,1.82691
2013-03-21,1.8271,1.83125,1.8142,1.8235
2013-03-22,1.8234,1.82856,1.81905,1.82534
2013-03-25,1.82538,1.82583,1.81182,1.81832
2013-03-26,1.8183,1.8196,1.80452,1.80826
2013-03-27,1.80823,1.81183,1.80447,1.80936
2013-03-28,1.80935,1.81775,1.80255,1.81721
2013-03-29,1.81718,1.8177,1.81205,1.81637
2013-04-01,1.81647,1.82253,1.8122,1.813
2013-04-02,1.81302,1.81387,1.79154,1.79428
2013-04-03,1.79422,1.79945,1.78994,1.79821
2013-04-04,1.7982,1.81348,1.79395,1.81143
2013-04-05,1.81142,1.82694,1.80659,1.82144
2013-04-08,1.82149,1.82195,1.79667,1.7979
2013-04-09,1.79795,1.80786,1.7944,1.79626
2013-04-10,1.79622,1.7979,1.7817,1.78444
2013-04-11,1.78442,1.78487,1.76978,1.7823
2013-04-12,1.78236,1.80892,1.78133,1.80279
2013-04-15,1.80284,1.82324,1.79875,1.80575
2013-04-16,1.80569,1.81354,1.8005,1.81227
2013-04-17,1.8123,1.81432,1.79627,1.80335
2013-04-18,1.8033,1.81817,1.79893,1.81251
2013-04-19,1.8125,1.81589,1.79981,1.80353
2013-04-22,1.80355,1.8224,1.8017,1.81834
2013-04-23,1.81829,1.82314,1.80235,1.80543
2013-04-24,1.80521,1.80907,1.79296,1.79402
2013-04-25,1.79399,1.81582,1.79186,1.81261
2013-04-26,1.81253,1.8264,1.80917,1.81916
2013-04-29,1.81925,1.82197,1.80475,1.80799
