Date,Open,High,Low,Close
2013-01-01,1.62559,1.63803,1.62345,1.6318
2013-01-02,1.63181,1.63377,1.62002,1.62206
2013-01-03,1.62207,1.62404,1.60572,1.60724
2013-01-04,1.60738,1.60816,1.60083,1.60351
2013-01-07,1.60352,1.61276,1.60201,1.61086
2013-01-08,1.61085,1.61127,1.60277,1.60423
2013-01-09,1.60424,1.60737,1.59913,1.60102
2013-01-10,1.60101,1.6178,1.60061,1.61487
2013-01-11,1.61486,1.61689,1.60875,1.61427
2013-01-14,1.61426,1.61449,1.60301,1.60749
2013-01-15,1.6075,1.60995,1.60317,1.60599
2013-01-16,1.60593,1.60597,1.59744,1.59937
2013-01-17,1.59941,1.60378,1.59538,1.59815
2013-01-18,1.59814,1.59951,1.58429,1.5869
2013-01-21,1.58691,1.5892,1.58047,1.58549
2013-01-22,1.58548,1.5882,1.58077,1.58325
2013-01-23,1.58324,1.58909,1.58009,1.58301
2013-01-24,1.58302,1.58503,1.57551,1.57705
2013-01-25,1.57707,1.58256,1.57445,1.5762
2013-01-28,1.57619,1.57671,1.56733,1.57028
2013-01-29,1.57031,1.57719,1.56943,1.57475
2013-01-30,1.57477,1.58156,1.5724,1.58026
2013-01-31,1.58025,1.58737,1.57738,1.58685
2013-02-01,1.58683,1.58772,1.56878,1.56976
2013-02-04,1.56974,1.57709,1.56953,1.57499
2013-02-05,1.575,1.58031,1.56292,1.56585
2013-02-06,1.56584,1.56769,1.56303,1.56605
2013-02-07,1.56607,1.57676,1.56549,1.57269
2013-02-08,1.57268,1.58431,1.57147,1.57984
2013-02-11,1.57982,1.58087,1.56433,1.56559
2013-02-12,1.5656,1.56877,1.55709,1.56831
2013-02-13,1.5683,1.56843,1.5519,1.5521
2013-02-14,1.55212,1.55302,1.54737,1.55163
2013-02-15,1.55165,1.55483,1.54602,1.54811
2013-02-18,1.54808,1.55064,1.54365,1.54703
2013-02-19,1.54705,1.55029,1.54139,1.54391
2013-02-20,1.5439,1.54453,1.51917,1.52086
2013-02-21,1.52087,1.5319,1.51309,1.52937
2013-02-22,1.52935,1.53149,1.50718,1.51236
2013-02-25,1.51239,1.5218,1.50855,1.51967
2013-02-26,1.51968,1.52158,1.50995,1.51094
2013-02-27,1.51093,1.51869,1.50792,1.51606
2013-02-28,1.51605,1.52205,1.51475,1.51674
2013-03-01,1.51675,1.51845,1.49845,1.50326
2013-03-04,1.50325,1.51393,1.49985,1.51218
2013-03-05,1.51217,1.51975,1.50929,1.5134
2013-03-06,1.51342,1.51456,1.49659,1.50013
2013-03-07,1.50016,1.50815,1.49663,1.49869
