Date,Open,High,Low,Close
2013-01-01,71.712,73.107,71.526,72.782
2013-01-02,72.784,73.104,72.216,72.598
2013-01-03,72.595,72.794,72.129,72.278
2013-01-04,72.28,73.517,72.253,72.97
2013-01-07,72.971,73.527,72.644,73.05
2013-01-08,73.049,73.417,72.545,73.322
2013-01-09,73.323,74.037,73.027,74.007
2013-01-10,74.008,75.379,73.987,75.002
2013-01-11,75.006,75.297,74.445,75.264
2013-01-14,75.265,75.504,74.522,74.796
2013-01-15,74.8,74.899,73.901,74.023
2013-01-16,74.024,74.732,73.467,74.122
2013-01-17,74.12,75.807,73.978,75.146
2013-01-18,75.148,75.472,74.576,74.839
2013-01-21,74.84,75.646,74.654,74.915
2013-01-22,74.917,75.15,74.284,74.367
2013-01-23,74.365,75.325,74.03,75.065
2013-01-24,75.067,75.869,74.98,75.584
2013-01-25,75.585,76.358,75.55,76.041
2013-01-28,76.042,76.077,75.029,75.922
2013-01-29,75.917,76.257,75.447,76.103
2013-01-30,76.102,76.262,75.466,75.81
2013-01-31,75.814,77.518,75.758,77.476
2013-02-01,77.477,78.73,77.335,78.334
2013-02-04,78.336,78.773,77.448,77.734
2013-02-05,77.733,79.328,77.593,79.243
2013-02-06,79.242,79.391,77.979,78.129
2013-02-07,78.13,78.578,77.35,78.065
2013-02-08,78.059,78.117,77.022,77.13
2013-02-11,77.125,78.888,76.974,78.706
2013-02-12,78.704,78.829,78.117,78.252
2013-02-13,78.255,79.337,78.196,79.199
2013-02-14,79.196,79.618,78.447,78.489
2013-02-15,78.493,79.484,78.437,79.26
2013-02-18,79.262,79.519,78.83,79.021
2013-02-19,79.02,79.382,78.439,78.634
2013-02-20,78.632,78.643,77.851,77.969
2013-02-21,77.971,78.292,77.341,78.231
2013-02-22,78.227,79.053,77.798,78.752
2013-02-25,78.751,79.013,76.061,76.775
2013-02-26,76.774,76.813,75.149,75.78
2013-02-27,75.784,76.88,75.084,76.689
2013-02-28,76.688,76.911,76.259,76.569
2013-03-01,76.57,77.315,76.317,76.589
2013-03-04,76.588,77.398,76.469,77.217
2013-03-05,77.216,77.741,76.889,77.579
2013-03-06,77.578,78.032,77.52,77.666
2013-03-07,77.663,78.779,77.649,78.732
2013-03-08,78.731,79.812,78.256,78.962
2013-03-11,78.964,79.879,78.663,79.564
2013-03-12,79.56,79.635,78.736,78.922
2013-03-13,78.921,79.389,78.303,78.425
2013-03-14,78.426,79.1,78.389,78.861
2013-03-15,78.86,79.095,77.386,77.956
2013-03-18,77.958,78.975,77.728,78.865
2013-03-19,78.867,78.926,78.013,78.21
2013-03-20,78.205,79.48,78.02,79.37
2013-03-21,79.366,79.586,78.641,79.0
2013-03-22,78.999,79.351,78.408,79.117
2013-03-25,79.116,79.38,78.016,78.685
2013-03-26,78.686,79.459,78.521,79.421
2013-03-27,79.424,79.445,78.463,78.693
2013-03-28,78.694,78.987,78.549,78.707
2013-03-29,78.708,78.977,78.408,78.525
2013-04-01,78.53,78.566,77.768,77.918
2013-04-02,77.919,78.829,77.85,78.57
2013-04-03,78.569,78.955,78.026,78.089
2013-04-04,78.088,81.581,78.053,81.381
2013-04-05,81.382,83.086,80.479,82.831
2013-04-08,82.832,84.479,82.799,84.272
2013-04-09,84.271,84.741,83.632,84.427
2013-04-10,84.426,85.762,84.411,85.484
2013-04-11,85.483,86.389,85.44,85.832
2013-04-12,85.828,85.899,82.807,82.932
2013-04-15,82.934,83.519,80.527,82.501
2013-04-16,82.5,83.448,82.301,83.095
2013-04-17,83.094,83.482,81.951,83.059
2013-04-18,83.064,83.32,82.273,82.985
2013-04-19,82.986,84.468,82.945,84.249
2013-04-22,84.25,84.301,82.643,82.738
2013-04-23,82.741,84.109,82.372,83.869
2013-04-24,83.878,84.885,83.708,84.817
2013-04-25,84.816,84.91,84.114,84.441
2013-04-26,84.444,84.532,82.823,83.11
2013-04-29,83.111,84.072,83.079,83.812
2013-04-30,83.809,83.911,83.115,83.389
2013-05-01,83.391,83.694,82.317,82.613
2013-05-02,82.618,83.599,82.221,83.522
2013-05-03,83.526,84.767,83.308,84.717
2013-05-06,84.718,84.857,84.069,84.358
2013-05-07,84.357,84.419,82.763,83.109
2013-05-08,83.11,83.792,82.676,83.545
2013-05-09,83.546,84.809,83.268,84.582
2013-05-10,84.58,84.674,83.974,84.301
2013-05-13,84.296,84.595,83.831,84.099
2013-05-14,84.101,84.181,83.525,83.933
2013-05-15,83.931,84.493,83.741,84.236
2013-05-16,84.235,84.362,82.764,82.81
2013-05-17,82.822,83.432,82.542,83.368
2013-05-20,83.367,83.879,83.212,83.808
2013-05-21,83.809,84.21,83.336,83.573
2013-05-22,83.572,84.351,82.398,82.401
2013-05-23,82.402,83.195,81.115,82.217
2013-05-24,82.216,82.596,81.311,81.595
2013-05-27,81.596,82.407,81.47,82.326
2013-05-28,82.327,83.03,82.145,82.494
2013-05-29,82.493,82.661,81.551,81.807
2013-05-30,81.799,82.128,81.142,81.546
2013-05-31,81.548,81.732,79.723,80.184
2013-06-03,80.187,80.744,79.635,80.187
2013-06-04,80.188,80.729,79.689,80.475
2013-06-05,80.476,80.52,78.359,78.58
2013-06-06,78.579,79.079,76.578,76.667
2013-06-07,76.67,77.418,75.786,76.896
2013-06-10,76.895,78.386,76.892,77.582
2013-06-11,77.583,77.604,75.093,76.091
2013-06-12,76.09,77.483,74.709,75.04
2013-06-13,75.031,77.65,74.437,76.431
2013-06-14,76.428,77.411,75.574,76.606
2013-06-17,76.611,76.966,75.446,75.718
2013-06-18,75.717,76.565,75.492,76.036
2013-06-19,76.042,76.815,75.671,76.264
2013-06-20,76.26,76.753,75.056,75.687
2013-06-21,75.684,76.474,75.026,76.296
2013-06-24,76.3,76.378,75.039,75.081
2013-06-25,75.079,76.028,75.055,75.58
2013-06-26,75.584,76.645,75.274,76.425
2013-06-27,76.428,77.272,76.334,77.157
2013-06-28,77.159,77.292,76.451,77.138
2013-07-01,77.141,78.041,77.054,77.736
2013-07-02,77.736,78.237,77.394,77.882
2013-07-03,77.884,78.023,76.877,77.663
2013-07-04,77.658,78.614,77.373,78.283
2013-07-05,78.281,78.882,77.523,78.194
2013-07-08,78.196,79.01,77.978,78.85
2013-07-09,78.849,79.728,78.767,79.184
2013-07-10,79.185,79.256,77.815,78.336
