Date,Open,High,Low,Close
2013-01-01,0.8275,0.8395,0.82608,0.83556
2013-01-02,0.83555,0.8392,0.8291,0.83232
2013-01-03,0.83231,0.83502,0.82218,0.82397
2013-01-04,0.82398,0.83239,0.82121,0.82908
2013-01-07,0.8291,0.83771,0.82854,0.83533
2013-01-08,0.83532,0.83962,0.8334,0.83843
2013-01-09,0.83844,0.84083,0.8349,0.83999
2013-01-10,0.83998,0.84593,0.83985,0.84266
2013-01-11,0.84265,0.84265,0.836,0.84041
2013-01-14,0.8404,0.84392,0.83899,0.84021
2013-01-15,0.84022,0.84383,0.83713,0.84012
2013-01-16,0.84011,0.84254,0.83662,0.83924
2013-01-17,0.83923,0.8419,0.83297,0.83532
2013-01-18,0.83537,0.83746,0.83323,0.83592
2013-01-21,0.83593,0.84127,0.83474,0.84069
2013-01-22,0.8407,0.84284,0.83948,0.84039
2013-01-23,0.8404,0.84456,0.84012,0.84277
2013-01-24,0.84275,0.84441,0.83545,0.83588
2013-01-25,0.83589,0.83927,0.83511,0.83534
2013-01-28,0.83533,0.83723,0.82787,0.83639
2013-01-29,0.83638,0.83959,0.83492,0.83693
2013-01-30,0.83694,0.83696,0.82933,0.83484
2013-01-31,0.83486,0.84381,0.83449,0.84104
2013-02-01,0.84099,0.84814,0.83953,0.84581
2013-02-04,0.84583,0.84697,0.84099,0.8417
2013-02-05,0.84166,0.84641,0.84111,0.84466
2013-02-06,0.84467,0.84487,0.83502,0.83622
2013-02-07,0.83623,0.83743,0.82963,0.83519
2013-02-08,0.83521,0.83872,0.83272,0.83344
2013-02-11,0.83343,0.8378,0.83085,0.83576
2013-02-12,0.83575,0.84355,0.8332,0.84244
2013-02-13,0.8425,0.84916,0.8393,0.84706
2013-02-14,0.84707,0.85325,0.84517,0.8508
2013-02-15,0.85079,0.85177,0.84228,0.84278
2013-02-18,0.8428,0.84625,0.84029,0.84405
2013-02-19,0.84406,0.84878,0.83925,0.84138
2013-02-20,0.84141,0.84151,0.83261,0.83428
2013-02-21,0.83427,0.83882,0.83123,0.83795
2013-02-22,0.83796,0.83964,0.83458,0.83699
2013-02-25,0.83698,0.84159,0.83201,0.83404
2013-02-26,0.83403,0.83458,0.82227,0.82452
2013-02-27,0.82453,0.83229,0.82248,0.83139
2013-02-28,0.83138,0.8322,0.82384,0.8265
2013-03-01,0.82651,0.82933,0.81944,0.82057
2013-03-04,0.82058,0.83027,0.81917,0.82923
2013-03-05,0.82921,0.83401,0.8255,0.83266
2013-03-06,0.83267,0.83488,0.82592,0.82744
2013-03-07,0.82741,0.83125,0.82456,0.82552
2013-03-08,0.82551,0.82928,0.8186,0.82144
2013-03-11,0.82145,0.8284,0.81907,0.82427
2013-03-12,0.82428,0.827,0.82302,0.82482
2013-03-13,0.82483,0.82751,0.8161,0.81774
2013-03-14,0.81775,0.82338,0.81643,0.82036
2013-03-15,0.82035,0.82789,0.82007,0.82341
2013-03-18,0.82342,0.82681,0.82248,0.82545
2013-03-19,0.82546,0.8258,0.82206,0.82276
2013-03-20,0.82271,0.82809,0.82093,0.82723
2013-03-21,0.82721,0.83439,0.82541,0.83215
2013-03-22,0.83216,0.83615,0.83064,0.83455
2013-03-25,0.83456,0.83699,0.83341,0.83437
2013-03-26,0.83438,0.83956,0.83412,0.83756
2013-03-27,0.83757,0.83848,0.83419,0.83586
2013-03-28,0.83587,0.83841,0.83508,0.83633
2013-03-29,0.83632,0.83737,0.83504,0.83523
2013-04-01,0.83524,0.84105,0.83511,0.84033
2013-04-02,0.84036,0.84441,0.83959,0.84025
2013-04-03,0.84026,0.84471,0.84007,0.84091
2013-04-04,0.84092,0.84358,0.83623,0.8399
2013-04-05,0.83991,0.84349,0.83729,0.84096
2013-04-08,0.84095,0.84952,0.84093,0.8486
2013-04-09,0.84859,0.8536,0.8464,0.85313
2013-04-10,0.85312,0.85967,0.85218,0.85845
2013-04-11,0.85844,0.86749,0.85822,0.86319
2013-04-12,0.86317,0.86362,0.84765,0.84922
2013-04-15,0.84921,0.85113,0.83769,0.84687
2013-04-16,0.84686,0.85084,0.84428,0.84676
2013-04-17,0.84675,0.84912,0.842,0.84532
2013-04-18,0.84533,0.84677,0.84011,0.84321
2013-04-19,0.8432,0.84899,0.83948,0.84412
