Date,Open,High,Low,Close
2013-01-01,70.96,71.519,70.802,71.355
2013-01-02,71.357,71.544,71.24,71.362
2013-01-03,71.361,71.503,70.942,71.363
2013-01-04,71.364,72.042,71.321,71.475
2013-01-07,71.476,71.512,70.952,71.078
2013-01-08,71.072,71.283,70.628,71.217
2013-01-09,71.218,71.833,71.131,71.803
2013-01-10,71.807,73.036,71.783,72.76
2013-01-11,72.761,73.166,72.385,73.031
2013-01-14,73.032,73.211,72.372,72.666
2013-01-15,72.667,72.721,71.787,71.931
2013-01-16,71.932,72.546,71.651,72.105
2013-01-17,72.104,73.638,72.018,73.398
2013-01-18,73.399,73.549,72.789,72.801
2013-01-21,72.802,73.396,72.409,72.598
2013-01-22,72.602,72.861,71.943,71.993
2013-01-23,72.0,72.776,71.699,72.529
2013-01-24,72.531,73.714,72.488,73.46
2013-01-25,73.461,74.032,73.453,73.649
2013-01-28,73.65,73.66,72.983,73.42
2013-01-29,73.417,73.755,72.944,73.618
2013-01-30,73.619,73.913,73.199,73.282
2013-01-31,73.281,74.219,73.249,74.152
2013-02-01,74.157,74.945,74.02,74.759
2013-02-04,74.76,75.219,74.213,74.638
2013-02-05,74.633,75.846,74.499,75.801
2013-02-06,75.8,75.971,75.278,75.412
2013-02-07,75.411,75.883,75.071,75.381
2013-02-08,75.382,75.403,74.419,74.717
2013-02-11,74.713,76.082,74.67,75.705
2013-02-12,75.703,75.847,74.935,75.063
2013-02-13,75.07,75.8,75.03,75.636
2013-02-14,75.631,75.765,74.651,74.667
2013-02-15,74.666,75.962,74.583,75.819
2013-02-18,75.82,75.933,75.47,75.617
2013-02-19,75.612,75.855,75.371,75.578
2013-02-20,75.572,75.91,75.24,75.32
2013-02-21,75.324,75.44,74.742,75.4
2013-02-22,75.396,76.27,75.194,75.914
2013-02-25,75.911,76.12,73.355,74.293
2013-02-26,74.292,74.528,73.484,74.218
2013-02-27,74.22,74.937,73.573,74.609
2013-02-28,74.601,75.069,74.422,74.852
2013-03-01,74.851,75.55,74.66,74.912
2013-03-04,74.911,75.09,74.73,74.861
2013-03-05,74.86,74.967,74.62,74.852
2013-03-06,74.84,75.37,74.822,75.19
2013-03-07,75.199,76.529,75.169,76.471
2013-03-08,76.47,77.394,76.399,76.958
2013-03-11,76.957,77.47,76.821,77.349
2013-03-12,77.35,77.406,76.61,76.722
2013-03-13,76.72,77.038,76.569,76.777
2013-03-14,76.779,77.241,76.595,76.976
2013-03-15,76.977,77.109,75.23,75.691
2013-03-18,75.697,76.628,75.361,76.448
2013-03-19,76.446,76.521,75.653,75.886
2013-03-20,75.885,76.833,75.878,76.703
2013-03-21,76.7,76.71,75.656,75.968
2013-03-22,75.969,76.208,75.313,76.111
2013-03-25,76.112,76.34,75.12,75.972
