Date,Open,High,Low,Close
2013-01-01,0.99315,0.99427,0.9855,0.98759
2013-01-02,0.9876,0.98802,0.98353,0.98593
2013-01-03,0.98594,0.98951,0.98416,0.98843
2013-01-04,0.98842,0.99219,0.98469,0.98772
2013-01-07,0.98771,0.98835,0.98525,0.98678
2013-01-08,0.98675,0.98813,0.98419,0.98722
2013-01-09,0.98723,0.98794,0.98539,0.98674
2013-01-10,0.98673,0.98705,0.98268,0.9831
2013-01-11,0.98311,0.98529,0.98144,0.98355
2013-01-14,0.98356,0.98647,0.98305,0.98388
2013-01-15,0.98387,0.98654,0.98341,0.98471
2013-01-16,0.9847,0.98761,0.98447,0.98693
2013-01-17,0.98692,0.98841,0.98421,0.98664
2013-01-18,0.98663,0.99452,0.98632,0.99108
2013-01-21,0.99105,0.99377,0.99096,0.99173
2013-01-22,0.99171,0.99442,0.99076,0.99232
2013-01-23,0.99233,1.00029,0.99023,1.00019
2013-01-24,1.00021,1.00346,0.99892,1.00311
2013-01-25,1.00315,1.00986,1.00246,1.00809
2013-01-28,1.00808,1.00989,1.00491,1.00566
2013-01-29,1.00565,1.00649,1.00067,1.00171
2013-01-30,1.0017,1.00518,1.00072,1.0031
2013-01-31,1.00311,1.00332,0.99563,0.99729
2013-02-01,0.9973,1.00029,0.99632,0.99741
2013-02-04,0.9974,0.9993,0.99468,0.99899
2013-02-05,0.99898,0.99934,0.99481,0.99659
2013-02-06,0.9966,0.99872,0.99495,0.99597
2013-02-07,0.99595,0.99932,0.99315,0.99762
2013-02-08,0.99756,1.00468,0.99695,1.00445
2013-02-11,1.00445,1.00826,1.00398,1.00603
2013-02-12,1.00602,1.00859,1.00131,1.00174
2013-02-13,1.00173,1.00426,1.00111,1.00132
2013-02-14,1.00131,1.00228,0.99982,1.00026
2013-02-15,1.00025,1.0081,1.00021,1.00747
2013-02-18,1.00751,1.01201,1.00563,1.01063
2013-02-19,1.01062,1.01362,1.01009,1.01155
2013-02-20,1.01154,1.01847,1.01085,1.01821
2013-02-21,1.0182,1.02062,1.01581,1.01604
2013-02-22,1.01607,1.0255,1.01584,1.0235
2013-02-25,1.02351,1.02761,1.02203,1.02501
2013-02-26,1.025,1.0302,1.024,1.02572
2013-02-27,1.02572,1.02758,1.02237,1.0231
2013-02-28,1.02308,1.03119,1.02152,1.0296
2013-03-01,1.02959,1.0341,1.02611,1.03035
2013-03-04,1.03036,1.03082,1.0255,1.0258
2013-03-05,1.02579,1.02925,1.02538,1.02658
2013-03-06,1.02659,1.03359,1.02553,1.03137
2013-03-07,1.03139,1.0317,1.02839,1.03112
2013-03-08,1.03111,1.03134,1.02327,1.02733
2013-03-11,1.02732,1.02931,1.02479,1.02662
2013-03-12,1.02661,1.02823,1.02502,1.02569
2013-03-13,1.02568,1.02938,1.02451,1.02685
2013-03-14,1.02684,1.02765,1.02105,1.02219
2013-03-15,1.0222,1.02453,1.01795,1.0237
2013-03-18,1.02371,1.02491,1.02027,1.02175
2013-03-19,1.02176,1.02829,1.02142,1.02702
2013-03-20,1.02699,1.02747,1.02371,1.02487
2013-03-21,1.02486,1.02569,1.01996,1.02382
2013-03-22,1.02383,1.0263,1.0219,1.02275
2013-03-25,1.02274,1.02311,1.01868,1.01987
2013-03-26,1.01986,1.02083,1.01582,1.01701
2013-03-27,1.017,1.01941,1.01488,1.0163
2013-03-28,1.01631,1.01728,1.01444,1.01583
2013-03-29,1.0158,1.01795,1.01565,1.01732
2013-04-01,1.01733,1.01815,1.01488,1.01509
2013-04-02,1.01508,1.01574,1.01238,1.01452
2013-04-03,1.01452,1.01504,1.01238,1.01433
2013-04-04,1.01432,1.01653,1.01034,1.01283
2013-04-05,1.01282,1.02347,1.01251,1.01681
2013-04-08,1.01682,1.02129,1.01549,1.01667
2013-04-09,1.01668,1.01743,1.0133,1.01527
2013-04-10,1.01525,1.01647,1.01381,1.015
2013-04-11,1.01501,1.01503,1.0082,1.00993
2013-04-12,1.00994,1.01841,1.0097,1.01827
2013-04-15,1.01826,1.02579,1.01785,1.02203
2013-04-16,1.02205,1.02561,1.02022,1.02247
2013-04-17,1.0225,1.02927,1.02178,1.02524
2013-04-18,1.02522,1.02701,1.0229,1.02453
2013-04-19,1.02454,1.02682,1.02309,1.0248
2013-04-22,1.02489,1.02842,1.02481,1.02737
2013-04-23,1.02738,1.02837,1.02494,1.02642
2013-04-24,1.02642,1.0277,1.02271,1.02272
2013-04-25,1.02275,1.02441,1.018,1.01971
2013-04-26,1.0197,1.0213,1.01501,1.01509
2013-04-29,1.0151,1.016,1.01067,1.01163
2013-04-30,1.01165,1.0122,1.00536,1.00621
2013-05-01,1.00625,1.00987,1.005,1.00813
2013-05-02,1.00815,1.01122,1.00581,1.01122
2013-05-03,1.01121,1.01307,1.00705,1.0074
2013-05-06,1.00741,1.00948,1.00631,1.00644
2013-05-07,1.00643,1.00816,1.00352,1.00503
2013-05-08,1.00505,1.00572,1.00163,1.00195
2013-05-09,1.00196,1.00882,1.00127,1.00773
2013-05-10,1.00772,1.01512,1.00624,1.01251
2013-05-13,1.0125,1.01317,1.00809,1.01008
2013-05-14,1.01007,1.0194,1.00956,1.0191
2013-05-15,1.01912,1.02177,1.01505,1.01585
2013-05-16,1.01589,1.02191,1.01475,1.02191
2013-05-17,1.02191,1.03113,1.0211,1.02805
2013-05-20,1.02806,1.0292,1.02156,1.02492
2013-05-21,1.02496,1.03199,1.02414,1.02689
2013-05-22,1.0269,1.03921,1.02495,1.03801
2013-05-23,1.03794,1.03907,1.02847,1.03303
2013-05-24,1.03305,1.03542,1.0306,1.03284
2013-05-27,1.03288,1.03659,1.03119,1.03413
2013-05-28,1.03409,1.04143,1.0323,1.0407
2013-05-29,1.04069,1.04192,1.03424,1.03457
