Date,Open,High,Low,Close
2013-01-01,19.004,19.0387,18.8707,18.9269
2013-01-02,18.9285,19.2016,18.8861,19.1825
2013-01-03,19.1835,19.4075,19.1564,19.388
2013-01-04,19.3886,19.5107,19.3662,19.476
2013-01-07,19.4768,19.6135,19.4493,19.4762
2013-01-08,19.4757,19.6093,19.4327,19.5474
2013-01-09,19.5465,19.6459,19.4518,19.6249
2013-01-10,19.6254,19.7113,19.2937,19.3175
2013-01-11,19.3179,19.3883,19.1229,19.1618
2013-01-14,19.1626,19.2218,19.0933,19.1441
2013-01-15,19.1446,19.2905,19.1226,19.2751
2013-01-16,19.2756,19.3045,19.1856,19.2318
2013-01-17,19.2307,19.2464,19.0706,19.0952
2013-01-18,19.0944,19.2903,19.0864,19.2107
2013-01-21,19.209,19.2627,19.1518,19.1761
2013-01-22,19.1766,19.2831,19.0896,19.2428
2013-01-23,19.2423,19.2933,19.1553,19.2312
2013-01-24,19.2317,19.2571,19.0948,19.1398
2013-01-25,19.1403,19.1442,18.974,18.9986
2013-01-28,18.9981,19.1479,18.9872,19.0785
2013-01-29,19.0776,19.133,18.9711,19.0102
2013-01-30,19.0119,19.0255,18.86,18.8792
2013-01-31,18.8797,18.9414,18.836,18.8485
2013-02-01,18.849,18.8941,18.732,18.8472
2013-02-04,18.8467,19.0523,18.8078,19.0393
2013-02-05,19.0485,19.0794,18.8454,18.8879
2013-02-06,18.8882,19.0564,18.7255,18.7599
2013-02-07,18.7604,18.8925,18.55,18.8266
2013-02-08,18.8264,18.8923,18.7813,18.8705
2013-02-11,18.8715,18.9285,18.791,18.8588
2013-02-12,18.8593,18.936,18.7745,18.8332
2013-02-13,18.833,18.897,18.78,18.8849
2013-02-14,18.8832,19.08,18.8769,18.9833
2013-02-15,18.9838,19.075,18.936,19.0558
2013-02-18,19.0563,19.0695,18.9791,19.0026
2013-02-19,19.0021,19.0615,18.882,18.9077
2013-02-20,18.9087,19.1461,18.875,19.1311
2013-02-21,19.1316,19.3706,19.1075,19.2781
2013-02-22,19.2786,19.42,19.2328,19.3528
2013-02-25,19.3535,19.5521,19.1475,19.5267
2013-02-26,19.5262,19.621,19.4577,19.5834
2013-02-27,19.5815,19.626,19.4729,19.499
2013-02-28,19.497,19.677,19.4721,19.6155
2013-03-01,19.6159,19.797,19.5595,19.7195
2013-03-04,19.717,19.794,19.6825,19.6885
2013-03-05,19.689,19.719,19.566,19.5785
2013-03-06,19.579,19.683,19.5423,19.6475
2013-03-07,19.6465,19.6645,19.4014,19.4355
2013-03-08,19.4367,19.637,19.3425,19.5832
