Date,Open,High,Low,Close
2013-01-01,5.6493,5.65635,5.60901,5.62551
2013-01-02,5.6256,5.68425,5.61114,5.67829
2013-01-03,5.67821,5.72902,5.6639,5.72275
2013-01-04,5.72282,5.73795,5.69802,5.72028
2013-01-07,5.72027,5.72975,5.67711,5.68588
2013-01-08,5.68587,5.71329,5.68001,5.70522
2013-01-09,5.70534,5.72231,5.69636,5.71863
2013-01-10,5.71861,5.71972,5.61814,5.62659
2013-01-11,5.62658,5.63107,5.56627,5.57152
2013-01-14,5.57163,5.59521,5.57062,5.58646
2013-01-15,5.58656,5.62542,5.5736,5.61404
2013-01-16,5.61409,5.62866,5.59987,5.6175
2013-01-17,5.61752,5.62129,5.5724,5.5746
2013-01-18,5.57459,5.61935,5.56935,5.60153
2013-01-21,5.60145,5.61069,5.58651,5.59288
2013-01-22,5.59303,5.6249,5.58086,5.60615
2013-01-23,5.6061,5.62541,5.58776,5.6045
2013-01-24,5.60458,5.61598,5.57075,5.58343
2013-01-25,5.58344,5.58468,5.53578,5.544
2013-01-28,5.54389,5.558,5.5351,5.54367
2013-01-29,5.54357,5.56037,5.52625,5.53
2013-01-30,5.53004,5.53255,5.49003,5.49789
2013-01-31,5.49797,5.50957,5.47226,5.47587
2013-02-01,5.4758,5.4909,5.44093,5.47663
2013-02-04,5.47664,5.53156,5.47067,5.53075
2013-02-05,5.53072,5.54225,5.48539,5.49372
2013-02-06,5.49366,5.52779,5.49155,5.52019
2013-02-07,5.52017,5.5793,5.49305,5.56252
2013-02-08,5.56241,5.58632,5.5553,5.5788
2013-02-11,5.57893,5.58554,5.55639,5.57172
2013-02-12,5.57175,5.58287,5.53614,5.54848
2013-02-13,5.54812,5.55695,5.51847,5.55207
2013-02-14,5.55208,5.60239,5.54939,5.58479
2013-02-15,5.58477,5.6051,5.56903,5.59527
2013-02-18,5.59521,5.59915,5.57541,5.58587
2013-02-19,5.5859,5.59598,5.55254,5.56095
2013-02-20,5.56094,5.62717,5.55328,5.62287
2013-02-21,5.62286,5.66733,5.6181,5.64537
2013-02-22,5.64536,5.6745,5.63117,5.65596
2013-02-25,5.65601,5.72146,5.60146,5.7145
2013-02-26,5.71454,5.72986,5.68142,5.70723
2013-02-27,5.70726,5.71254,5.66484,5.67399
2013-02-28,5.67404,5.71234,5.66697,5.70341
2013-03-01,5.70343,5.74973,5.6911,5.72764
2013-03-04,5.72779,5.74212,5.7165,5.71953
2013-03-05,5.71946,5.7301,5.70164,5.70869
2013-03-06,5.70874,5.74972,5.7041,5.73743
2013-03-07,5.73736,5.74158,5.682,5.69355
2013-03-08,5.69372,5.75554,5.67659,5.73359
2013-03-11,5.73354,5.74106,5.71258,5.7253
2013-03-12,5.7252,5.74002,5.7034,5.72002
2013-03-13,5.71998,5.76956,5.70755,5.75587
2013-03-14,5.75581,5.77555,5.72173,5.73097
2013-03-15,5.73095,5.78532,5.68958,5.77504
2013-03-18,5.77499,5.78756,5.73605,5.75475
2013-03-19,5.75482,5.8036,5.74747,5.78866
2013-03-20,5.78849,5.79117,5.74235,5.75549
2013-03-21,5.75547,5.78638,5.75482,5.76995
2013-03-22,5.76985,5.78195,5.71124,5.71954
2013-03-25,5.7193,5.80769,5.71116,5.79084
2013-03-26,5.79087,5.8086,5.78068,5.80335
2013-03-27,5.80332,5.84417,5.79744,5.8319
2013-03-28,5.83186,5.84318,5.80353,5.8114
2013-03-29,5.81139,5.83679,5.80925,5.83199
2013-04-01,5.83191,5.83514,5.7889,5.79333
2013-04-02,5.7933,5.82535,5.79055,5.82057
2013-04-03,5.82061,5.82786,5.7932,5.80005
2013-04-04,5.80009,5.84725,5.7563,5.76564
2013-04-05,5.76571,5.77782,5.71632,5.73886
2013-04-08,5.73894,5.7477,5.70373,5.71375
2013-04-09,5.71385,5.7316,5.6899,5.69615
2013-04-10,5.69632,5.71601,5.68186,5.70925
2013-04-11,5.70909,5.70985,5.67471,5.68544
2013-04-12,5.68548,5.71824,5.68041,5.70115
2013-04-15,5.70108,5.72525,5.6879,5.70707
2013-04-16,5.7071,5.7219,5.6473,5.65922
2013-04-17,5.65927,5.7333,5.64845,5.70999
2013-04-18,5.71,5.72268,5.69225,5.70558
2013-04-19,5.7056,5.7135,5.67831,5.70084
2013-04-22,5.70083,5.72735,5.70065,5.71862
2013-04-23,5.71836,5.7455,5.69687,5.7344
2013-04-24,5.73438,5.75388,5.70824,5.71555
2013-04-25,5.71564,5.73963,5.69384,5.71958
2013-04-26,5.71938,5.73935,5.70525,5.71385
2013-04-29,5.71373,5.71607,5.68435,5.69279
2013-04-30,5.69288,5.71197,5.65355,5.66353
2013-05-01,5.66365,5.6647,5.62953,5.66163
