Date,Open,High,Low,Close
2013-01-01,7.75053,7.752,7.75042,7.75169
2013-01-02,7.75171,7.75188,7.75033,7.75165
2013-01-03,7.75163,7.75183,7.75033,7.75169
2013-01-04,7.75168,7.7517,7.75006,7.75055
2013-01-07,7.75054,7.75145,7.75053,7.75139
2013-01-08,7.7514,7.75198,7.75053,7.75135
2013-01-09,7.75136,7.75217,7.75122,7.75135
2013-01-10,7.75141,7.75276,7.75088,7.75255
2013-01-11,7.75254,7.75266,7.7515,7.75243
2013-01-14,7.75245,7.75277,7.75199,7.75276
2013-01-15,7.75275,7.75316,7.75147,7.75264
2013-01-16,7.75265,7.75277,7.75181,7.75269
2013-01-17,7.75269,7.7527,7.75182,7.75229
2013-01-18,7.75231,7.75317,7.75187,7.75306
2013-01-21,7.75305,7.75356,7.75275,7.7532
2013-01-22,7.75321,7.75359,7.75244,7.75326
2013-01-23,7.7533,7.75337,7.75247,7.75285
2013-01-24,7.75288,7.75417,7.7527,7.7539
2013-01-25,7.75393,7.75536,7.75343,7.75523
2013-01-28,7.75525,7.75842,7.75523,7.75772
2013-01-29,7.7577,7.75988,7.75752,7.75795
2013-01-30,7.75798,7.75906,7.75746,7.75776
2013-01-31,7.75775,7.75776,7.75384,7.75696
2013-02-01,7.75695,7.75815,7.75462,7.75517
2013-02-04,7.75515,7.7555,7.7529,7.7545
2013-02-05,7.75446,7.75484,7.75326,7.75367
2013-02-06,7.75366,7.75438,7.753,7.75413
2013-02-07,7.75411,7.7564,7.75403,7.7554
2013-02-08,7.75539,7.75634,7.75417,7.7553
2013-02-11,7.75537,7.7556,7.7545,7.75536
2013-02-12,7.75537,7.75625,7.75439,7.75545
2013-02-13,7.75544,7.75622,7.75504,7.75513
2013-02-14,7.75514,7.75524,7.75364,7.7548
2013-02-15,7.75479,7.75525,7.75405,7.75505
2013-02-18,7.7551,7.75517,7.75383,7.75486
2013-02-19,7.75486,7.75496,7.75393,7.75447
2013-02-20,7.75444,7.7557,7.75396,7.75566
2013-02-21,7.75564,7.75625,7.75515,7.75585
2013-02-22,7.75587,7.75706,7.75554,7.75622
2013-02-25,7.75621,7.75678,7.75581,7.75666
2013-02-26,7.75665,7.75947,7.75664,7.75755
2013-02-27,7.75756,7.75776,7.75615,7.75624
2013-02-28,7.75622,7.7565,7.75376,7.75477
2013-03-01,7.75481,7.75597,7.75387,7.75565
2013-03-04,7.75567,7.75705,7.755,7.7555
2013-03-05,7.75547,7.75634,7.75505,7.75527
2013-03-06,7.75525,7.75648,7.75524,7.75615
2013-03-07,7.75616,7.75725,7.75583,7.75695
2013-03-08,7.75685,7.75716,7.75535,7.75646
2013-03-11,7.75645,7.75719,7.7559,7.75616
2013-03-12,7.75615,7.75755,7.7561,7.75724
2013-03-13,7.75725,7.75878,7.75678,7.75767
2013-03-14,7.75761,7.75866,7.75681,7.75787
2013-03-15,7.75786,7.76148,7.75755,7.76015
2013-03-18,7.76014,7.76193,7.76004,7.76025
2013-03-19,7.76016,7.7626,7.75941,7.76119
2013-03-20,7.76117,7.76266,7.76114,7.76149
2013-03-21,7.76151,7.76337,7.76134,7.76224
2013-03-22,7.76226,7.76388,7.76201,7.76284
2013-03-25,7.76283,7.76285,7.76063,7.76124
2013-03-26,7.76123,7.76124,7.75836,7.76025
2013-03-27,7.76029,7.76387,7.75995,7.76275
2013-03-28,7.76276,7.76505,7.76198,7.7632
2013-03-29,7.76319,7.7638,7.76211,7.7634
2013-04-01,7.76341,7.76375,7.76245,7.76307
2013-04-02,7.76308,7.76325,7.76161,7.76183
2013-04-03,7.7618,7.76248,7.76135,7.76161
2013-04-04,7.76163,7.76351,7.76136,7.76267
2013-04-05,7.76266,7.76621,7.76263,7.76387
2013-04-08,7.76386,7.76456,7.76234,7.76357
2013-04-09,7.76358,7.76418,7.76094,7.76242
2013-04-10,7.76241,7.763,7.7613,7.76237
2013-04-11,7.76235,7.76277,7.76034,7.76144
2013-04-12,7.76139,7.76213,7.76131,7.76185
2013-04-15,7.76194,7.76273,7.76153,7.7622
2013-04-16,7.76221,7.76259,7.76173,7.76202
2013-04-17,7.76201,7.76301,7.76183,7.76274
2013-04-18,7.76275,7.76427,7.76244,7.76304
2013-04-19,7.76305,7.76409,7.76262,7.76349
2013-04-22,7.76345,7.76419,7.76334,7.76365
2013-04-23,7.7637,7.76476,7.76362,7.76456
2013-04-24,7.76445,7.76478,7.76349,7.76366
2013-04-25,7.76367,7.7647,7.76333,7.76334
2013-04-26,7.76336,7.76389,7.76275,7.76297
2013-04-29,7.76299,7.76306,7.76034,7.7608
2013-04-30,7.76082,7.76146,7.75977,7.75999
2013-05-01,7.76,7.76073,7.75813,7.75877
2013-05-02,7.75876,7.7602,7.75843,7.75961
2013-05-03,7.7596,7.75977,7.75814,7.75873
2013-05-06,7.75874,7.7603,7.75871,7.76026
2013-05-07,7.76025,7.76158,7.75984,7.76107
2013-05-08,7.76106,7.76126,7.7591,7.75965
2013-05-09,7.75964,7.76036,7.75852,7.75993
2013-05-10,7.75995,7.7612,7.75986,7.76059
2013-05-13,7.76061,7.76164,7.76047,7.76097
2013-05-14,7.76091,7.76174,7.76087,7.76137
2013-05-15,7.76136,7.76183,7.76083,7.76161
2013-05-16,7.76157,7.76378,7.76145,7.7632
2013-05-17,7.76314,7.76395,7.762,7.76275
2013-05-20,7.76274,7.76277,7.76138,7.76147
2013-05-21,7.7615,7.76173,7.76042,7.76093
2013-05-22,7.76091,7.76288,7.76035,7.76283
2013-05-23,7.76282,7.76338,7.76234,7.76286
2013-05-24,7.7629,7.76379,7.76257,7.76306
2013-05-27,7.76305,7.76358,7.76265,7.76333
2013-05-28,7.76333,7.76426,7.76304,7.76325
2013-05-29,7.7632,7.76417,7.76302,7.76345
2013-05-30,7.76344,7.76419,7.76285,7.76336
2013-05-31,7.76335,7.76418,7.76067,7.76307
2013-06-03,7.76297,7.76359,7.76194,7.76241
2013-06-04,7.76246,7.76285,7.75888,7.76046
2013-06-05,7.76048,7.76152,7.75975,7.7611
2013-06-06,7.76109,7.76314,7.76098,7.76146
2013-06-07,7.76144,7.76315,7.76123,7.76246
2013-06-10,7.76247,7.76407,7.76239,7.76328
2013-06-11,7.76327,7.76499,7.76296,7.76394
2013-06-12,7.76392,7.76581,7.76344,7.76498
2013-06-13,7.76493,7.76528,7.76317,7.7634
2013-06-14,7.76342,7.76347,7.76013,7.76085
2013-06-17,7.76083,7.76097,7.75839,7.75874
2013-06-18,7.75877,7.75952,7.75741,7.75746
2013-06-19,7.7575,7.75831,7.7551,7.75592
2013-06-20,7.75589,7.75722,7.75333,7.75674
2013-06-21,7.75676,7.75848,7.75451,7.75637
2013-06-24,7.75632,7.75827,7.75511,7.75644
2013-06-25,7.75643,7.75809,7.75545,7.75666
2013-06-26,7.75665,7.75982,7.75657,7.75734
2013-06-27,7.75735,7.75812,7.75618,7.75727
2013-06-28,7.75718,7.75816,7.75536,7.75537
2013-07-01,7.75532,7.75656,7.75488,7.75559
2013-07-02,7.75555,7.75565,7.75282,7.75443
2013-07-03,7.75446,7.75477,7.75285,7.75338
2013-07-04,7.75339,7.75412,7.75203,7.75319
2013-07-05,7.75325,7.75518,7.75314,7.75494
2013-07-08,7.75491,7.75675,7.75465,7.75631
2013-07-09,7.75635,7.75727,7.75594,7.75664
2013-07-10,7.75668,7.75727,7.75599,7.75604
2013-07-11,7.75603,7.75728,7.75603,7.75664
2013-07-12,7.75666,7.75869,7.75653,7.75809
2013-07-15,7.75813,7.75925,7.75737,7.7576
2013-07-16,7.7577,7.75802,7.7567,7.75753
2013-07-17,7.75755,7.75765,7.75678,7.75715
2013-07-18,7.75716,7.75814,7.75684,7.75776
2013-07-19,7.75775,7.7581,7.75713,7.75767
2013-07-22,7.75768,7.75879,7.7575,7.75782
2013-07-23,7.75774,7.7582,7.75697,7.7575
2013-07-24,7.75744,7.75777,7.75683,7.75695
2013-07-25,7.75697,7.75778,7.75692,7.75707
2013-07-26,7.75708,7.75718,7.7561,7.75657
2013-07-29,7.75661,7.75731,7.75625,7.75635
2013-07-30,7.75636,7.75638,7.75455,7.7554
2013-07-31,7.75543,7.75577,7.75377,7.75475
2013-08-01,7.75473,7.75635,7.75469,7.7563
2013-08-02,7.75624,7.75674,7.75543,7.75605
2013-08-05,7.75604,7.75687,7.7558,7.75626
2013-08-06,7.75625,7.75647,7.75568,7.75614
2013-08-07,7.75622,7.75683,7.75567,7.75645
2013-08-08,7.75646,7.75652,7.75533,7.75552
2013-08-09,7.7555,7.75595,7.75447,7.7546
2013-08-12,7.75459,7.75572,7.75457,7.75529
2013-08-13,7.7553,7.7558,7.75481,7.75536
2013-08-14,7.7554,7.75554,7.75475,7.75502
2013-08-15,7.755,7.75502,7.75367,7.75425
2013-08-16,7.75419,7.75442,7.75323,7.75379
2013-08-19,7.7538,7.7546,7.75346,7.75454
