Date,Open,High,Low,Close
2013-01-01,220.432,220.725,218.305,219.128
2013-01-02,219.147,221.806,218.499,221.584
2013-01-03,221.61,222.612,219.6,221.517
2013-01-04,221.512,224.549,221.21,222.8
2013-01-07,222.806,224.205,221.716,222.185
2013-01-08,222.18,224.068,221.721,223.08
2013-01-09,223.082,223.265,221.389,222.018
2013-01-10,222.02,222.677,220.875,221.357
2013-01-11,221.356,224.066,220.72,220.963
2013-01-14,220.967,223.376,219.633,220.553
2013-01-15,220.565,221.871,219.239,221.601
2013-01-16,221.596,222.893,220.745,221.918
2013-01-17,221.902,222.056,218.084,218.228
2013-01-18,218.223,220.718,217.986,219.873
2013-01-21,219.866,220.17,219.194,219.452
2013-01-22,219.457,221.959,218.827,220.894
2013-01-23,220.896,222.045,219.768,221.151
2013-01-24,221.156,221.995,220.058,220.961
2013-01-25,220.966,221.893,219.607,220.979
2013-01-28,220.973,223.32,220.504,221.161
2013-01-29,221.158,221.818,218.85,219.308
2013-01-30,219.309,219.465,216.279,216.637
2013-01-31,216.642,217.331,214.32,214.665
2013-02-01,214.675,214.961,212.608,214.533
2013-02-04,214.538,217.499,213.73,217.427
2013-02-05,217.352,217.848,214.313,216.972
2013-02-06,216.967,218.085,216.283,217.871
2013-02-07,217.872,219.263,216.223,218.102
2013-02-08,218.09,218.743,216.945,217.358
2013-02-11,217.358,218.153,216.37,216.905
2013-02-12,216.914,218.399,215.269,215.755
2013-02-13,215.745,215.928,213.71,215.82
2013-02-14,215.815,219.71,215.705,218.275
2013-02-15,218.28,219.765,217.825,219.57
2013-02-18,219.575,219.575,217.911,218.105
2013-02-19,218.106,218.79,216.783,216.951
2013-02-20,216.957,219.795,216.11,219.631
2013-02-21,219.626,222.895,219.559,222.18
2013-02-22,222.185,223.424,220.304,222.616
2013-02-25,222.629,225.85,220.02,225.615
2013-02-26,225.605,226.705,223.827,225.812
2013-02-27,225.809,226.709,224.335,224.669
2013-02-28,224.664,226.5,224.41,225.81
2013-03-01,225.805,227.44,224.784,226.345
2013-03-04,226.35,229.754,226.227,228.16
2013-03-05,228.15,229.94,227.6,228.381
2013-03-06,228.383,231.202,227.928,230.74
2013-03-07,230.73,230.923,227.545,228.007
2013-03-08,228.012,231.268,225.965,230.219
2013-03-11,230.224,233.504,229.605,231.72
2013-03-12,231.71,235.644,231.555,235.226
2013-03-13,235.216,236.39,233.885,235.035
2013-03-14,235.03,236.74,232.735,233.26
2013-03-15,233.268,237.685,232.702,236.974
