Date,Open,High,Low,Close
2013-01-01,86.68,87.29,86.532,87.125
2013-01-02,87.127,87.346,86.95,87.231
2013-01-03,87.23,87.825,86.759,87.726
2013-01-04,87.727,88.399,87.593,88.015
2013-01-07,88.016,88.023,87.227,87.456
2013-01-08,87.455,87.576,86.821,87.453
2013-01-09,87.454,88.207,87.377,88.113
2013-01-10,88.115,89.339,87.975,89.019
2013-01-11,89.02,89.665,88.734,89.561
2013-01-14,89.56,89.634,88.612,89.023
2013-01-15,89.025,89.079,87.938,88.115
2013-01-16,88.117,88.782,87.785,88.323
2013-01-17,88.324,90.198,88.236,89.965
2013-01-18,89.967,90.241,89.417,89.534
2013-01-21,89.536,90.116,88.885,89.117
2013-01-22,89.118,89.354,88.356,88.494
2013-01-23,88.493,89.303,88.052,89.075
2013-01-24,89.076,90.679,89.037,90.429
2013-01-25,90.43,91.245,90.423,91.035
2013-01-28,91.036,91.082,90.395,90.778
2013-01-29,90.772,91.023,90.32,90.937
2013-01-30,90.935,91.396,90.736,90.813
2013-01-31,90.816,92.256,90.772,92.124
2013-02-01,92.127,92.954,91.777,92.617
2013-02-04,92.62,93.172,91.974,92.36
2013-02-05,92.359,93.886,92.116,93.821
2013-02-06,93.82,94.05,93.265,93.442
2013-02-07,93.441,93.907,93.074,93.478
2013-02-08,93.481,93.503,92.164,92.549
2013-02-11,92.547,94.453,92.516,94.174
2013-02-12,94.175,94.399,92.815,92.89
2013-02-13,92.889,93.771,92.889,93.501
2013-02-14,93.497,93.702,92.243,92.256
2013-02-15,92.257,94.207,92.217,94.049
2013-02-18,94.051,94.115,93.557,93.625
2013-02-19,93.623,93.813,93.285,93.461
2013-02-20,93.46,94.029,93.128,93.461
2013-02-21,93.46,93.517,92.765,93.362
2013-02-22,93.356,94.542,93.144,94.092
2013-02-25,94.091,94.297,90.879,92.059
2013-02-26,92.055,92.398,91.118,91.912
2013-02-27,91.91,92.662,91.128,92.251
2013-02-28,92.248,92.841,92.001,92.648
2013-03-01,92.646,93.715,92.433,93.341
2013-03-04,93.34,93.683,93.054,93.121
2013-03-05,93.119,93.512,92.907,93.172
2013-03-06,93.171,94.109,93.145,93.869
2013-03-07,93.87,95.429,93.861,95.375
2013-03-08,95.374,96.556,95.236,96.129
2013-03-11,96.127,96.701,95.985,96.527
2013-03-12,96.528,96.568,95.631,95.687
2013-03-13,95.686,96.255,95.438,95.907
2013-03-14,95.905,96.584,95.673,96.132
2013-03-15,96.13,96.267,94.077,94.684
2013-03-18,94.686,95.738,94.302,95.55
2013-03-19,95.549,95.624,94.715,95.063
2013-03-20,95.064,96.125,94.992,95.947
2013-03-21,95.948,95.956,94.544,94.939
2013-03-22,94.938,95.02,94.187,94.805
2013-03-25,94.804,94.917,93.524,94.309
2013-03-26,94.307,94.832,93.996,94.832
2013-03-27,94.831,94.901,94.003,94.153
2013-03-28,94.154,94.377,93.868,94.117
2013-03-29,94.116,94.366,93.824,94.018
2013-04-01,94.02,94.046,92.559,92.725
2013-04-02,92.724,93.68,92.673,93.511
2013-04-03,93.51,93.653,92.706,92.86
2013-04-04,92.858,97.184,92.83,96.897
2013-04-05,96.903,98.839,95.747,98.503
2013-04-08,98.501,99.654,98.394,99.312
2013-04-09,99.311,99.34,98.583,98.962
2013-04-10,98.96,99.866,98.943,99.582
2013-04-11,99.58,99.938,99.104,99.438
2013-04-12,99.432,99.528,97.544,97.663
2013-04-15,97.66,98.27,95.795,97.42
2013-04-16,97.418,98.316,97.275,98.135
2013-04-17,98.136,98.424,97.203,98.258
2013-04-18,98.257,98.671,97.806,98.417
2013-04-19,98.418,99.878,98.377,99.811
2013-04-22,99.81,99.84,98.577,98.686
2013-04-23,98.688,99.752,98.473,99.415
2013-04-24,99.416,99.714,99.226,99.386
2013-04-25,99.383,99.49,98.587,99.121
2013-04-26,99.12,99.124,97.343,97.487
2013-04-29,97.489,98.192,97.481,97.932
2013-04-30,97.93,97.982,96.998,97.238
2013-05-01,97.24,97.668,97.013,97.31
2013-05-02,97.312,98.385,97.111,97.973
2013-05-03,97.976,99.26,97.944,99.077
2013-05-06,99.078,99.446,98.82,99.034
2013-05-07,99.035,99.344,98.632,99.044
2013-05-08,99.049,99.052,98.574,98.759
2013-05-09,98.762,101.188,98.639,100.995
2013-05-10,100.996,102.145,100.877,101.867
2013-05-13,101.866,102.036,101.356,101.595
2013-05-14,101.597,102.425,101.251,102.139
2013-05-15,102.141,102.755,101.843,102.203
2013-05-16,102.205,102.675,101.823,102.304
2013-05-17,102.306,103.299,102.025,102.678
2013-05-20,102.677,102.758,102.068,102.515
2013-05-21,102.516,102.877,102.247,102.467
2013-05-22,102.466,103.727,102.463,102.763
2013-05-23,102.764,102.877,100.822,101.739
2013-05-24,101.74,102.121,100.655,101.015
2013-05-27,101.019,101.998,100.737,101.768
2013-05-28,101.763,102.516,101.763,102.201
2013-05-29,102.2,102.474,100.584,100.916
2013-05-30,100.92,101.793,100.459,100.909
2013-05-31,100.91,101.162,100.213,100.613
2013-06-03,100.614,100.633,98.861,99.695
2013-06-04,99.694,100.454,99.651,100.001
2013-06-05,100.0,100.064,98.853,99.155
2013-06-06,99.156,99.459,95.892,96.346
2013-06-07,96.352,98.417,94.986,98.131
2013-06-10,98.13,99.275,97.785,98.316
2013-06-11,98.317,98.457,95.583,96.318
2013-06-12,96.315,97.01,94.44,94.794
2013-06-13,94.788,95.802,93.778,94.918
2013-06-14,94.913,95.366,93.976,94.807
2013-06-17,94.804,95.208,94.277,94.854
2013-06-18,94.853,95.758,94.73,95.267
2013-06-19,95.266,97.171,94.825,97.142
2013-06-20,97.145,98.276,96.823,97.291
2013-06-21,97.283,98.691,97.172,98.484
2013-06-24,98.489,98.585,97.21,97.31
2013-06-25,97.306,98.227,96.952,97.819
2013-06-26,97.823,97.908,97.23,97.744
2013-06-27,97.749,98.971,97.674,98.826
2013-06-28,98.827,99.532,98.641,99.297
2013-07-01,99.298,99.858,99.286,99.568
2013-07-02,99.569,100.848,99.564,100.702
2013-07-03,100.704,100.814,99.25,99.814
2013-07-04,99.812,100.45,99.484,100.258
2013-07-05,100.261,101.524,99.88,101.233
2013-07-08,101.24,101.376,100.762,101.051
2013-07-09,101.049,101.29,100.82,100.988
2013-07-10,100.987,101.015,98.241,98.695
2013-07-11,98.697,99.49,98.262,99.022
2013-07-12,99.024,99.687,98.799,99.241
2013-07-15,99.24,100.475,99.225,99.732
2013-07-16,99.733,99.936,98.884,99.338
2013-07-17,99.336,100.051,99.032,100.032
2013-07-18,100.033,100.857,99.8,100.023
2013-07-19,100.022,100.649,99.602,99.97
2013-07-22,99.971,100.146,99.136,99.545
2013-07-23,99.546,100.173,99.335,99.743
2013-07-24,99.742,100.446,99.617,100.149
2013-07-25,100.15,100.155,98.675,98.814
2013-07-26,98.816,98.93,97.626,97.857
2013-07-29,97.86,98.437,97.666,98.301
2013-07-30,98.303,98.454,97.75,98.08
2013-07-31,98.079,98.541,97.575,98.325
2013-08-01,98.326,99.688,98.227,99.314
2013-08-02,99.313,99.944,98.653,98.77
2013-08-05,98.769,98.845,97.83,98.123
2013-08-06,98.125,98.576,97.082,97.23
2013-08-07,97.229,97.347,96.314,96.727
2013-08-08,96.726,96.961,95.799,96.423
2013-08-09,96.425,96.798,95.915,96.546
2013-08-12,96.542,97.43,96.357,97.303
2013-08-13,97.3,98.334,97.225,97.944
