Date,Open,High,Low,Close
2013-01-01,5.55909,5.56751,5.50267,5.52777
2013-01-02,5.52779,5.57122,5.50997,5.56666
2013-01-03,5.56667,5.59365,5.55008,5.58507
2013-01-04,5.58512,5.62003,5.5802,5.618
2013-01-07,5.61803,5.62235,5.57396,5.58444
2013-01-08,5.5842,5.60841,5.57507,5.59988
2013-01-09,5.59963,5.6167,5.58666,5.60106
2013-01-10,5.60108,5.60227,5.51901,5.52443
2013-01-11,5.52432,5.54825,5.50552,5.50917
2013-01-14,5.50928,5.52275,5.49712,5.51438
2013-01-15,5.51451,5.59182,5.50186,5.57401
2013-01-16,5.57388,5.60047,5.55786,5.56998
2013-01-17,5.56982,5.57858,5.52929,5.57346
2013-01-18,5.57294,5.62228,5.56117,5.60145
2013-01-21,5.60107,5.6099,5.58204,5.58955
2013-01-22,5.58946,5.6063,5.57091,5.57849
2013-01-23,5.57868,5.58779,5.54278,5.55842
2013-01-24,5.55867,5.57249,5.52008,5.53753
2013-01-25,5.53758,5.53869,5.50319,5.52559
2013-01-28,5.52572,5.54626,5.5167,5.53425
2013-01-29,5.53415,5.54031,5.48955,5.49778
2013-01-30,5.49779,5.50445,5.46715,5.47491
2013-01-31,5.475,5.4944,5.45171,5.45603
2013-02-01,5.45595,5.46793,5.4275,5.46099
2013-02-04,5.46085,5.48683,5.45843,5.48226
2013-02-05,5.48221,5.49874,5.46265,5.4784
2013-02-06,5.47853,5.5076,5.47686,5.50442
2013-02-07,5.50443,5.53354,5.47519,5.51599
2013-02-08,5.51584,5.5476,5.50793,5.52576
2013-02-11,5.52564,5.53344,5.49605,5.50564
2013-02-12,5.50582,5.51556,5.47994,5.48515
2013-02-13,5.4851,5.49291,5.4549,5.48446
2013-02-14,5.48436,5.55379,5.4821,5.54582
2013-02-15,5.54533,5.56595,5.52899,5.5521
2013-02-18,5.5522,5.56741,5.54015,5.55609
2013-02-19,5.55617,5.56481,5.51738,5.52507
2013-02-20,5.52504,5.61161,5.5208,5.60772
2013-02-21,5.60776,5.69966,5.59526,5.66566
2013-02-22,5.66563,5.68601,5.64777,5.66643
2013-02-25,5.66691,5.7138,5.60729,5.7009
2013-02-26,5.70095,5.72347,5.68454,5.70349
2013-02-27,5.70335,5.71682,5.6793,5.69175
2013-02-28,5.69179,5.7395,5.68377,5.72453
2013-03-01,5.72454,5.78265,5.71845,5.74795
2013-03-04,5.74805,5.7575,5.70713,5.71185
2013-03-05,5.71187,5.71767,5.69,5.6948
2013-03-06,5.6949,5.7238,5.68307,5.71179
2013-03-07,5.71184,5.72166,5.66097,5.67545
2013-03-08,5.6757,5.73908,5.65952,5.72396
2013-03-11,5.72391,5.7343,5.71573,5.72732
2013-03-12,5.7273,5.73639,5.68939,5.6978
2013-03-13,5.6977,5.76485,5.68755,5.74525
2013-03-14,5.7452,5.82351,5.74041,5.78859
2013-03-15,5.78857,5.81236,5.74767,5.79793
2013-03-18,5.79803,5.81757,5.7721,5.79143
2013-03-19,5.7913,5.84965,5.78456,5.83714
2013-03-20,5.83775,5.85135,5.8125,5.84104
2013-03-21,5.84109,5.85677,5.8293,5.83225
2013-03-22,5.8323,5.85086,5.77825,5.78608
2013-03-25,5.78584,5.8541,5.77566,5.83225
2013-03-26,5.83215,5.8481,5.81401,5.8296
2013-03-27,5.82955,5.86109,5.81426,5.85204
2013-03-28,5.85203,5.88001,5.82959,5.8339
2013-03-29,5.8341,5.86475,5.82928,5.86013
2013-04-01,5.86016,5.86323,5.80204,5.80674
2013-04-02,5.80669,5.82896,5.8035,5.8207
2013-04-03,5.82075,5.82754,5.79525,5.8143
2013-04-04,5.81431,5.84525,5.77214,5.77832
2013-04-05,5.77731,5.78555,5.7099,5.72682
2013-04-08,5.72672,5.74848,5.7161,5.73045
2013-04-09,5.7305,5.74939,5.70466,5.71251
2013-04-10,5.71256,5.75757,5.69965,5.74676
2013-04-11,5.74683,5.74768,5.68998,5.701
2013-04-12,5.70105,5.74005,5.69787,5.72902
2013-04-15,5.72888,5.7656,5.72188,5.75
2013-04-16,5.74995,5.77545,5.7123,5.729
2013-04-17,5.7291,5.8153,5.71676,5.7973
2013-04-18,5.79735,5.83417,5.77977,5.81478
2013-04-19,5.81489,5.8256,5.77984,5.80497
2013-04-22,5.80495,5.86575,5.80391,5.86283
2013-04-23,5.86334,5.92435,5.8453,5.91898
2013-04-24,5.91943,5.9355,5.874,5.8792
2013-04-25,5.87925,5.88565,5.84159,5.85887
2013-04-26,5.85917,5.87238,5.83695,5.84423
2013-04-29,5.84428,5.84891,5.7999,5.81163
2013-04-30,5.8122,5.84044,5.75365,5.77102
2013-05-01,5.77152,5.77249,5.71981,5.76804
2013-05-02,5.76793,5.8052,5.73815,5.79875
2013-05-03,5.79865,5.83202,5.77459,5.79882
2013-05-06,5.79884,5.83907,5.79529,5.8352
2013-05-07,5.83515,5.85331,5.81674,5.83335
2013-05-08,5.83332,5.85482,5.73243,5.74261
2013-05-09,5.74279,5.79645,5.7196,5.78075
2013-05-10,5.78055,5.8242,5.76656,5.80729
2013-05-13,5.80681,5.82575,5.77475,5.78694
2013-05-14,5.78696,5.83928,5.78045,5.83119
2013-05-15,5.83071,5.8712,5.8275,5.851
2013-05-16,5.85103,5.87761,5.80279,5.84369
2013-05-17,5.84364,5.88463,5.83809,5.8562
2013-05-20,5.85615,5.86365,5.82324,5.83125
