Date,Open,High,Low,Close
2013-01-01,3.08485,3.08955,3.0598,3.07049
2013-01-02,3.07053,3.10167,3.05235,3.0986
2013-01-03,3.0985,3.14605,3.09075,3.1427
2013-01-04,3.14279,3.17335,3.13575,3.15755
2013-01-07,3.15765,3.1681,3.13675,3.14474
2013-01-08,3.14459,3.1561,3.13576,3.142
2013-01-09,3.14205,3.1546,3.11605,3.12305
2013-01-10,3.1231,3.12464,3.07751,3.08325
2013-01-11,3.0833,3.09506,3.06715,3.0709
2013-01-14,3.07098,3.095,3.06219,3.0809
2013-01-15,3.081,3.10109,3.06962,3.09237
2013-01-16,3.09242,3.11576,3.09124,3.1028
2013-01-17,3.10271,3.10513,3.06544,3.0674
2013-01-18,3.06745,3.1321,3.06698,3.11515
2013-01-21,3.1151,3.14095,3.11422,3.12302
2013-01-22,3.12314,3.14558,3.11235,3.13505
2013-01-23,3.1354,3.147,3.11125,3.13127
2013-01-24,3.13123,3.15125,3.12136,3.1332
2013-01-25,3.13325,3.13395,3.09304,3.09725
2013-01-28,3.09715,3.13205,3.09525,3.11799
2013-01-29,3.11794,3.13463,3.10039,3.10365
2013-01-30,3.10415,3.10815,3.08535,3.09479
2013-01-31,3.09484,3.10895,3.0775,3.08441
2013-02-01,3.08436,3.08655,3.03985,3.0576
2013-02-04,3.05765,3.09813,3.03732,3.09648
2013-02-05,3.09673,3.10375,3.0665,3.07942
2013-02-06,3.07947,3.10311,3.07015,3.0897
2013-02-07,3.08964,3.12291,3.08165,3.10962
2013-02-08,3.10957,3.11594,3.0963,3.1022
2013-02-11,3.10215,3.11278,3.09228,3.10191
2013-02-12,3.1021,3.1168,3.09115,3.10505
2013-02-13,3.105,3.1108,3.08245,3.0914
2013-02-14,3.09145,3.13954,3.08983,3.1272
2013-02-15,3.1273,3.15095,3.11822,3.1397
2013-02-18,3.13925,3.14661,3.12971,3.13452
2013-02-19,3.13457,3.14505,3.1043,3.10705
2013-02-20,3.1071,3.14371,3.0941,3.1399
2013-02-21,3.13995,3.17365,3.13585,3.1517
2013-02-22,3.1516,3.16455,3.13442,3.1569
2013-02-25,3.1573,3.19017,3.10955,3.18634
2013-02-26,3.18629,3.2002,3.17005,3.18424
2013-02-27,3.18419,3.1911,3.15822,3.16305
2013-02-28,3.16289,3.18023,3.15805,3.17251
