Date,Open,High,Low,Close
2013-01-01,6.49353,6.50321,6.44306,6.46225
2013-01-02,6.46238,6.5179,6.44374,6.5094
2013-01-03,6.50942,6.54731,6.49309,6.53777
2013-01-04,6.53803,6.56615,6.53155,6.54816
2013-01-07,6.54827,6.56014,6.48488,6.4992
2013-01-08,6.49915,6.56418,6.49304,6.55928
2013-01-09,6.55929,6.59233,6.54832,6.57043
2013-01-10,6.57048,6.57173,6.47318,6.49086
2013-01-11,6.49073,6.51226,6.44726,6.45141
2013-01-14,6.45146,6.4676,6.43778,6.45754
2013-01-15,6.45784,6.52139,6.4431,6.49623
2013-01-16,6.49638,6.53599,6.4875,6.50413
2013-01-17,6.50422,6.50924,6.45499,6.4966
2013-01-18,6.49657,6.54345,6.4781,6.51201
2013-01-21,6.51161,6.5501,6.50241,6.50536
2013-01-22,6.50521,6.5365,6.48228,6.51481
2013-01-23,6.5148,6.55222,6.501,6.521
2013-01-24,6.52083,6.538,6.48605,6.49414
2013-01-25,6.49424,6.49539,6.43742,6.46085
2013-01-28,6.46045,6.47911,6.4093,6.41261
2013-01-29,6.41246,6.42982,6.36274,6.36636
2013-01-30,6.36631,6.37489,6.33755,6.34601
2013-01-31,6.34593,6.372,6.33565,6.34017
2013-02-01,6.34022,6.35244,6.27723,6.32328
2013-02-04,6.32333,6.33761,6.29587,6.3365
2013-02-05,6.33645,6.34784,6.30627,6.32138
2013-02-06,6.32133,6.36744,6.31899,6.36041
2013-02-07,6.36051,6.43749,6.33331,6.40759
2013-02-08,6.40735,6.45108,6.3985,6.43684
2013-02-11,6.43675,6.44195,6.38181,6.39841
2013-02-12,6.39862,6.40983,6.34498,6.361
2013-02-13,6.36095,6.36895,6.27129,6.28896
2013-02-14,6.28891,6.35509,6.28496,6.32771
2013-02-15,6.32758,6.35534,6.30992,6.33426
2013-02-18,6.33427,6.3528,6.31999,6.3465
2013-02-19,6.34641,6.35748,6.29107,6.30065
2013-02-20,6.3007,6.35641,6.27972,6.35223
2013-02-21,6.35231,6.44318,6.34502,6.41068
2013-02-22,6.41051,6.44133,6.37788,6.4094
2013-02-25,6.40985,6.48546,6.35812,6.47698
2013-02-26,6.47693,6.48512,6.44942,6.46258
2013-02-27,6.46267,6.46727,6.42164,6.43211
2013-02-28,6.43313,6.46698,6.42333,6.45134
2013-03-01,6.45119,6.4638,6.4016,6.42941
2013-03-04,6.42949,6.45255,6.40747,6.41253
2013-03-05,6.41248,6.41999,6.37092,6.37685
2013-03-06,6.3769,6.42331,6.3627,6.40929
2013-03-07,6.40934,6.41646,6.31995,6.33585
2013-03-08,6.33623,6.41782,6.32289,6.40291
2013-03-11,6.40275,6.41092,6.38195,6.39745
2013-03-12,6.3974,6.41104,6.32955,6.33155
2013-03-13,6.33115,6.43004,6.32973,6.42592
2013-03-14,6.4261,6.48596,6.41655,6.42803
2013-03-15,6.42802,6.46298,6.37083,6.4515
2013-03-18,6.4516,6.46495,6.41648,6.4347
2013-03-19,6.43442,6.4797,6.42501,6.46839
2013-03-20,6.46844,6.4726,6.4274,6.4603
2013-03-21,6.46045,6.4985,6.4544,6.48443
2013-03-22,6.48438,6.5287,6.44991,6.457
2013-03-25,6.45687,6.54734,6.44883,6.51678
2013-03-26,6.51677,6.52074,6.47089,6.49402
2013-03-27,6.49354,6.52855,6.46555,6.52745
2013-03-28,6.5273,6.53993,6.48815,6.51376
2013-03-29,6.51371,6.54793,6.51115,6.54305
2013-04-01,6.5431,6.54664,6.49313,6.49967
2013-04-02,6.49972,6.50769,6.46705,6.491
2013-04-03,6.49104,6.52154,6.48006,6.5114
2013-04-04,6.51126,6.59044,6.50328,6.52461
2013-04-05,6.52469,6.53114,6.43105,6.44839
2013-04-08,6.44872,6.46079,6.3892,6.40017
2013-04-09,6.40022,6.43444,6.38065,6.38493
2013-04-10,6.38498,6.41073,6.35696,6.40273
2013-04-11,6.40294,6.4042,6.32527,6.34135
2013-04-12,6.34145,6.3934,6.33597,6.38485
2013-04-15,6.38821,6.43189,6.37045,6.41382
2013-04-16,6.41413,6.42165,6.343,6.3664
2013-04-17,6.3665,6.52683,6.3577,6.50896
2013-04-18,6.50861,6.54785,6.49033,6.52148
2013-04-19,6.52147,6.54993,6.48326,6.52302
2013-04-22,6.52311,6.55287,6.50609,6.55251
2013-04-23,6.55237,6.65609,6.5231,6.64153
2013-04-24,6.64154,6.65225,6.58805,6.59554
2013-04-25,6.59562,6.6167,6.56252,6.59172
2013-04-26,6.59162,6.60475,6.54635,6.55117
2013-04-29,6.55122,6.5615,6.5181,6.55086
2013-04-30,6.5509,6.56205,6.45775,6.48637
2013-05-01,6.48659,6.48842,6.42225,6.46898
2013-05-02,6.46894,6.54768,6.46787,6.52855
2013-05-03,6.5286,6.5394,6.46708,6.49763
2013-05-06,6.49769,6.55303,6.49762,6.54802
