Date,Open,High,Low,Close
2013-01-01,1.221,1.22209,1.21984,1.22048
2013-01-02,1.22046,1.2225,1.21935,1.22188
2013-01-03,1.22193,1.22979,1.22115,1.2287
2013-01-04,1.22869,1.23114,1.22578,1.23087
2013-01-07,1.23086,1.2329,1.2278,1.22986
2013-01-08,1.22983,1.23073,1.22729,1.22746
2013-01-09,1.22745,1.22904,1.22593,1.22659
2013-01-10,1.2266,1.22689,1.222,1.22293
2013-01-11,1.22294,1.2275,1.22252,1.22584
2013-01-14,1.22581,1.22702,1.22304,1.22453
2013-01-15,1.22455,1.22625,1.22377,1.22445
2013-01-16,1.22444,1.22519,1.22291,1.22436
2013-01-17,1.22445,1.22553,1.22254,1.22516
2013-01-18,1.22515,1.22951,1.2249,1.2293
2013-01-21,1.22934,1.2307,1.2265,1.22697
2013-01-22,1.22698,1.22868,1.2249,1.22863
2013-01-23,1.22862,1.22862,1.22569,1.2276
2013-01-24,1.22761,1.23159,1.22672,1.23046
2013-01-25,1.23045,1.23719,1.22845,1.23555
2013-01-28,1.23554,1.24029,1.23551,1.23586
2013-01-29,1.23584,1.23797,1.23309,1.23472
2013-01-30,1.23473,1.23928,1.23401,1.23873
2013-01-31,1.23874,1.24295,1.23607,1.24182
2013-02-01,1.24181,1.24257,1.23762,1.23835
2013-02-04,1.23836,1.2401,1.23663,1.23697
2013-02-05,1.23699,1.2387,1.23519,1.23717
2013-02-06,1.23715,1.23955,1.23636,1.23849
2013-02-07,1.2385,1.24151,1.23637,1.23956
2013-02-08,1.23954,1.24095,1.23636,1.23804
2013-02-11,1.23806,1.24459,1.23782,1.24346
2013-02-12,1.24348,1.24511,1.2368,1.23695
2013-02-13,1.23701,1.23942,1.23406,1.23567
2013-02-14,1.23563,1.2378,1.23423,1.23504
2013-02-15,1.23505,1.24105,1.23482,1.23992
2013-02-18,1.23991,1.2403,1.23765,1.23765
2013-02-19,1.23766,1.23882,1.23521,1.23615
2013-02-20,1.23613,1.24085,1.23499,1.24035
2013-02-21,1.24034,1.24258,1.23742,1.23774
2013-02-22,1.23775,1.24042,1.23681,1.23892
2013-02-25,1.2389,1.23969,1.2363,1.23851
2013-02-26,1.23852,1.24029,1.23712,1.23782
2013-02-27,1.23786,1.23994,1.2353,1.23589
2013-02-28,1.23588,1.23865,1.23449,1.2372
2013-03-01,1.23719,1.24571,1.2368,1.24548
2013-03-04,1.24553,1.24833,1.24338,1.24338
2013-03-05,1.24348,1.24746,1.24335,1.24428
2013-03-06,1.24435,1.24942,1.2434,1.24792
2013-03-07,1.2479,1.24855,1.24392,1.24662
2013-03-08,1.24661,1.25074,1.24499,1.24853
2013-03-11,1.24854,1.25,1.2465,1.24742
2013-03-12,1.24741,1.24911,1.24589,1.24666
2013-03-13,1.24664,1.24963,1.24586,1.24861
2013-03-14,1.24859,1.25255,1.24796,1.24836
2013-03-15,1.24835,1.25201,1.247,1.2504
2013-03-18,1.25043,1.25172,1.24804,1.24935
2013-03-19,1.24934,1.25269,1.24886,1.25214
2013-03-20,1.25212,1.25212,1.24928,1.25042
2013-03-21,1.25043,1.25158,1.24828,1.2492
2013-03-22,1.24917,1.25055,1.24478,1.24507
2013-03-25,1.24505,1.24509,1.2405,1.24086
2013-03-26,1.24082,1.24291,1.2395,1.24283
2013-03-27,1.24284,1.24498,1.24129,1.24327
2013-03-28,1.24326,1.24333,1.23895,1.2396
2013-03-29,1.23959,1.24235,1.23896,1.24147
2013-04-01,1.24145,1.24191,1.2359,1.23599
2013-04-02,1.23594,1.23997,1.23591,1.23907
2013-04-03,1.23909,1.23918,1.23644,1.23768
2013-04-04,1.23769,1.24256,1.23759,1.23983
2013-04-05,1.23984,1.24177,1.23744,1.24063
2013-04-08,1.24061,1.24242,1.23899,1.23971
2013-04-09,1.23972,1.24073,1.23645,1.23714
2013-04-10,1.23715,1.23866,1.23659,1.23771
2013-04-11,1.2377,1.23908,1.23534,1.23712
2013-04-12,1.23713,1.23863,1.23478,1.23698
2013-04-15,1.23697,1.23926,1.23581,1.23759
2013-04-16,1.2376,1.2376,1.23148,1.23301
2013-04-17,1.23298,1.23693,1.23249,1.23534
2013-04-18,1.23531,1.23636,1.2338,1.23499
2013-04-19,1.23501,1.23845,1.23478,1.23748
2013-04-22,1.23746,1.24152,1.23739,1.24033
2013-04-23,1.24038,1.24243,1.23939,1.24098
2013-04-24,1.24096,1.24339,1.23805,1.23897
2013-04-25,1.23896,1.23938,1.23532,1.23687
2013-04-26,1.23682,1.23837,1.2338,1.23446
2013-04-29,1.23447,1.23542,1.2328,1.2339
2013-04-30,1.23388,1.2342,1.23036,1.23127
2013-05-01,1.23126,1.23404,1.2305,1.23334
2013-05-02,1.23333,1.23568,1.23214,1.23433
2013-05-03,1.23434,1.2356,1.2289,1.22999
2013-05-06,1.23,1.23258,1.23,1.23054
2013-05-07,1.23052,1.2332,1.23031,1.23117
2013-05-08,1.23122,1.2315,1.22655,1.228
