Date,Open,High,Low,Close
2013-01-01,1.78444,1.78462,1.77663,1.77787
2013-01-02,1.77776,1.78063,1.77631,1.77909
2013-01-03,1.77908,1.788,1.77848,1.78726
2013-01-04,1.78728,1.79052,1.78077,1.78431
2013-01-07,1.78429,1.78616,1.77937,1.78092
2013-01-08,1.7809,1.78179,1.7741,1.77872
2013-01-09,1.77869,1.77938,1.77465,1.77695
2013-01-10,1.77693,1.77774,1.7651,1.7679
2013-01-11,1.76783,1.77376,1.76705,1.7679
2013-01-14,1.76777,1.77182,1.76681,1.77059
2013-01-15,1.77064,1.77291,1.76729,1.77026
2013-01-16,1.77022,1.77246,1.76289,1.76572
2013-01-17,1.76575,1.76673,1.7509,1.75647
2013-01-18,1.75643,1.76285,1.75368,1.75991
2013-01-21,1.75989,1.76434,1.75839,1.76313
2013-01-22,1.7632,1.77199,1.75929,1.76885
2013-01-23,1.76884,1.77396,1.76786,1.77018
2013-01-24,1.77021,1.77268,1.76792,1.77038
2013-01-25,1.77037,1.77099,1.76417,1.76758
2013-01-28,1.76746,1.7745,1.76428,1.77353
2013-01-29,1.77354,1.77388,1.76706,1.76764
2013-01-30,1.76758,1.77034,1.76431,1.76919
2013-01-31,1.76924,1.76993,1.75527,1.75728
2013-02-01,1.75729,1.75837,1.74526,1.74949
2013-02-04,1.74944,1.76339,1.74604,1.76339
2013-02-05,1.76337,1.76401,1.75679,1.76203
2013-02-06,1.76202,1.77098,1.76029,1.77002
2013-02-07,1.77003,1.77491,1.76518,1.7731
2013-02-08,1.77308,1.77447,1.76816,1.77101
2013-02-11,1.7711,1.77716,1.7693,1.7769
2013-02-12,1.77688,1.77697,1.77083,1.77187
2013-02-13,1.77186,1.77214,1.76264,1.76364
2013-02-14,1.76371,1.77107,1.76363,1.76807
2013-02-15,1.76815,1.77131,1.76541,1.76862
2013-02-18,1.76859,1.76996,1.765,1.76648
2013-02-19,1.76644,1.77911,1.76571,1.77501
2013-02-20,1.77498,1.78599,1.77318,1.78487
2013-02-21,1.78486,1.79438,1.78484,1.79287
2013-02-22,1.79296,1.80265,1.78986,1.80209
2013-02-25,1.80211,1.81328,1.79317,1.8131
2013-02-26,1.81306,1.81453,1.80305,1.80586
2013-02-27,1.80575,1.80826,1.7954,1.79653
2013-02-28,1.79652,1.80076,1.79503,1.79705
