Date,Open,High,Low,Close
2013-01-01,8.4561,8.4646,8.4117,8.42155
2013-01-02,8.42165,8.5231,8.42155,8.5054
2013-01-03,8.5051,8.6,8.50245,8.59175
2013-01-04,8.5917,8.668,8.5502,8.58775
2013-01-07,8.5889,8.6138,8.5573,8.5687
2013-01-08,8.5674,8.60625,8.5518,8.5814
2013-01-09,8.58145,8.6201,8.55775,8.6006
2013-01-10,8.6008,8.6867,8.5618,8.6808
2013-01-11,8.68075,8.75725,8.65635,8.71695
2013-01-14,8.71695,8.7368,8.6818,8.7003
2013-01-15,8.7001,8.82355,8.6899,8.8201
2013-01-16,8.82045,8.8764,8.76605,8.80925
2013-01-17,8.81055,8.83345,8.7525,8.83115
2013-01-18,8.8313,8.91575,8.825,8.8837
2013-01-21,8.88365,8.89355,8.83775,8.84175
2013-01-22,8.84125,8.8622,8.8077,8.84895
2013-01-23,8.8517,9.084,8.8515,9.05665
2013-01-24,9.05745,9.0848,9.0191,9.0732
2013-01-25,9.0731,9.0764,8.9319,8.96275
2013-01-28,8.9624,9.1579,8.93685,9.0824
2013-01-29,9.0832,9.12615,9.02015,9.0283
2013-01-30,9.02845,9.0793,9.00055,9.0215
2013-01-31,9.02145,9.0693,8.9164,8.9675
2013-02-01,8.9677,8.9954,8.82795,8.8503
2013-02-04,8.84995,8.95044,8.843,8.925
2013-02-05,8.92505,8.94665,8.8085,8.83975
2013-02-06,8.83985,8.9352,8.82495,8.9114
2013-02-07,8.9113,8.94175,8.8615,8.9205
2013-02-08,8.92035,8.94525,8.8703,8.88155
2013-02-11,8.8815,8.9687,8.8705,8.9664
2013-02-12,8.96245,8.9884,8.87835,8.89855
2013-02-13,8.8983,8.92,8.8337,8.85625
2013-02-14,8.8563,8.91475,8.76994,8.79935
2013-02-15,8.7993,8.86643,8.7904,8.861
2013-02-18,8.8611,8.9062,8.8208,8.8779
2013-02-19,8.878,8.9447,8.8405,8.8556
2013-02-20,8.85545,8.91525,8.82415,8.9099
2013-02-21,8.91025,8.95605,8.8613,8.8891
2013-02-22,8.8887,8.89695,8.8426,8.8948
2013-02-25,8.89515,8.8953,8.8069,8.83235
2013-02-26,8.832,8.8698,8.77695,8.8329
2013-02-27,8.83295,8.8901,8.8104,8.8364
2013-02-28,8.8369,9.0559,8.8312,9.02145
2013-03-01,9.0215,9.1094,8.9927,9.0906
2013-03-04,9.0908,9.1296,9.05945,9.0625
2013-03-05,9.06255,9.11435,9.01955,9.02975
2013-03-06,9.0298,9.152,9.0082,9.11355
2013-03-07,9.1138,9.18585,9.08846,9.157
2013-03-08,9.1571,9.165,9.05855,9.09145
2013-03-11,9.09155,9.17145,9.07415,9.11405
2013-03-12,9.115,9.2095,9.1011,9.1629
2013-03-13,9.16295,9.27305,9.1295,9.24415
2013-03-14,9.24465,9.2905,9.15825,9.16675
2013-03-15,9.17025,9.2427,9.145,9.22025
2013-03-18,9.22015,9.25375,9.1492,9.179
2013-03-19,9.17955,9.2842,9.1674,9.25765
2013-03-20,9.25735,9.3357,9.2133,9.3123
2013-03-21,9.31185,9.36435,9.2823,9.3017
2013-03-22,9.30215,9.3567,9.2544,9.26035
2013-03-25,9.26085,9.3153,9.2298,9.2782
2013-03-26,9.27835,9.2886,9.2302,9.25615
2013-03-27,9.25625,9.30265,9.25135,9.2528
2013-03-28,9.25285,9.26595,9.1677,9.22695
2013-03-29,9.2269,9.257,9.2138,9.2418
2013-04-01,9.2417,9.2607,9.17137,9.17655
2013-04-02,9.17665,9.25835,9.17073,9.25
2013-04-03,9.24995,9.2556,9.19895,9.22625
2013-04-04,9.2262,9.2746,9.1338,9.1804
2013-04-05,9.18,9.1835,9.07091,9.1034
2013-04-08,9.1036,9.10707,8.9529,8.9569
2013-04-09,8.9573,8.9996,8.9068,8.9237
2013-04-10,8.92455,8.95395,8.8811,8.92695
2013-04-11,8.92745,8.93415,8.85585,8.8997
2013-04-12,8.90005,8.99845,8.89585,8.99725
2013-04-15,8.9972,9.24935,8.99615,9.1573
2013-04-16,9.15705,9.23475,9.1055,9.11095
2013-04-17,9.1103,9.22365,9.1038,9.1807
2013-04-18,9.1803,9.1975,9.1254,9.17225
2013-04-19,9.1723,9.25635,9.13475,9.20083
2013-04-22,9.2008,9.309,9.2003,9.25275
2013-04-23,9.2526,9.3057,9.1998,9.21885
2013-04-24,9.2191,9.2279,9.0527,9.09245
2013-04-25,9.0926,9.12445,9.0531,9.0736
2013-04-26,9.07375,9.16405,9.06955,9.0898
2013-04-29,9.08975,9.0933,8.9431,8.9857
2013-04-30,8.98575,9.038,8.94633,8.9926
2013-05-01,8.9927,9.05935,8.93995,9.03715
2013-05-02,9.03695,9.062,8.92345,8.9432
2013-05-03,8.94305,8.97705,8.8991,8.92475
2013-05-06,8.9241,9.0244,8.9236,9.0055
2013-05-07,9.00565,9.0626,8.9929,9.0463
2013-05-08,9.04665,9.07945,8.98007,8.9837
2013-05-09,8.9824,9.06925,8.9583,9.01955
2013-05-10,9.0198,9.1463,9.01205,9.14415
2013-05-13,9.1442,9.16695,9.0727,9.13395
2013-05-14,9.13252,9.2453,9.12526,9.2205
2013-05-15,9.22385,9.3245,9.21298,9.25475
2013-05-16,9.2555,9.38095,9.25025,9.34395
2013-05-17,9.34425,9.4385,9.34395,9.39635
2013-05-20,9.3963,9.4843,9.381,9.43495
2013-05-21,9.43505,9.6085,9.41975,9.57315
2013-05-22,9.57275,9.59366,9.4252,9.57915
2013-05-23,9.57925,9.6901,9.51025,9.55032
2013-05-24,9.55035,9.61944,9.5112,9.61733
2013-05-27,9.61738,9.64455,9.57635,9.62725
2013-05-28,9.62715,9.82635,9.6247,9.8172
2013-05-29,9.8172,9.85512,9.76025,9.7809
2013-05-30,9.78085,10.0907,9.7759,10.0907
2013-05-31,10.09075,10.2819,10.02935,10.0503
2013-06-03,10.05025,10.0875,9.7998,9.82435
2013-06-04,9.8244,9.8668,9.6596,9.8137
2013-06-05,9.81365,10.04085,9.78416,10.02885
2013-06-06,10.02682,10.0867,9.8396,9.88501
2013-06-07,9.88506,10.09635,9.85626,10.06585
2013-06-10,10.06745,10.2387,10.05585,10.1915
2013-06-11,10.19155,10.35875,10.02725,10.09695
2013-06-12,10.09845,10.21092,9.9281,10.11105
2013-06-13,10.1148,10.1438,9.82195,9.89935
2013-06-14,9.89915,9.9894,9.8247,9.93355
2013-06-17,9.9335,10.00395,9.8464,9.9924
2013-06-18,9.9923,10.06396,9.9594,10.0075
2013-06-19,10.0079,10.20865,9.9053,10.2046
2013-06-20,10.205,10.32295,10.18355,10.2275
2013-06-21,10.22745,10.2524,10.13975,10.24625
2013-06-24,10.24635,10.29865,10.034,10.0744
2013-06-25,10.07665,10.12515,9.9217,10.10755
2013-06-26,10.10735,10.1507,10.0195,10.08385
2013-06-27,10.0838,10.1033,9.90465,9.95392
2013-06-28,9.95399,10.0392,9.85783,9.87308
2013-07-01,9.87172,9.947,9.8505,9.92055
2013-07-02,9.9192,10.01475,9.86385,10.00385
2013-07-03,10.00425,10.1175,9.99985,10.07812
2013-07-04,10.07856,10.0924,9.97705,10.03078
2013-07-05,10.0308,10.22705,9.9832,10.21705
2013-07-08,10.21805,10.29575,10.1495,10.16355
2013-07-09,10.1635,10.16508,10.00048,10.04388
2013-07-10,10.0437,10.0795,9.871,9.90181
2013-07-11,9.90211,10.06516,9.86067,9.9932
2013-07-12,9.99325,10.0563,9.946,9.9825
2013-07-15,9.98225,9.98725,9.86775,9.88375
2013-07-16,9.88185,9.9307,9.77159,9.8354
2013-07-17,9.83545,9.9557,9.79865,9.85875
2013-07-18,9.8592,9.9562,9.826,9.90215
2013-07-19,9.90344,9.92435,9.81307,9.81997
2013-07-22,9.82,9.84184,9.77952,9.79966
2013-07-23,9.79948,9.8523,9.67325,9.69535
2013-07-24,9.6954,9.81655,9.611,9.7741
2013-07-25,9.7745,9.83537,9.67665,9.69334
2013-07-26,9.68875,9.8127,9.67885,9.76325
2013-07-29,9.76375,9.84195,9.76105,9.8265
2013-07-30,9.82632,9.88565,9.79296,9.8265
2013-07-31,9.8268,9.9461,9.82233,9.86695
2013-08-01,9.86675,9.99386,9.85205,9.97338
2013-08-02,9.97358,10.0415,9.8301,9.86227
2013-08-05,9.86222,9.8748,9.79245,9.836
2013-08-06,9.8376,9.94425,9.824,9.91832
2013-08-07,9.91837,9.96535,9.87375,9.9527
2013-08-08,9.95235,9.95235,9.80591,9.83588
2013-08-09,9.83578,9.83827,9.7274,9.8014
2013-08-12,9.8025,9.895,9.7748,9.88951
2013-08-13,9.88946,9.9965,9.8665,9.98265
2013-08-14,9.98295,10.01185,9.92055,9.9476
2013-08-15,9.94755,10.05275,9.88675,9.97288
2013-08-16,9.97293,10.09,9.96255,10.08778
2013-08-19,10.087,10.21545,10.08056,10.2093
2013-08-20,10.20797,10.22525,10.11569,10.15233
2013-08-21,10.15288,10.44012,10.1475,10.39618
2013-08-22,10.39747,10.40005,10.24345,10.24805
2013-08-23,10.2481,10.2795,10.16525,10.24375
2013-08-26,10.2435,10.37079,10.20665,10.36227
2013-08-27,10.3623,10.45275,10.3291,10.44545
2013-08-28,10.4449,10.50915,10.26935,10.30508
2013-08-29,10.30375,10.36645,10.2722,10.3382
2013-08-30,10.33829,10.34615,10.2062,10.23875
2013-09-02,10.2389,10.2843,10.1522,10.26906
2013-09-03,10.26903,10.34405,10.2432,10.32625
2013-09-04,10.3256,10.3375,10.20885,10.2499
2013-09-05,10.24955,10.3142,10.1862,10.2113
2013-09-06,10.2112,10.2306,9.9983,10.01987
2013-09-09,10.0197,10.04095,9.94826,9.9508
2013-09-10,9.9515,10.05695,9.9411,10.01172
2013-09-11,10.01047,10.03345,9.85125,9.89097
2013-09-12,9.8914,9.98015,9.8664,9.9666
2013-09-13,9.9595,9.98965,9.84904,9.85672
2013-09-16,9.85722,9.87875,9.73885,9.81585
