Date,Open,High,Low,Close
2013-01-01,10.232,10.346,10.215,10.325
2013-01-02,10.324,10.342,10.197,10.242
2013-01-03,10.243,10.252,10.09,10.197
2013-01-04,10.196,10.308,10.147,10.233
2013-01-07,10.232,10.251,10.163,10.193
2013-01-08,10.192,10.22,10.1,10.176
2013-01-09,10.175,10.243,10.152,10.23
2013-01-10,10.231,10.304,10.143,10.24
2013-01-11,10.239,10.271,10.148,10.26
2013-01-14,10.259,10.292,10.18,10.219
2013-01-15,10.22,10.232,9.959,9.976
2013-01-16,9.975,10.113,9.884,10.011
2013-01-17,10.009,10.227,10.0,10.173
2013-01-18,10.174,10.189,10.047,10.065
2013-01-21,10.066,10.152,10.033,10.066
2013-01-22,10.067,10.11,9.975,9.986
2013-01-23,9.987,9.989,9.728,9.822
2013-01-24,9.821,10.0,9.814,9.953
2013-01-25,9.954,10.186,9.949,10.143
2013-01-28,10.144,10.146,9.882,9.982
2013-01-29,9.981,10.072,9.933,10.058
2013-01-30,10.057,10.118,10.025,10.052
2013-01-31,10.051,10.272,10.005,10.258
2013-02-01,10.259,10.494,10.234,10.451
2013-02-04,10.452,10.463,10.311,10.335
2013-02-05,10.334,10.626,10.296,10.601
2013-02-06,10.6,10.623,10.426,10.471
2013-02-07,10.469,10.561,10.416,10.464
2013-02-08,10.465,10.467,10.301,10.407
2013-02-11,10.406,10.592,10.397,10.488
2013-02-12,10.489,10.52,10.373,10.425
2013-02-13,10.424,10.577,10.41,10.544
2013-02-14,10.543,10.597,10.457,10.47
2013-02-15,10.471,10.621,10.448,10.6
2013-02-18,10.601,10.645,10.514,10.528
2013-02-19,10.528,10.585,10.438,10.539
2013-02-20,10.538,10.587,10.465,10.476
2013-02-21,10.477,10.508,10.378,10.489
2013-02-22,10.488,10.644,10.474,10.564
2013-02-25,10.563,10.671,10.241,10.409
2013-02-26,10.408,10.492,10.288,10.392
2013-02-27,10.391,10.477,10.252,10.425
2013-02-28,10.426,10.455,10.211,10.256
2013-03-01,10.255,10.324,10.166,10.254
2013-03-04,10.253,10.312,10.214,10.262
2013-03-05,10.261,10.331,10.204,10.304
2013-03-06,10.303,10.34,10.243,10.286
2013-03-07,10.287,10.41,10.237,10.403
2013-03-08,10.402,10.59,10.382,10.559
2013-03-11,10.558,10.611,10.461,10.576
2013-03-12,10.577,10.585,10.406,10.429
2013-03-13,10.428,10.456,10.344,10.361
2013-03-14,10.36,10.486,10.355,10.473
2013-03-15,10.474,10.483,10.174,10.253
2013-03-18,10.254,10.415,10.189,10.395
2013-03-19,10.396,10.406,10.203,10.254
2013-03-20,10.255,10.341,10.236,10.289
2013-03-21,10.29,10.291,10.132,10.192
2013-03-22,10.193,10.233,10.07,10.224
2013-03-25,10.223,10.272,10.04,10.151
2013-03-26,10.15,10.231,10.124,10.231
2013-03-27,10.23,10.24,10.101,10.162
2013-03-28,10.16,10.256,10.122,10.186
2013-03-29,10.185,10.228,10.139,10.159
2013-04-01,10.16,10.178,10.073,10.09
2013-04-02,10.091,10.141,10.072,10.095
2013-04-03,10.094,10.128,10.036,10.05
2013-04-04,10.049,10.567,10.047,10.54
2013-04-05,10.541,10.849,10.451,10.806
2013-04-08,10.805,11.098,10.796,11.073
2013-04-09,11.072,11.124,10.954,11.074
2013-04-10,11.073,11.218,11.056,11.14
2013-04-11,11.139,11.234,11.09,11.158
2013-04-12,11.157,11.173,10.83,10.841
2013-04-15,10.84,10.901,10.394,10.628
2013-04-16,10.625,10.78,10.543,10.758
2013-04-17,10.759,10.791,10.527,10.69
2013-04-18,10.691,10.773,10.629,10.716
2013-04-19,10.717,10.854,10.698,10.833
2013-04-22,10.834,10.835,10.63,10.65
