Date,Open,High,Low,Close
2013-01-01,4615.0,4687.0,4615.0,4683.0
2013-01-02,4682.0,4719.0,4659.0,4716.0
2013-01-03,4717.0,4722.0,4688.0,4695.0
2013-01-04,4696.0,4728.0,4687.0,4694.0
2013-01-07,4695.0,4711.0,4662.0,4662.0
2013-01-08,4663.0,4684.0,4659.0,4676.0
2013-01-09,4677.0,4701.0,4669.0,4692.0
2013-01-10,4693.0,4710.0,4672.0,4681.0
2013-01-11,4680.0,4704.0,4679.0,4690.0
2013-01-14,4691.0,4702.0,4675.0,4682.0
2013-01-15,4681.0,4710.0,4669.0,4705.0
2013-01-16,4704.0,4755.0,4694.0,4732.0
2013-01-17,4733.0,4762.0,4720.0,4740.0
2013-01-18,4741.0,4759.0,4728.0,4745.0
2013-01-21,4746.0,4771.0,4732.0,4743.0
2013-01-22,4742.0,4768.0,4720.0,4760.0
2013-01-23,4761.0,4782.0,4744.0,4773.0
2013-01-24,4772.0,4809.0,4772.0,4795.0
2013-01-25,4796.0,4836.0,4796.0,4832.0
2013-01-28,4832.0,4862.0,4825.0,4854.0
2013-01-29,4853.0,4871.0,4836.0,4862.0
2013-01-30,4861.0,4876.0,4828.0,4851.0
2013-01-31,4852.0,4888.0,4840.0,4888.0
2013-02-01,4887.0,4907.0,4869.0,4872.0
2013-02-04,4871.0,4872.0,4828.0,4849.0
2013-02-05,4850.0,4894.0,4835.0,4884.0
2013-02-06,4885.0,4897.0,4865.0,4896.0
2013-02-07,4897.0,4933.0,4872.0,4929.0
2013-02-08,4930.0,4939.0,4914.0,4924.0
2013-02-11,4924.0,4941.0,4915.0,4926.0
2013-02-12,4925.0,4973.0,4922.0,4964.0
2013-02-13,4963.0,5004.0,4948.0,5002.0
2013-02-14,5003.0,5003.0,4968.0,4993.0
2013-02-15,4994.0,5045.0,4989.0,5035.0
2013-02-18,5036.0,5055.0,5027.0,5051.0
2013-02-19,5052.0,5086.0,5049.0,5077.0
2013-02-20,5076.0,5081.0,4962.0,4963.0
2013-02-21,4962.0,5038.0,4952.0,5002.0
2013-02-22,5001.0,5049.0,4981.0,5038.0
2013-02-25,5037.0,5064.0,4960.0,4994.0
