Date,Open,High,Low,Close
2013-01-01,111.25,111.75,111.25,111.73
2013-01-02,111.74,112.87,111.59,112.1
2013-01-03,112.11,112.39,111.25,111.41
2013-01-04,111.42,111.74,110.37,111.28
2013-01-07,111.29,111.66,110.52,111.34
2013-01-08,111.33,112.44,111.12,111.67
2013-01-09,111.66,112.2,111.1,111.83
2013-01-10,111.82,113.26,111.47,111.52
2013-01-11,111.53,111.76,109.6,110.96
2013-01-14,110.97,112.12,110.29,111.61
2013-01-15,111.6,112.42,109.53,109.97
2013-01-16,109.98,110.31,109.32,109.52
2013-01-17,109.52,111.34,109.48,111.13
2013-01-18,111.12,111.94,110.47,111.56
2013-01-21,111.55,112.06,111.4,111.97
2013-01-22,111.96,112.62,111.33,112.16
2013-01-23,112.17,113.13,112.04,112.7
2013-01-24,112.69,113.62,112.41,113.06
2013-01-25,113.05,113.81,112.81,113.16
2013-01-28,113.15,113.77,112.57,113.55
2013-01-29,113.56,114.46,113.04,114.4
2013-01-30,114.39,115.21,114.05,115.05
2013-01-31,115.04,115.88,114.25,115.79
2013-02-01,115.78,117.04,115.38,116.46
2013-02-04,116.46,116.59,115.03,115.12
2013-02-05,115.13,117.2,115.02,116.56
2013-02-06,116.55,117.02,115.7,116.81
2013-02-07,116.82,117.91,116.69,117.83
2013-02-08,117.83,119.14,117.42,118.85
2013-02-11,118.86,118.86,117.52,118.22
2013-02-12,118.22,118.88,117.57,117.65
2013-02-13,117.66,118.24,117.36,117.93
2013-02-14,117.92,118.27,117.23,117.88
2013-02-15,117.87,117.97,116.28,117.77
2013-02-18,117.77,117.92,116.9,117.37
2013-02-19,117.37,117.57,116.53,117.23
2013-02-20,117.24,117.63,114.93,114.99
2013-02-21,114.98,115.14,113.34,114.11
2013-02-22,114.12,114.76,113.6,113.89
2013-02-25,113.9,115.83,113.29,113.74
2013-02-26,113.75,114.31,112.4,112.75
2013-02-27,112.76,113.32,111.64,112.04
2013-02-28,112.03,112.55,110.84,111.05
2013-03-01,111.04,111.33,109.81,110.2
2013-03-04,110.19,110.85,109.55,110.53
2013-03-05,110.54,112.2,110.37,111.86
2013-03-06,111.87,111.95,110.45,110.77
2013-03-07,110.78,111.37,110.39,110.78
2013-03-08,110.77,111.31,109.12,110.5
2013-03-11,110.5,110.65,109.51,110.03
2013-03-12,110.04,111.16,109.29,109.52
2013-03-13,109.52,109.86,107.83,108.0
2013-03-14,108.01,109.46,107.94,109.43
2013-03-15,109.43,110.5,108.28,108.46
2013-03-18,108.46,109.65,107.78,109.35
2013-03-19,109.36,109.38,107.25,107.88
2013-03-20,107.89,108.9,107.68,108.58
2013-03-21,108.59,108.65,107.06,107.71
2013-03-22,107.71,108.09,106.88,108.0
2013-03-25,108.01,109.04,107.25,108.16
2013-03-26,108.16,109.56,107.7,109.19
2013-03-27,109.18,109.95,108.83,109.83
2013-03-28,109.84,110.08,108.96,109.81
2013-03-29,109.81,110.11,109.45,109.75
2013-04-01,109.74,111.29,109.36,110.79
2013-04-02,110.78,111.75,109.98,110.32
2013-04-03,110.34,110.38,106.77,107.5
2013-04-04,107.51,108.02,105.27,106.49
2013-04-05,106.5,106.55,103.62,104.44
2013-04-08,104.43,105.52,103.39,105.14
2013-04-09,105.12,106.47,104.25,106.33
2013-04-10,106.35,106.44,105.14,105.62
2013-04-11,105.62,105.9,103.69,104.36
2013-04-12,104.35,104.36,100.87,100.88
2013-04-15,100.89,101.92,97.99,99.06
2013-04-16,99.07,100.39,98.78,100.39
2013-04-17,100.4,100.41,96.73,97.96
2013-04-18,97.97,99.81,97.2,99.35
2013-04-19,99.36,100.31,99.03,100.0
2013-04-22,100.0,101.01,99.18,99.81
2013-04-23,99.82,100.62,98.77,100.5
2013-04-24,100.51,102.19,100.44,102.11
2013-04-25,102.1,103.46,101.33,102.99
2013-04-26,103.0,103.45,102.24,102.66
2013-04-29,102.65,103.9,102.57,103.62
2013-04-30,103.61,103.97,101.4,101.45
2013-05-01,101.44,102.31,98.75,100.07
2013-05-02,100.07,102.95,99.65,102.64
2013-05-03,102.64,105.46,102.35,104.88
2013-05-06,104.89,105.51,103.88,105.17
2013-05-07,105.17,105.91,103.87,104.37
2013-05-08,104.37,104.78,103.51,104.43
2013-05-09,104.45,104.51,103.43,104.23
2013-05-10,104.24,104.29,101.54,103.21
2013-05-13,103.22,103.57,102.23,102.86
2013-05-14,102.85,103.06,101.95,102.69
2013-05-15,102.7,103.8,101.17,103.11
2013-05-16,103.1,104.25,102.72,103.6
2013-05-17,103.59,104.84,103.33,104.69
2013-05-20,104.68,105.28,103.81,104.83
2013-05-21,104.82,105.11,103.48,103.61
2013-05-22,103.6,103.76,101.86,102.01
2013-05-23,102.01,102.66,100.61,102.36
2013-05-24,102.38,102.77,101.63,102.31
2013-05-27,102.32,102.72,102.09,102.66
2013-05-28,102.65,104.67,102.46,104.14
2013-05-29,104.13,104.34,102.15,102.7
2013-05-30,102.71,102.82,101.06,102.23
2013-05-31,102.23,102.35,99.85,100.28
2013-06-03,100.27,102.36,99.64,101.81
2013-06-04,101.82,103.55,101.45,103.33
2013-06-05,103.32,104.04,102.8,102.98
2013-06-06,102.97,103.91,102.86,103.78
2013-06-07,103.78,104.99,102.87,104.65
2013-06-10,104.65,104.65,103.64,103.74
2013-06-11,103.74,103.8,101.8,102.55
2013-06-12,102.55,104.07,102.2,103.13
2013-06-13,103.13,105.11,102.76,104.7
2013-06-14,104.67,106.61,104.44,105.74
2013-06-17,105.75,106.63,105.26,105.49
2013-06-18,105.5,106.2,105.1,105.96
2013-06-19,105.96,106.57,104.64,104.67
2013-06-20,104.66,105.02,101.73,102.5
2013-06-21,102.52,103.06,100.02,100.54
2013-06-24,100.55,101.61,99.68,100.81
2013-06-25,100.8,102.04,100.69,100.72
2013-06-26,100.71,102.37,100.25,102.18
2013-06-27,102.19,103.31,101.8,102.98
2013-06-28,102.97,103.4,101.62,101.89
2013-07-01,101.87,103.67,101.85,102.92
2013-07-02,102.91,105.57,102.9,104.82
2013-07-03,104.81,105.98,104.48,105.4
2013-07-04,105.39,105.66,104.89,105.47
2013-07-05,105.47,107.99,105.42,107.9
2013-07-08,107.89,107.97,106.76,107.13
2013-07-09,107.14,108.23,106.84,107.73
2013-07-10,107.74,108.66,107.69,108.23
2013-07-11,108.28,108.9,107.02,107.65
2013-07-12,107.68,109.08,107.28,108.87
2013-07-15,108.88,109.23,107.84,107.89
2013-07-16,107.89,108.65,107.66,108.07
2013-07-17,108.06,108.74,107.28,108.46
2013-07-18,108.45,108.91,108.01,108.83
2013-07-19,108.84,109.15,106.99,108.35
