Date,Open,High,Low,Close
2013-01-01,3619.5,3659.5,3587.5,3641.5
2013-01-02,3641.5,3733.0,3641.5,3732.5
2013-01-03,3732.5,3732.5,3703.5,3712.0
2013-01-04,3712.0,3738.5,3695.5,3732.0
2013-01-07,3732.0,3732.0,3695.5,3706.5
2013-01-08,3697.5,3731.0,3689.5,3714.0
2013-01-09,3717.5,3729.5,3703.0,3708.5
2013-01-10,3721.5,3727.5,3693.0,3714.0
2013-01-11,3714.0,3715.0,3683.0,3711.5
2013-01-14,3718.0,3730.5,3703.5,3715.5
2013-01-15,3715.5,3718.0,3689.0,3712.5
2013-01-16,3712.5,3716.0,3680.0,3705.0
2013-01-17,3700.5,3754.5,3700.5,3739.5
2013-01-18,3739.5,3761.0,3735.0,3753.5
2013-01-21,3753.5,3765.0,3738.5,3764.0
2013-01-22,3755.5,3763.5,3724.5,3753.5
2013-01-23,3748.5,3753.5,3713.5,3732.5
2013-01-24,3727.0,3753.0,3710.5,3744.0
2013-01-25,3747.5,3788.5,3744.0,3788.5
2013-01-28,3786.0,3789.0,3770.5,3785.0
2013-01-29,3786.5,3792.0,3763.0,3788.0
2013-01-30,3786.5,3794.0,3758.5,3762.0
2013-01-31,3755.5,3762.5,3723.0,3726.0
2013-02-01,3726.0,3786.5,3726.0,3780.0
2013-02-04,3780.0,3780.0,3644.0,3654.0
2013-02-05,3653.0,3711.0,3652.0,3689.5
2013-02-06,3699.0,3707.5,3623.0,3651.5
2013-02-07,3645.5,3659.5,3593.0,3613.0
2013-02-08,3620.0,3655.5,3607.0,3651.5
2013-02-11,3651.5,3676.0,3634.0,3648.5
2013-02-12,3643.5,3691.5,3638.0,3680.5
2013-02-13,3680.5,3709.5,3672.5,3697.5
2013-02-14,3697.5,3709.5,3656.5,3677.5
2013-02-15,3673.5,3695.0,3644.0,3657.0
2013-02-18,3657.0,3672.5,3639.0,3671.0
2013-02-19,3671.0,3741.5,3658.5,3735.0
2013-02-20,3734.5,3743.0,3692.5,3693.0
2013-02-21,3686.0,3689.5,3621.5,3636.5
2013-02-22,3636.5,3727.0,3636.5,3724.0
2013-02-25,3726.0,3788.0,3606.5,3612.5
2013-02-26,3612.5,3667.5,3598.0,3639.0
2013-02-27,3631.5,3717.0,3618.5,3708.5
2013-02-28,3708.5,3741.0,3684.5,3718.0
2013-03-01,3709.5,3732.5,3660.5,3703.5
2013-03-04,3703.5,3732.5,3670.0,3731.0
2013-03-05,3736.5,3794.0,3728.0,3775.5
2013-03-06,3775.5,3809.0,3766.5,3785.5
2013-03-07,3779.5,3803.0,3773.5,3800.0
2013-03-08,3802.0,3850.5,3802.0,3842.0
2013-03-11,3837.25,3842.0,3817.5,3839.0
