Date,Open,High,Low,Close
2013-01-01,7662.0,7674.5,7611.5,7624.0
2013-01-02,7625.0,7802.5,7625.0,7788.5
2013-01-03,7788.5,7788.5,7740.0,7748.5
2013-01-04,7747.0,7792.0,7729.5,7778.75
2013-01-07,7778.75,7778.75,7715.0,7734.0
2013-01-08,7734.0,7758.0,7686.0,7704.75
2013-01-09,7714.0,7738.0,7692.0,7714.5
2013-01-10,7714.5,7778.5,7687.5,7731.0
2013-01-11,7731.0,7734.5,7686.5,7726.0
2013-01-14,7726.0,7790.0,7705.0,7739.0
2013-01-15,7739.0,7739.0,7637.0,7697.5
2013-01-16,7697.5,7698.5,7646.0,7685.0
2013-01-17,7676.5,7768.5,7664.0,7730.75
2013-01-18,7730.75,7756.0,7706.5,7729.0
2013-01-21,7729.0,7760.0,7720.5,7750.0
2013-01-22,7750.0,7750.5,7636.0,7717.0
2013-01-23,7713.5,7734.5,7686.5,7716.5
2013-01-24,7716.5,7758.0,7661.5,7742.0
2013-01-25,7742.0,7873.25,7740.0,7872.5
2013-01-28,7872.5,7880.0,7833.0,7838.5
2013-01-29,7838.5,7859.0,7801.0,7854.5
2013-01-30,7857.0,7866.0,7775.0,7796.5
2013-01-31,7786.75,7813.0,7761.5,7775.5
2013-02-01,7799.5,7855.5,7785.0,7840.5
2013-02-04,7840.5,7840.5,7602.25,7628.5
2013-02-05,7628.5,7682.0,7622.0,7658.0
2013-02-06,7658.0,7694.0,7536.5,7594.0
2013-02-07,7582.0,7661.5,7565.0,7606.0
2013-02-08,7606.0,7654.5,7576.0,7652.5
2013-02-11,7653.0,7676.5,7597.0,7627.0
2013-02-12,7627.0,7668.5,7592.25,7659.5
2013-02-13,7659.5,7737.0,7649.0,7709.0
2013-02-14,7709.0,7728.0,7606.5,7644.5
2013-02-15,7644.5,7650.5,7570.0,7598.5
2013-02-18,7598.5,7632.0,7568.0,7629.5
2013-02-19,7629.5,7763.5,7609.0,7751.5
2013-02-20,7751.5,7783.5,7706.5,7706.5
2013-02-21,7692.75,7697.5,7561.0,7602.25
2013-02-22,7602.25,7696.5,7602.25,7693.5
2013-02-25,7695.5,7862.5,7633.0,7636.0
2013-02-26,7622.5,7673.0,7587.25,7639.75
2013-02-27,7630.5,7723.5,7563.5,7711.0
2013-02-28,7717.5,7784.0,7691.0,7744.5
2013-03-01,7728.5,7767.5,7627.5,7715.5
2013-03-04,7665.5,7733.5,7635.5,7732.0
2013-03-05,7745.5,7884.0,7737.5,7844.75
2013-03-06,7844.75,7976.5,7844.75,7938.5
2013-03-07,7936.0,7956.75,7910.0,7943.5
2013-03-08,7943.5,8014.0,7942.25,7990.0
2013-03-11,7990.0,7999.0,7955.0,7996.5
2013-03-12,7978.5,8001.5,7933.5,7973.0
2013-03-13,7976.5,7990.5,7941.0,7983.5
2013-03-14,7993.5,8060.5,7986.0,8047.75
2013-03-15,8068.5,8076.5,8007.0,8049.0
2013-03-18,8049.0,8049.0,7861.5,8004.75
2013-03-19,8004.75,8014.0,7932.0,7959.5
2013-03-20,7959.5,8043.5,7959.5,8005.5
2013-03-21,8001.0,8013.0,7898.0,7933.0
2013-03-22,7932.75,7966.0,7889.5,7947.5
2013-03-25,7947.5,8037.0,7860.0,7898.0
2013-03-26,7905.0,7926.0,7871.5,7909.5
2013-03-27,7914.0,7930.5,7773.5,7824.5
2013-03-28,7824.5,7856.5,7787.0,7837.75
2013-03-29,7824.5,7856.5,7787.0,7837.75
2013-04-01,7824.5,7856.5,7787.0,7837.75
2013-04-02,7837.75,7962.0,7793.0,7926.0
2013-04-03,7926.0,7966.5,7866.5,7877.0
2013-04-04,7877.0,7941.5,7817.0,7845.0
2013-04-05,7845.0,7845.0,7644.0,7687.0
2013-04-08,7687.0,7709.5,7656.5,7697.75
2013-04-09,7697.75,7734.0,7618.5,7673.0
2013-04-10,7663.25,7835.5,7663.25,7825.0
2013-04-11,7825.0,7896.5,7796.5,7852.5
2013-04-12,7839.5,7848.0,7734.5,7794.0
2013-04-15,7794.0,7794.0,7657.75,7664.75
2013-04-16,7691.5,7750.5,7647.0,7716.25
2013-04-17,7708.0,7739.5,7482.0,7532.0
2013-04-18,7532.0,7565.0,7445.0,7476.5
2013-04-19,7476.5,7538.5,7425.25,7470.25
2013-04-22,7512.75,7545.0,7444.0,7505.5
2013-04-23,7505.5,7689.0,7450.5,7678.0
2013-04-24,7679.0,7784.5,7660.5,7761.5
2013-04-25,7761.5,7860.0,7748.75,7822.5
2013-04-26,7822.5,7852.5,7774.5,7838.0
2013-04-29,7838.0,7933.0,7828.0,7917.5
2013-04-30,7917.5,7970.25,7897.0,7934.5
2013-05-01,7917.5,7970.25,7897.0,7934.5
2013-05-02,7934.5,8011.5,7897.5,7973.5
2013-05-03,7973.5,8135.0,7961.0,8124.0
2013-05-06,8124.0,8151.0,8105.5,8126.5
2013-05-07,8124.0,8209.0,8120.0,8189.5
2013-05-08,8189.5,8262.5,8167.0,8257.0
2013-05-09,8248.0,8279.0,8225.25,8251.75
2013-05-10,8251.75,8359.5,8251.75,8301.0
2013-05-13,8281.0,8296.0,8218.0,8286.0
2013-05-14,8286.0,8353.0,8235.0,8351.5
2013-05-15,8351.5,8375.5,8299.5,8363.5
2013-05-16,8352.0,8403.5,8324.0,8345.75
2013-05-17,8345.75,8476.0,8327.5,8456.0
2013-05-20,8456.0,8462.0,8400.0,8442.25
2013-05-21,8435.5,8484.0,8397.0,8463.25
2013-05-22,8463.25,8560.0,8436.0,8459.5
2013-05-23,8390.0,8423.75,8281.0,8382.5
2013-05-24,8385.0,8398.5,8261.5,8331.75
