Date,Open,High,Low,Close
2013-01-01,22873.0,23145.0,22868.0,23127.0
2013-01-02,23141.0,23387.0,23108.0,23353.0
2013-01-03,23353.0,23444.0,23196.0,23240.0
2013-01-04,23235.0,23379.0,23215.0,23323.0
2013-01-07,23323.0,23358.0,23180.0,23240.0
2013-01-08,23240.0,23258.0,23098.0,23215.0
2013-01-09,23211.0,23510.0,23153.0,23465.0
2013-01-10,23465.0,23486.0,23337.0,23377.0
2013-01-11,23377.0,23459.0,23235.0,23425.0
2013-01-14,23425.0,23552.0,23318.0,23335.0
2013-01-15,23335.0,23411.0,23250.0,23318.0
2013-01-16,23318.0,23518.0,23181.0,23254.0
2013-01-17,23254.0,23606.0,23202.0,23514.0
2013-01-18,23514.0,23638.0,23481.0,23611.0
2013-01-21,23611.0,23691.0,23494.0,23647.0
2013-01-22,23647.0,23714.0,23575.0,23617.0
2013-01-23,23602.0,23694.0,23509.0,23594.0
2013-01-24,23594.0,23690.0,23508.0,23534.0
2013-01-25,23534.0,23755.0,23517.0,23716.0
2013-01-28,23716.0,23722.0,23594.0,23680.0
2013-01-29,23680.0,23924.0,23652.0,23832.0
2013-01-30,23841.0,23850.0,23699.0,23738.0
2013-01-31,23738.0,23780.0,23564.0,23646.0
2013-02-01,23646.0,23979.0,23645.0,23885.0
2013-02-04,23885.0,23885.0,23259.0,23300.0
2013-02-05,23300.0,23348.0,23077.0,23268.0
2013-02-06,23273.0,23377.0,23156.0,23166.0
2013-02-07,23171.0,23287.0,23112.0,23230.0
2013-02-08,23228.0,23294.0,23214.0,23236.0
2013-02-11,23228.0,23294.0,23214.0,23236.0
2013-02-12,23228.0,23294.0,23214.0,23236.0
2013-02-13,23440.0,23476.0,23295.0,23404.0
2013-02-14,23404.0,23457.0,23262.0,23374.0
2013-02-15,23374.0,23475.0,23296.0,23350.0
2013-02-18,23350.0,23442.0,23308.0,23328.0
2013-02-19,23331.0,23361.0,23122.0,23170.0
2013-02-20,23170.0,23262.0,22847.0,22875.0
2013-02-21,22877.0,22896.0,22633.0,22803.0
2013-02-22,22803.0,22833.0,22737.0,22757.0
2013-02-25,22757.0,22846.0,22569.0,22659.0
2013-02-26,22659.0,22666.0,22504.0,22604.0
2013-02-27,22604.0,22780.0,22527.0,22754.0
2013-02-28,22757.0,22996.0,22757.0,22861.0
2013-03-01,22861.0,22879.0,22474.0,22479.0
2013-03-04,22479.0,22589.0,22364.0,22513.0
2013-03-05,22513.0,22701.0,22412.0,22664.0
2013-03-06,22664.0,22758.0,22532.0,22700.0
2013-03-07,22701.0,23012.0,22563.0,23004.0
2013-03-08,23004.0,23211.0,23004.0,23154.0
2013-03-11,23154.0,23235.0,22993.0,23030.0
2013-03-12,23029.0,23051.0,22641.0,22689.0
2013-03-13,22694.0,22728.0,22222.0,22321.0
2013-03-14,22322.0,22715.0,22322.0,22701.0
2013-03-15,22701.0,22706.0,21945.0,21992.0
2013-03-18,21992.0,22163.0,21919.0,22101.0
2013-03-19,22099.0,22231.0,21924.0,22215.0
2013-03-20,22214.0,22386.0,22156.0,22260.0
2013-03-21,22260.0,22312.0,22138.0,22153.0
2013-03-22,22153.0,22390.0,22037.0,22270.0
2013-03-25,22269.0,22311.0,22079.0,22169.0
2013-03-26,22168.0,22505.0,22113.0,22442.0
2013-03-27,22442.0,22459.0,22179.0,22221.0
2013-03-28,22221.0,22345.0,22120.0,22315.0
2013-03-29,22221.0,22345.0,22120.0,22315.0
2013-04-01,22104.0,22466.0,22100.0,22320.0
2013-04-02,22321.0,22508.0,22256.0,22316.0
2013-04-03,22316.0,22390.0,22307.0,22340.0
2013-04-04,22236.0,22240.0,21750.0,21767.0
2013-04-05,21767.0,21810.0,21584.0,21713.0
2013-04-08,21713.0,21951.0,21613.0,21892.0
2013-04-09,21891.0,21970.0,21781.0,21871.0
2013-04-10,21870.0,22243.0,21822.0,22186.0
2013-04-11,22194.0,22224.0,22013.0,22134.0
2013-04-12,22134.0,22141.0,21696.0,21709.0
2013-04-15,21710.0,21799.0,21451.0,21628.0
2013-04-16,21645.0,21819.0,21600.0,21630.0
2013-04-17,21631.0,21774.0,21303.0,21542.0
2013-04-18,21541.0,21709.0,21361.0,21702.0
