Date,Open,High,Low,Close
2013-01-01,2586.0,2664.75,2581.25,2658.75
2013-01-02,2658.75,2742.5,2658.75,2734.0
2013-01-03,2734.0,2747.0,2719.0,2722.25
2013-01-04,2722.5,2735.75,2710.0,2710.5
2013-01-07,2710.25,2722.5,2702.25,2714.25
2013-01-08,2714.0,2724.5,2698.5,2715.0
2013-01-09,2715.25,2731.0,2711.25,2729.5
2013-01-10,2729.5,2744.25,2713.75,2737.75
2013-01-11,2737.75,2749.25,2732.25,2745.5
2013-01-14,2745.75,2747.75,2719.25,2725.75
2013-01-15,2725.5,2730.0,2705.25,2719.25
2013-01-16,2719.0,2737.25,2710.5,2719.5
2013-01-17,2719.5,2751.5,2716.75,2735.5
2013-01-18,2735.75,2741.5,2722.5,2738.5
2013-01-21,2738.5,2746.5,2732.25,2739.0
2013-01-22,2739.0,2757.75,2720.75,2753.0
2013-01-23,2753.25,2768.13,2708.38,2715.25
2013-01-24,2715.25,2742.75,2712.38,2714.25
2013-01-25,2714.25,2739.5,2714.25,2731.75
2013-01-28,2731.75,2747.25,2727.0,2738.0
2013-01-29,2737.75,2746.75,2716.25,2744.0
2013-01-30,2744.0,2751.5,2726.25,2731.75
2013-01-31,2731.5,2746.0,2723.75,2735.75
2013-02-01,2736.0,2763.75,2730.25,2753.0
2013-02-04,2752.75,2758.25,2709.25,2713.25
2013-02-05,2713.25,2759.0,2710.75,2753.0
2013-02-06,2753.25,2757.0,2733.0,2737.5
2013-02-07,2737.25,2748.75,2713.0,2746.5
2013-02-08,2746.75,2778.25,2742.0,2774.0
2013-02-11,2773.75,2780.75,2763.5,2768.5
2013-02-12,2768.75,2774.25,2758.75,2764.75
2013-02-13,2764.75,2781.5,2762.75,2768.5
2013-02-14,2768.5,2774.5,2755.75,2764.5
2013-02-15,2764.25,2776.5,2754.25,2762.0
2013-02-18,2762.0,2764.75,2758.75,2763.0
2013-02-19,2763.0,2786.25,2760.0,2786.0
2013-02-20,2786.0,2786.25,2733.13,2734.5
2013-02-21,2734.5,2737.75,2699.5,2721.0
2013-02-22,2721.25,2738.75,2714.25,2733.25
2013-02-25,2733.25,2764.5,2695.0,2704.0
2013-02-26,2704.25,2718.0,2689.0,2708.5
2013-02-27,2708.5,2757.75,2703.25,2744.75
2013-02-28,2744.0,2761.25,2729.0,2738.25
2013-03-01,2738.25,2751.0,2711.75,2734.0
2013-03-04,2733.75,2764.25,2732.5,2762.75
2013-03-05,2762.75,2803.5,2761.25,2798.0
2013-03-06,2798.0,2809.0,2788.5,2790.5
2013-03-07,2790.25,2804.25,2788.75,2799.5
2013-03-08,2799.75,2813.5,2792.5,2802.5
2013-03-11,2802.5,2812.0,2791.0,2806.25
2013-03-12,2806.25,2809.5,2787.5,2803.25
2013-03-13,2803.88,2808.25,2787.5,2800.25
2013-03-14,2800.25,2812.75,2799.0,2809.0
2013-03-15,2809.13,2811.5,2751.75,2756.75
2013-03-18,2757.0,2797.0,2748.25,2792.25
2013-03-19,2792.25,2799.75,2755.25,2778.5
2013-03-20,2778.5,2806.25,2778.25,2785.5
2013-03-21,2785.5,2787.75,2761.0,2770.75
2013-03-22,2770.5,2809.5,2763.25,2807.75
2013-03-25,2808.0,2811.25,2770.75,2788.5
2013-03-26,2788.75,2803.75,2787.25,2802.75
2013-03-27,2803.0,2805.75,2776.5,2793.0
2013-03-28,2793.0,2814.5,2791.5,2813.75
2013-03-29,2813.75,2814.75,2807.25,2811.5
2013-04-01,2811.25,2815.5,2784.25,2789.25
2013-04-02,2789.25,2823.0,2787.75,2813.25
2013-04-03,2813.25,2819.0,2780.25,2785.5
2013-04-04,2785.75,2801.25,2772.75,2779.75
2013-04-05,2780.0,2782.0,2737.5,2767.0
2013-04-08,2766.75,2789.75,2757.0,2786.5
2013-04-09,2786.25,2809.5,2773.0,2797.25
2013-04-10,2797.0,2857.25,2796.5,2847.75
2013-04-11,2847.5,2858.25,2843.25,2848.5
2013-04-12,2848.25,2851.75,2828.25,2836.25
2013-04-15,2836.25,2844.75,2778.25,2803.0
2013-04-16,2803.0,2833.75,2793.0,2820.0
2013-04-17,2820.0,2828.25,2758.25,2779.25
2013-04-18,2779.5,2787.75,2723.75,2751.5
2013-04-19,2751.5,2786.75,2737.0,2785.5
2013-04-22,2785.5,2812.25,2772.75,2793.5
2013-04-23,2793.5,2843.25,2785.0,2825.25
2013-04-24,2825.25,2838.0,2815.75,2828.5
2013-04-25,2828.5,2854.25,2825.0,2835.75
2013-04-26,2835.75,2842.5,2822.25,2832.5
2013-04-29,2832.75,2871.5,2832.0,2859.25
2013-04-30,2859.0,2883.75,2853.5,2881.25
2013-05-01,2881.5,2886.75,2862.25,2871.25
2013-05-02,2871.0,2910.25,2867.75,2903.25
2013-05-03,2903.25,2947.5,2900.0,2941.0
2013-05-06,2941.25,2954.0,2937.0,2946.5
2013-05-07,2946.5,2956.5,2937.25,2948.0
2013-05-08,2948.0,2967.5,2941.5,2963.75
2013-05-09,2963.75,2978.0,2950.0,2966.0
2013-05-10,2965.75,2977.75,2958.75,2967.75
2013-05-13,2967.75,2987.25,2960.5,2983.75
2013-05-14,2983.75,3004.75,2971.25,2995.0
2013-05-15,2995.25,3008.0,2982.5,3004.25
2013-05-16,3004.0,3018.75,2995.75,3001.75
2013-05-17,3002.0,3028.25,2998.75,3021.75
2013-05-20,3022.0,3031.75,3010.0,3020.5
2013-05-21,3020.5,3036.5,3010.25,3021.75
2013-05-22,3021.5,3053.25,2983.75,2992.5
2013-05-23,2992.75,3003.0,2961.25,2995.0
2013-05-24,2994.5,3004.5,2963.5,2996.5
2013-05-27,2996.5,3009.25,2985.0,3007.5
2013-05-28,3007.5,3036.75,3000.25,3004.0
2013-05-29,3004.0,3008.5,2978.25,2992.75
2013-05-30,2992.5,3025.25,2981.5,3011.0
2013-05-31,3011.25,3022.5,2976.75,2986.75
2013-06-03,2986.5,2994.75,2950.0,2984.0
2013-06-04,2983.75,3006.75,2960.75,2973.75
2013-06-05,2973.5,2975.75,2931.75,2943.0
2013-06-06,2943.0,2953.75,2910.25,2946.0
2013-06-07,2946.25,2991.75,2941.5,2986.75
2013-06-10,2986.75,3004.0,2982.25,2983.0
2013-06-11,2983.25,2986.75,2949.75,2968.75
2013-06-12,2968.5,2979.25,2907.25,2911.0
2013-06-13,2910.75,2969.25,2897.75,2958.75
2013-06-14,2959.25,2967.0,2938.75,2954.25
2013-06-17,2954.25,2989.25,2952.25,2971.75
2013-06-18,2971.75,3002.25,2970.75,2992.5
2013-06-19,2992.5,3003.25,2944.13,2947.88
2013-06-20,2948.0,2952.38,2882.13,2890.25
2013-06-21,2890.38,2906.0,2846.0,2855.75
2013-06-24,2855.88,2863.5,2818.0,2836.25
2013-06-25,2836.0,2873.5,2830.5,2850.25
2013-06-26,2850.5,2894.0,2850.25,2884.0
2013-06-27,2884.0,2918.0,2882.25,2903.75
2013-06-28,2903.75,2921.75,2884.5,2898.0
2013-07-01,2898.25,2946.5,2897.5,2922.25
2013-07-02,2922.25,2941.0,2907.25,2918.38
2013-07-03,2918.25,2948.75,2896.75,2943.25
2013-07-04,2943.5,2967.0,2941.5,2965.75
2013-07-05,2966.0,2970.75,2927.75,2966.25
