Date,Open,High,Low,Close
2013-01-01,91.73,92.6,91.54,92.55
2013-01-02,92.57,93.81,92.46,92.8
2013-01-03,92.79,93.27,92.12,92.17
2013-01-04,92.16,93.19,91.51,92.83
2013-01-07,92.82,93.32,92.42,93.13
2013-01-08,93.12,93.77,92.65,92.94
2013-01-09,92.95,93.61,92.67,93.45
2013-01-10,93.44,94.67,93.41,93.82
2013-01-11,93.81,94.22,92.63,94.13
2013-01-14,94.14,94.26,92.93,93.82
2013-01-15,93.81,94.42,93.21,93.57
2013-01-16,93.56,94.33,93.08,93.8
2013-01-17,93.81,96.0,93.79,95.5
2013-01-18,95.49,95.64,94.9,95.15
2013-01-21,95.16,96.19,95.01,96.04
2013-01-22,96.03,96.86,95.45,96.56
2013-01-23,96.57,96.89,94.94,95.5
2013-01-24,95.49,96.65,95.29,95.8
2013-01-25,95.79,96.53,95.42,95.95
2013-01-28,95.94,96.78,95.46,96.68
2013-01-29,96.69,97.79,96.28,97.58
2013-01-30,97.59,98.22,97.32,97.84
2013-01-31,97.85,97.98,96.82,97.48
2013-02-01,97.47,98.11,96.49,97.44
2013-02-04,97.43,97.53,95.87,96.03
2013-02-05,96.04,97.05,95.89,96.63
2013-02-06,96.62,96.96,95.03,96.74
2013-02-07,96.75,97.19,95.53,96.06
2013-02-08,96.05,96.54,95.25,95.65
2013-02-11,95.64,97.06,94.95,96.9
2013-02-12,96.89,97.77,96.66,97.61
2013-02-13,97.6,98.07,96.61,97.1
2013-02-14,97.09,97.67,96.75,97.3
2013-02-15,97.29,97.35,95.19,95.59
2013-02-18,95.6,95.96,95.23,95.45
2013-02-19,95.46,97.22,95.3,96.99
2013-02-20,97.0,97.46,94.23,94.29
2013-02-21,94.3,94.54,92.63,93.21
2013-02-22,93.2,93.45,92.42,93.03
2013-02-25,93.02,94.44,92.0,92.5
2013-02-26,92.51,93.4,92.05,92.64
2013-02-27,92.63,93.35,92.17,92.99
2013-02-28,93.0,93.08,91.41,91.91
2013-03-01,91.9,91.94,90.03,90.35
2013-03-04,90.33,90.88,89.33,90.33
2013-03-05,90.34,91.14,90.02,91.0
2013-03-06,90.99,91.06,89.54,90.26
2013-03-07,90.25,91.69,90.2,91.29
2013-03-08,91.3,92.0,90.81,91.78
2013-03-11,91.79,92.25,90.87,92.06
2013-03-12,92.07,93.42,91.58,92.66
2013-03-13,92.67,93.37,91.89,92.25
2013-03-14,92.26,93.34,91.99,93.29
2013-03-15,93.28,93.81,92.12,92.31
2013-03-18,92.31,93.92,91.75,93.77
2013-03-19,93.76,94.06,92.01,92.66
2013-03-20,92.67,93.57,92.45,93.18
2013-03-21,93.19,93.4,91.82,92.7
2013-03-22,92.69,94.11,92.31,94.04
2013-03-25,94.03,95.62,94.0,94.8
2013-03-26,94.81,96.42,94.78,96.08
2013-03-27,96.07,96.81,95.56,96.59
2013-03-28,96.58,97.32,96.24,97.19
2013-03-29,97.19,97.67,96.68,96.84
2013-04-01,96.83,97.08,95.91,96.75
2013-04-02,96.76,97.41,95.9,96.67
2013-04-03,96.67,96.88,94.17,94.44
2013-04-04,94.45,94.8,92.12,93.26
2013-04-05,93.27,93.29,91.9,92.83
2013-04-08,92.84,93.72,92.44,93.57
2013-04-09,93.56,94.45,92.84,93.9
2013-04-10,93.89,94.79,93.39,94.35
2013-04-11,94.36,94.61,93.04,93.29
2013-04-12,93.28,93.29,88.8,88.85
2013-04-15,88.84,89.94,86.05,86.98
2013-04-16,86.99,89.03,86.99,88.69
2013-04-17,88.68,88.84,85.61,86.79
2013-04-18,86.8,88.48,86.3,87.95
2013-04-19,87.97,88.77,87.54,88.7
2013-04-22,88.69,89.45,87.67,88.66
2013-04-23,88.67,89.61,87.81,89.53
2013-04-24,89.53,91.93,89.3,91.82
2013-04-25,91.81,93.84,91.09,93.16
2013-04-26,93.17,93.55,92.05,92.61
2013-04-29,92.61,94.66,92.49,94.4
2013-04-30,94.39,94.59,92.82,93.03
2013-05-01,93.02,93.16,90.1,91.13
2013-05-02,91.14,94.21,90.63,93.78
2013-05-03,93.77,97.11,93.54,96.56
2013-05-06,96.52,96.64,94.83,95.82
2013-05-07,95.83,96.24,94.91,95.79
2013-05-08,95.8,96.74,95.22,96.62
2013-05-09,96.63,96.66,95.34,96.12
2013-05-10,96.11,96.2,93.35,95.25
2013-05-13,95.28,95.71,94.46,95.37
2013-05-14,95.36,95.63,93.84,94.32
2013-05-15,94.33,94.42,92.12,93.93
2013-05-16,93.92,95.53,93.24,95.01
2013-05-17,95.01,96.4,94.77,95.97
2013-05-20,95.98,97.08,95.21,96.91
2013-05-21,96.9,97.2,95.5,95.67
2013-05-22,95.66,96.16,93.5,93.6
2013-05-23,93.59,94.42,92.2,93.94
2013-05-24,93.95,94.31,93.02,93.48
2013-05-27,93.5,94.01,93.35,93.81
2013-05-28,93.8,95.89,93.52,94.78
2013-05-29,94.77,95.2,92.71,93.17
2013-05-30,93.18,93.95,91.63,93.62
2013-05-31,93.61,93.83,91.26,91.88
2013-06-03,91.89,93.66,91.35,93.01
2013-06-04,93.0,94.38,92.36,93.7
2013-06-05,93.71,94.45,93.38,93.85
2013-06-06,93.84,95.29,93.77,94.81
2013-06-07,94.82,96.35,93.72,96.11
2013-06-10,96.1,96.17,95.18,95.77
2013-06-11,95.78,95.83,94.03,94.77
2013-06-12,94.78,96.42,94.44,95.4
2013-06-13,95.41,96.9,95.02,96.68
2013-06-14,96.69,98.23,96.4,97.62
2013-06-17,97.6,98.71,97.37,97.75
2013-06-18,97.74,98.63,97.39,98.3
