Date,Open,High,Low,Close
2013-01-01,30.324,30.527,30.181,30.509
2013-01-02,30.51,31.473,30.505,31.1
2013-01-03,31.098,31.11,29.378,29.702
2013-01-04,29.703,30.441,29.215,30.248
2013-01-07,30.25,30.329,29.85,30.119
2013-01-08,30.117,30.535,30.061,30.332
2013-01-09,30.33,30.556,30.044,30.351
2013-01-10,30.352,30.923,30.325,30.797
2013-01-11,30.795,30.841,30.164,30.603
2013-01-14,30.604,31.23,30.588,31.093
2013-01-15,31.092,31.557,31.019,31.415
2013-01-16,31.412,31.544,31.067,31.339
2013-01-17,31.346,31.901,31.031,31.763
2013-01-18,31.76,32.108,31.684,31.952
2013-01-21,31.95,32.06,31.843,32.01
2013-01-22,32.012,32.342,31.797,32.191
2013-01-23,32.192,32.458,31.991,32.048
2013-01-24,32.049,32.057,31.473,31.589
2013-01-25,31.59,31.772,31.106,31.244
2013-01-28,31.243,31.293,30.723,30.959
2013-01-29,30.955,31.474,30.938,31.391
2013-01-30,31.392,32.256,31.234,32.049
2013-01-31,32.048,32.102,31.098,31.288
2013-02-01,31.287,32.122,31.283,31.804
2013-02-04,31.797,31.899,31.37,31.712
2013-02-05,31.714,32.088,31.599,31.743
2013-02-06,31.745,31.876,31.586,31.834
2013-02-07,31.83,31.895,31.26,31.48
2013-02-08,31.481,31.665,31.319,31.466
2013-02-11,31.469,31.516,30.703,30.852
2013-02-12,30.853,31.21,30.57,31.13
2013-02-13,31.129,31.177,30.725,30.845
2013-02-14,30.844,31.049,30.224,30.316
2013-02-15,30.317,30.388,29.679,29.987
2013-02-18,29.988,30.129,29.855,30.003
2013-02-19,29.999,30.124,29.225,29.496
2013-02-20,29.494,29.603,28.266,28.376
2013-02-21,28.375,28.88,28.313,28.836
2013-02-22,28.835,28.916,28.37,28.753
2013-02-25,28.754,29.238,28.752,28.961
2013-02-26,28.964,29.445,28.576,29.221
2013-02-27,29.219,29.297,28.845,29.056
2013-02-28,29.058,29.165,28.385,28.492
2013-03-01,28.49,28.8,27.932,28.536
2013-03-04,28.534,28.799,28.426,28.701
2013-03-05,28.704,29.071,28.512,28.719
2013-03-06,28.72,29.067,28.532,28.935
2013-03-07,28.934,29.071,28.738,28.766
2013-03-08,28.764,29.249,28.332,29.026
2013-03-11,29.027,29.085,28.704,28.985
2013-03-12,28.983,29.343,28.874,29.148
2013-03-13,29.145,29.273,28.578,28.816
2013-03-14,28.817,28.957,28.542,28.92
2013-03-15,28.921,29.113,28.604,28.736
2013-03-18,28.735,29.049,28.6,28.942
2013-03-19,28.94,29.099,28.644,28.891
2013-03-20,28.882,28.995,28.458,28.85
2013-03-21,28.849,29.322,28.736,29.104
2013-03-22,29.101,29.154,28.527,28.836
2013-03-25,28.838,28.897,28.485,28.787
2013-03-26,28.785,28.852,28.626,28.676
2013-03-27,28.678,28.824,28.105,28.734
2013-03-28,28.738,28.772,28.199,28.418
2013-03-29,28.548,28.563,28.141,28.159
2013-04-01,28.158,28.199,27.847,28.118
2013-04-02,28.12,28.122,26.997,27.026
2013-04-03,27.027,27.342,26.709,26.798
2013-04-04,26.801,27.047,26.626,26.824
2013-04-05,26.829,27.429,26.774,27.274
2013-04-08,27.273,27.36,27.129,27.335
2013-04-09,27.332,28.062,27.23,27.939
2013-04-10,27.932,28.011,27.397,27.539
2013-04-11,27.538,27.84,27.414,27.627
2013-04-12,27.624,27.659,24.118,24.572
2013-04-15,24.569,24.898,22.043,22.628
2013-04-16,22.634,23.962,22.634,23.413
2013-04-17,23.408,23.682,22.458,23.126
2013-04-18,23.124,23.668,22.867,23.398
2013-04-19,23.399,23.831,22.904,23.5
2013-04-22,23.499,23.686,23.182,23.198
2013-04-23,23.193,23.268,22.606,23.089
2013-04-24,23.09,23.384,22.849,23.333
2013-04-25,23.344,24.819,23.152,24.417
2013-04-26,24.418,24.511,23.635,24.186
2013-04-29,24.183,24.578,24.074,24.307
2013-04-30,24.306,24.457,24.032,24.27
2013-05-01,24.265,24.27,23.244,23.483
2013-05-02,23.484,24.196,23.43,24.034
2013-05-03,24.031,24.423,23.428,24.179
2013-05-06,24.177,24.276,23.656,23.762
2013-05-07,23.761,24.019,23.435,23.938
2013-05-08,23.94,24.179,23.668,24.123
2013-05-09,24.126,24.174,23.52,23.772
2013-05-10,23.773,23.893,23.178,23.651
2013-05-13,23.642,23.816,23.505,23.715
2013-05-14,23.716,23.769,23.125,23.287
2013-05-15,23.286,23.325,22.487,22.73
2013-05-16,22.738,22.801,22.108,22.506
2013-05-17,22.505,22.737,20.191,21.251
2013-05-20,21.248,23.224,21.221,22.624
2013-05-21,22.621,22.91,22.065,22.489
2013-05-22,22.488,23.325,21.965,22.119
2013-05-23,22.121,22.674,22.1,22.588
2013-05-24,22.586,22.628,22.314,22.548
2013-05-27,22.551,22.751,22.445,22.517
2013-05-28,22.509,22.625,22.161,22.333
2013-05-29,22.347,22.583,22.178,22.491
2013-05-30,22.494,23.087,22.451,22.796
2013-05-31,22.798,22.852,22.157,22.371
2013-06-03,22.372,22.957,22.325,22.647
2013-06-04,22.644,22.69,22.275,22.616
2013-06-05,22.615,22.751,22.34,22.47
2013-06-06,22.469,22.89,22.307,22.695
2013-06-07,22.697,22.779,21.447,21.809
2013-06-10,21.807,22.079,21.397,21.868
2013-06-11,21.867,21.925,21.478,21.78
2013-06-12,21.788,22.009,21.638,21.87
2013-06-13,21.873,21.944,21.569,21.761
2013-06-14,21.766,22.538,21.685,22.007
2013-06-17,22.005,22.018,21.669,21.877
2013-06-18,21.879,21.894,21.515,21.594
2013-06-19,21.591,21.861,21.148,21.227
2013-06-20,21.229,21.28,19.382,19.826
2013-06-21,19.83,20.215,19.668,19.892
2013-06-24,19.89,19.899,19.449,19.598
2013-06-25,19.599,19.844,18.73,18.913
2013-06-26,18.916,19.051,18.419,18.746
2013-06-27,18.745,18.949,18.194,18.772
2013-06-28,18.777,20.087,18.531,19.667
2013-07-01,19.668,19.879,19.397,19.68
2013-07-02,19.679,19.805,19.248,19.453
2013-07-03,19.454,19.906,19.331,19.678
2013-07-04,19.676,19.709,19.293,19.322
2013-07-05,19.315,19.4,18.695,18.769
2013-07-08,18.775,19.426,18.727,19.376
2013-07-09,19.378,19.505,19.012,19.076
2013-07-10,19.075,19.975,19.042,19.861
2013-07-11,19.864,20.266,19.78,19.965
2013-07-12,19.963,20.157,19.635,20.013
2013-07-15,20.02,20.087,19.566,19.766
2013-07-16,19.773,20.048,19.706,19.933
2013-07-17,19.932,20.154,19.272,19.378
2013-07-18,19.377,19.572,19.239,19.506
2013-07-19,19.509,19.952,19.311,19.896
2013-07-22,19.898,20.586,19.857,20.335
2013-07-23,20.332,20.545,20.099,20.28
2013-07-24,20.284,20.438,19.993,20.086
2013-07-25,20.084,20.335,19.776,20.271
2013-07-26,20.272,20.275,19.654,19.781
2013-07-29,19.785,20.216,19.69,19.846
2013-07-30,19.841,20.005,19.522,19.861
2013-07-31,19.864,20.117,19.386,19.639
2013-08-01,19.638,19.971,19.531,19.595
2013-08-02,19.586,20.283,19.204,19.974
2013-08-05,19.973,19.991,19.549,19.665
2013-08-06,19.663,19.797,19.348,19.42
2013-08-07,19.418,19.811,19.143,19.754
2013-08-08,19.753,20.323,19.655,20.187
2013-08-09,20.192,21.274,20.082,21.024
2013-08-12,21.028,21.445,20.802,21.295
2013-08-13,21.293,21.754,21.193,21.393
2013-08-14,21.388,22.164,21.272,22.035
2013-08-15,22.039,23.185,21.714,22.994
2013-08-16,23.002,23.602,22.76,23.488
2013-08-19,23.498,23.559,22.978,23.063
2013-08-20,23.065,23.299,22.28,23.068
2013-08-21,23.073,23.35,22.448,22.769
2013-08-22,22.773,23.317,22.76,23.121
2013-08-23,23.119,24.275,22.876,24.115
2013-08-26,24.122,24.401,23.887,24.094
2013-08-27,24.095,24.684,24.04,24.596
2013-08-28,24.594,25.098,24.056,24.125
2013-08-29,24.117,24.407,23.647,23.91
2013-08-30,23.911,23.996,23.066,23.872
2013-09-02,23.883,24.359,23.789,24.054
2013-09-03,24.043,24.471,23.976,24.102
2013-09-04,24.098,24.151,23.316,23.453
2013-09-05,23.46,23.629,22.999,23.247
2013-09-06,23.242,24.073,23.037,23.715
2013-09-09,23.709,23.817,23.245,23.34
2013-09-10,23.337,23.415,22.751,22.941
2013-09-11,22.939,23.21,22.851,23.011
2013-09-12,23.004,23.016,21.72,21.969
2013-09-13,21.971,22.382,21.381,22.146
2013-09-16,22.147,22.154,21.646,21.856
2013-09-17,21.86,22.087,21.331,21.434
2013-09-18,21.435,23.204,21.192,23.035
2013-09-19,23.036,23.391,22.808,22.944
2013-09-20,22.945,23.017,21.273,21.503
2013-09-23,21.499,21.993,21.402,21.829
2013-09-24,21.833,21.913,21.296,21.66
2013-09-25,21.664,21.918,21.452,21.695
2013-09-26,21.69,22.075,21.504,21.59
2013-09-27,21.588,22.104,21.478,21.657
2013-09-30,21.66,22.027,21.402,21.703
2013-10-01,21.704,21.929,20.605,21.1
2013-10-02,21.103,21.996,20.999,21.695
2013-10-03,21.694,21.817,21.414,21.617
2013-10-04,21.623,21.878,21.469,21.723
2013-10-07,21.724,22.434,21.613,22.343
2013-10-08,22.348,22.468,22.116,22.253
2013-10-09,22.252,22.346,21.751,21.852
2013-10-10,21.853,22.188,21.52,21.671
2013-10-11,21.667,21.722,20.954,21.12
2013-10-14,21.125,21.653,21.081,21.153
2013-10-15,21.138,21.501,20.489,21.263
2013-10-16,21.262,21.565,21.099,21.27
2013-10-17,21.279,22.168,21.081,21.757
2013-10-18,21.752,22.142,21.718,22.096
2013-10-21,22.101,22.301,22.031,22.063
2013-10-22,22.062,22.795,21.959,22.673
2013-10-23,22.675,22.724,22.477,22.689
2013-10-24,22.691,22.855,22.579,22.637
2013-10-25,22.635,22.67,22.229,22.537
2013-10-28,22.539,22.686,22.426,22.508
2013-10-29,22.511,22.598,22.281,22.477
2013-10-30,22.482,23.065,22.293,22.385
2013-10-31,22.384,22.425,21.755,21.883
2013-11-01,21.884,21.958,21.634,21.68
2013-11-04,21.681,21.918,21.581,21.655
2013-11-05,21.651,21.769,21.544,21.707
2013-11-06,21.708,22.048,21.648,21.701
2013-11-07,21.7,21.999,21.378,21.689
2013-11-08,21.691,21.895,21.256,21.347
2013-11-11,21.349,21.447,21.047,21.116
2013-11-12,21.114,21.278,20.566,20.72
2013-11-13,20.719,20.859,20.424,20.815
2013-11-14,20.811,20.887,20.627,20.8
2013-11-15,20.801,20.813,20.556,20.686
2013-11-18,20.687,20.764,20.228,20.306
2013-11-19,20.303,20.478,20.203,20.417
2013-11-20,20.415,20.488,19.776,19.81
2013-11-21,19.812,20.045,19.71,19.956
2013-11-22,19.958,20.028,19.676,19.693
2013-11-25,19.695,20.298,19.574,20.161
2013-11-26,20.162,20.2,19.787,19.896
2013-11-27,19.898,20.098,19.618,19.677
2013-11-28,19.673,19.777,19.618,19.747
2013-11-29,19.745,20.07,19.706,19.81
2013-12-02,19.808,19.848,19.098,19.184
2013-12-03,19.185,19.316,18.967,19.118
2013-12-04,19.117,19.87,18.874,19.636
2013-12-05,19.635,19.71,19.222,19.343
2013-12-06,19.345,19.766,19.181,19.504
2013-12-09,19.502,19.979,19.459,19.788
2013-12-10,19.79,20.417,19.782,20.287
2013-12-11,20.284,20.466,20.212,20.285
2013-12-12,20.287,20.337,19.283,19.369
2013-12-13,19.368,19.737,19.292,19.538
2013-12-16,19.536,20.282,19.447,19.904
2013-12-17,19.906,20.225,19.673,19.876
2013-12-18,19.877,20.255,19.433,19.549
2013-12-19,19.546,19.611,19.108,19.24
2013-12-20,19.241,19.519,19.133,19.322
2013-12-23,19.319,19.521,19.306,19.369
2013-12-24,19.37,19.574,19.315,19.478
2013-12-25,19.37,19.574,19.315,19.478
2013-12-26,19.506,20.034,19.476,19.81
2013-12-27,19.808,20.171,19.799,19.863
2013-12-30,19.861,19.875,19.424,19.476
2013-12-31,19.478,19.813,18.644,19.428
2014-01-01,19.481,20.42,19.444,20.033
2014-01-02,20.034,20.259,19.872,20.065
2014-01-03,20.06,20.331,19.996,20.083
2014-01-06,20.081,20.335,19.935,20.158
2014-01-07,20.159,20.224,19.617,19.716
2014-01-08,19.717,19.745,19.303,19.623
2014-01-09,19.622,19.703,19.393,19.64
2014-01-10,19.641,20.346,19.637,20.166
2014-01-13,20.164,20.445,19.939,20.33
2014-01-14,20.331,20.587,20.07,20.07
2014-01-15,20.068,20.232,19.92,20.163
2014-01-16,20.164,20.216,19.957,20.056
2014-01-17,20.059,20.409,19.955,20.31
2014-01-20,20.309,20.379,20.168,20.203
2014-01-21,20.203,20.247,19.676,19.916
2014-01-22,19.917,19.925,19.635,19.726
2014-01-23,19.725,20.291,19.701,20.001
2014-01-24,20.0,20.269,19.708,19.879
2014-01-27,19.88,19.996,19.545,19.797
2014-01-28,19.796,19.827,19.456,19.579
2014-01-29,19.58,19.95,19.475,19.551
2014-01-30,19.549,19.608,18.987,19.182
2014-01-31,19.183,19.455,19.064,19.131
2014-02-03,19.127,19.62,19.087,19.355
2014-02-04,19.35,19.588,19.258,19.508
2014-02-05,19.51,20.236,19.488,19.932
2014-02-06,19.931,20.164,19.767,19.886
2014-02-07,19.884,20.094,19.754,20.005
2014-02-10,20.006,20.27,19.991,20.138
2014-02-11,20.141,20.264,19.915,20.114
2014-02-12,20.113,20.383,20.093,20.2
2014-02-13,20.199,20.814,20.121,20.713
2014-02-14,20.717,21.96,20.693,21.73
2014-02-17,21.731,21.892,21.52,21.631
2014-02-18,21.634,21.957,21.302,21.644
2014-02-19,21.645,21.896,21.361,21.516
2014-02-20,21.515,21.881,21.442,21.611
2014-02-21,21.61,21.949,21.498,21.596
2014-02-24,21.594,22.157,21.577,21.879
2014-02-25,21.877,21.99,21.66,21.846
2014-02-26,21.845,22.018,20.979,21.075
2014-02-27,21.074,21.468,21.049,21.19
2014-02-28,21.188,21.511,21.066,21.451
2014-03-03,21.449,21.702,21.342,21.45
2014-03-04,21.452,21.501,21.009,21.173
2014-03-05,21.175,21.3,21.128,21.21
2014-03-06,21.213,21.61,21.07,21.5
2014-03-07,21.501,21.566,20.592,20.737
2014-03-10,20.735,21.019,20.603,20.93
2014-03-11,20.927,21.287,20.65,21.115
2014-03-12,21.118,21.443,20.796,21.362
2014-03-13,21.363,21.432,21.083,21.208
2014-03-14,21.211,21.758,21.111,21.358
2014-03-17,21.355,21.455,20.954,21.059
2014-03-18,21.06,21.106,20.613,20.862
2014-03-19,20.857,20.886,20.482,20.673
2014-03-20,20.674,20.692,20.123,20.351
2014-03-21,20.361,20.558,20.08,20.205
2014-03-24,20.207,20.233,19.886,20.004
2014-03-25,20.005,20.192,19.91,20.0
2014-03-26,19.999,20.116,19.666,19.751
2014-03-27,19.75,19.83,19.557,19.79
2014-03-28,19.793,19.906,19.613,19.777
2014-03-31,19.778,19.986,19.623,19.699
2014-04-01,19.698,19.892,19.668,19.766
2014-04-02,19.765,20.126,19.736,19.912
2014-04-03,19.911,20.065,19.654,19.813
2014-04-04,19.814,20.21,19.786,19.884
2014-04-07,19.882,20.001,19.769,19.93
2014-04-08,19.931,20.161,19.904,20.036
2014-04-09,20.035,20.066,19.597,19.933
2014-04-10,19.931,20.375,19.919,20.014
2014-04-11,20.013,20.125,19.899,20.018
2014-04-14,20.019,20.08,19.707,19.864
2014-04-15,19.865,19.941,19.217,19.502
2014-04-16,19.507,19.802,19.33,19.557
2014-04-17,19.558,19.706,19.49,19.637
2014-04-18,19.628,19.704,19.228,19.31
2014-04-21,19.308,19.459,19.27,19.323
2014-04-22,19.326,19.52,19.287,19.427
2014-04-23,19.426,19.532,19.382,19.456
2014-04-24,19.455,19.891,18.928,19.524
2014-04-25,19.525,19.786,19.501,19.677
2014-04-28,19.676,19.708,19.475,19.515
2014-04-29,19.514,19.542,19.305,19.398
2014-04-30,19.397,19.413,19.036,19.124
2014-05-01,19.129,19.186,18.77,18.98
2014-05-02,18.986,19.664,18.91,19.483
2014-05-05,19.482,19.708,19.482,19.49
2014-05-06,19.489,19.684,19.476,19.663
2014-05-07,19.665,19.735,19.236,19.263
2014-05-08,19.264,19.369,19.103,19.164
2014-05-09,19.165,19.296,19.019,19.215
2014-05-12,19.218,19.64,19.172,19.463
2014-05-13,19.456,19.588,19.343,19.531
2014-05-14,19.532,19.97,19.503,19.745
2014-05-15,19.735,19.749,19.412,19.497
2014-05-16,19.496,19.514,19.243,19.43
2014-05-19,19.432,19.665,19.294,19.341
2014-05-20,19.339,19.475,19.228,19.461
2014-05-21,19.462,19.48,19.257,19.406
2014-05-22,19.411,19.801,19.379,19.446
2014-05-23,19.447,19.501,19.28,19.436
2014-05-26,19.439,19.477,19.362,19.373
2014-05-27,19.37,19.378,19.025,19.123
2014-05-28,19.124,19.143,18.969,19.066
2014-05-29,19.064,19.086,18.784,19.018
2014-05-30,19.017,19.08,18.623,18.799
2014-06-02,18.725,18.848,18.71,18.804
2014-06-03,18.803,18.917,18.719,18.802
2014-06-04,18.801,18.875,18.732,18.803
2014-06-05,18.801,19.131,18.69,19.051
2014-06-06,19.05,19.187,18.877,19.029
2014-06-09,19.031,19.181,19.008,19.06
2014-06-10,19.059,19.234,18.968,19.233
2014-06-11,19.232,19.324,19.143,19.192
2014-06-12,19.191,19.612,19.155,19.518
2014-06-13,19.517,19.871,19.47,19.765
2014-06-16,19.767,19.841,19.549,19.564
2014-06-17,19.563,19.762,19.443,19.676
2014-06-18,19.675,19.932,19.661,19.847
2014-06-19,19.844,20.908,19.842,20.74
2014-06-20,20.74,20.962,20.564,20.771
2014-06-23,20.775,20.919,20.721,20.797
2014-06-24,20.796,21.14,20.689,20.718
2014-06-25,20.715,21.146,20.688,20.925
2014-06-26,20.926,21.162,20.782,21.114
2014-06-27,21.12,21.186,20.842,20.891
2014-06-30,20.892,21.115,20.749,21.068
2014-07-01,21.067,21.202,20.982,21.028
2014-07-02,21.029,21.27,20.899,21.042
2014-07-03,21.041,21.153,20.788,21.1
2014-07-04,21.101,21.215,21.0,21.037
2014-07-07,21.038,21.044,20.807,20.965
2014-07-08,20.963,21.175,20.892,21.102
2014-07-09,21.103,21.211,20.98,21.165
2014-07-10,21.164,21.557,21.088,21.442
2014-07-11,21.437,21.482,21.209,21.24
2014-07-14,21.237,21.266,20.825,20.888
2014-07-15,20.891,21.058,20.646,20.708
2014-07-16,20.707,20.805,20.561,20.787
2014-07-17,20.788,21.239,20.7,21.087
2014-07-18,21.085,21.085,20.715,20.881
2014-07-21,20.886,21.089,20.858,20.911
2014-07-22,20.912,21.049,20.725,20.928
2014-07-23,20.932,21.031,20.736,20.774
2014-07-24,20.773,20.884,20.29,20.407
2014-07-25,20.412,20.74,20.366,20.617
2014-07-28,20.618,20.681,20.492,20.574
2014-07-29,20.575,20.788,20.448,20.563
2014-07-30,20.564,20.702,20.441,20.579
2014-07-31,20.578,20.717,20.32,20.381
2014-08-01,20.379,20.529,20.243,20.362
2014-08-04,20.361,20.439,20.121,20.175
2014-08-05,20.176,20.252,19.729,19.839
2014-08-06,19.838,20.102,19.752,20.062
2014-08-07,20.064,20.091,19.868,19.962
2014-08-08,19.963,20.158,19.815,19.869
2014-08-11,19.87,20.088,19.83,19.968
2014-08-12,19.967,20.126,19.851,19.982
2014-08-13,19.981,20.061,19.69,19.902
2014-08-14,19.903,19.97,19.782,19.851
2014-08-15,19.852,19.932,19.461,19.537
2014-08-18,19.535,19.683,19.513,19.652
2014-08-19,19.651,19.697,19.367,19.428
2014-08-20,19.427,19.582,19.375,19.398
2014-08-21,19.393,19.477,19.301,19.471
2014-08-22,19.472,19.56,19.301,19.405
2014-08-25,19.404,19.487,19.318,19.388
2014-08-26,19.392,19.673,19.343,19.42
2014-08-27,19.421,19.514,19.308,19.501
2014-08-28,19.499,19.878,19.477,19.554
2014-08-29,19.555,19.617,19.392,19.47
2014-09-01,19.468,19.518,19.407,19.425
2014-09-02,19.424,19.48,19.073,19.154
2014-09-03,19.159,19.239,19.098,19.204
2014-09-04,19.205,19.346,18.988,19.064
2014-09-05,19.061,19.279,19.022,19.259
2014-09-08,19.261,19.308,18.897,19.007
2014-09-09,19.01,19.123,18.856,19.055
2014-09-10,19.056,19.092,18.874,18.939
2014-09-11,18.94,18.945,18.44,18.517
2014-09-12,18.519,18.677,18.484,18.653
2014-09-15,18.654,18.776,18.544,18.724
2014-09-16,18.725,18.867,18.595,18.72
2014-09-17,18.721,18.783,18.455,18.534
2014-09-18,18.535,18.606,18.269,18.567
2014-09-19,18.568,18.568,17.329,17.536
2014-09-22,17.535,17.849,17.51,17.732
2014-09-23,17.733,17.986,17.616,17.789
2014-09-24,17.788,17.865,17.516,17.579
2014-09-25,17.578,17.673,17.333,17.617
2014-09-26,17.618,17.72,17.44,17.498
2014-09-29,17.499,17.623,17.428,17.55
2014-09-30,17.549,17.555,16.853,16.904
2014-10-01,16.903,17.422,16.896,17.283
2014-10-02,17.284,17.294,16.923,17.1
2014-10-03,17.101,17.126,16.658,16.757
2014-10-06,16.757,17.372,16.735,17.282
2014-10-07,17.281,17.606,17.083,17.181
2014-10-08,17.18,17.465,17.043,17.458
2014-10-09,17.459,17.699,17.238,17.279
2014-10-10,17.28,17.542,17.195,17.483
2014-10-13,17.483,17.582,17.272,17.466
2014-10-14,17.467,17.551,17.179,17.266
2014-10-15,17.265,17.794,17.012,17.43
2014-10-16,17.429,17.497,17.189,17.355
2014-10-17,17.356,17.422,17.21,17.315
2014-10-20,17.314,17.523,17.304,17.413
2014-10-21,17.411,17.658,17.36,17.483
2014-10-22,17.482,17.494,17.124,17.189
2014-10-23,17.19,17.253,17.041,17.22
2014-10-24,17.219,17.356,17.13,17.174
2014-10-27,17.171,17.261,17.076,17.196
2014-10-28,17.197,17.407,17.166,17.232
2014-10-29,17.233,17.33,17.032,17.181
2014-10-30,17.18,17.191,16.315,16.378
2014-10-31,16.379,16.405,15.754,15.955
2014-11-03,15.956,16.236,15.919,15.976
2014-11-04,15.975,16.156,15.826,15.849
2014-11-05,15.847,15.86,15.139,15.369
2014-11-06,15.367,15.468,15.195,15.212
2014-11-07,15.208,15.902,15.057,15.83
2014-11-10,15.831,15.866,15.486,15.496
2014-11-11,15.497,15.894,15.466,15.713
2014-11-12,15.714,15.786,15.557,15.68
2014-11-13,15.681,15.793,15.535,15.54
2014-11-14,15.535,16.467,15.267,16.27
2014-11-17,16.273,16.397,15.995,16.126
2014-11-18,16.125,16.418,16.092,16.151
2014-11-19,16.153,16.543,15.896,16.027
2014-11-20,16.026,16.342,15.994,16.269
2014-11-21,16.27,16.622,16.128,16.395
2014-11-24,16.394,16.597,16.275,16.516
2014-11-25,16.519,16.724,16.465,16.613
2014-11-26,16.614,16.668,16.153,16.225
2014-11-27,16.225,16.46,16.045,16.078
2014-11-28,16.077,16.16,14.345,14.941
2014-12-01,14.945,16.776,14.863,16.307
2014-12-02,16.306,16.517,16.069,16.285
2014-12-03,16.287,16.575,16.278,16.448
2014-12-04,16.444,16.663,16.34,16.361
2014-12-05,16.36,16.543,16.15,16.239
2014-12-08,16.24,16.427,16.194,16.323
2014-12-09,16.324,17.199,16.279,17.093
2014-12-10,17.094,17.314,16.922,17.139
2014-12-11,17.138,17.208,16.925,17.03
2014-12-12,17.031,17.203,16.762,16.888
2014-12-15,16.887,16.986,16.067,16.225
2014-12-16,16.23,16.647,15.533,15.863
2014-12-17,15.854,16.09,15.611,16.0
2014-12-18,16.001,16.222,15.834,15.896
2014-12-19,15.893,16.108,15.83,16.062
2014-12-22,16.061,16.163,15.522,15.735
2014-12-23,15.734,15.89,15.556,15.787
2014-12-24,15.786,15.866,15.683,15.754
2014-12-25,15.754,16.02,15.754,15.961
2014-12-26,15.962,16.288,15.945,16.116
2014-12-29,16.11,16.249,15.721,15.852
2014-12-30,15.853,16.469,15.82,16.244
2014-12-31,16.243,16.243,15.548,15.705
2015-01-01,15.634,15.91,15.634,15.833
2015-01-02,15.834,16.07,15.534,15.944
2015-01-05,15.945,16.262,15.832,16.22
2015-01-06,16.221,16.706,16.183,16.47
2015-01-07,16.465,16.648,16.29,16.468
2015-01-08,16.467,16.65,16.298,16.365
2015-01-09,16.366,16.674,16.204,16.562
2015-01-12,16.564,16.852,16.424,16.748
2015-01-13,16.751,17.193,16.717,16.868
2015-01-14,16.867,17.072,16.544,16.836
2015-01-15,16.835,17.209,16.694,17.056
2015-01-16,17.054,17.993,16.885,17.637
2015-01-19,17.639,17.8,17.618,17.688
2015-01-20,17.689,18.116,17.646,18.115
2015-01-21,18.111,18.478,17.995,18.158
2015-01-22,18.157,18.474,17.911,18.298
2015-01-23,18.297,18.47,18.103,18.322
2015-01-26,18.323,18.342,17.49,17.862
2015-01-27,17.863,18.198,17.834,17.969
2015-01-28,17.968,18.153,17.823,17.897
2015-01-29,17.892,17.903,16.739,16.933
2015-01-30,16.934,17.316,16.8,17.186
2015-02-02,17.187,17.331,17.0,17.196
2015-02-03,17.197,17.74,17.077,17.348
2015-02-04,17.347,17.651,17.233,17.448
2015-02-05,17.447,17.488,16.927,17.268
2015-02-06,17.276,17.374,16.56,16.756
2015-02-09,16.755,17.16,16.716,17.026
2015-02-10,17.025,17.103,16.738,17.027
2015-02-11,17.028,17.093,16.63,16.696
2015-02-12,16.699,17.061,16.682,16.971
2015-02-13,16.975,17.442,16.86,17.35
2015-02-16,17.352,17.412,17.189,17.213
2015-02-17,17.212,17.291,16.295,16.508
2015-02-18,16.509,16.739,16.269,16.625
2015-02-19,16.625,16.796,16.347,16.475
2015-02-20,16.474,16.576,16.182,16.364
2015-02-23,16.361,16.612,16.093,16.386
2015-02-24,16.387,16.741,16.078,16.552
2015-02-25,16.557,16.662,16.449,16.612
2015-02-26,16.609,16.895,16.521,16.558
2015-02-27,16.557,16.786,16.426,16.746
2015-03-02,16.745,16.776,16.077,16.513
2015-03-03,16.512,16.583,16.184,16.335
2015-03-04,16.334,16.363,16.079,16.305
2015-03-05,16.304,16.366,16.141,16.195
2015-03-06,16.196,16.201,15.732,15.793
2015-03-09,15.795,15.98,15.698,15.745
2015-03-10,15.744,15.848,15.613,15.696
2015-03-11,15.694,15.762,15.286,15.465
2015-03-12,15.467,15.705,15.455,15.635
2015-03-13,15.634,15.673,15.477,15.656
2015-03-16,15.657,15.774,15.509,15.605
2015-03-17,15.603,15.738,15.388,15.563
2015-03-18,15.564,16.134,15.459,16.002
2015-03-19,16.001,16.195,15.822,16.15
2015-03-20,16.151,16.906,16.098,16.7
2015-03-23,16.7,17.101,16.626,16.874
2015-03-24,16.873,17.042,16.817,16.9
2015-03-25,16.9,17.113,16.847,17.0
2015-03-26,16.999,17.402,16.977,17.062
2015-03-27,17.061,17.199,16.858,16.899
2015-03-30,16.898,16.929,16.444,16.485
