Date,Open,High,Low,Close
2013-01-01,1674.9,1679.08,1670.22,1678.85
2013-01-02,1678.87,1694.72,1678.46,1688.08
2013-01-03,1688.09,1688.29,1645.25,1650.43
2013-01-04,1650.45,1662.54,1625.79,1657.77
2013-01-07,1657.79,1661.81,1642.76,1648.1
2013-01-08,1648.09,1662.43,1647.14,1658.32
2013-01-09,1658.29,1665.75,1651.33,1656.82
2013-01-10,1656.81,1678.75,1656.38,1673.32
2013-01-11,1673.3,1676.7,1653.28,1665.76
2013-01-14,1665.78,1674.67,1663.99,1671.09
2013-01-15,1671.08,1685.01,1670.37,1682.36
2013-01-16,1682.33,1684.71,1673.21,1678.56
2013-01-17,1678.57,1696.98,1666.65,1688.31
2013-01-18,1688.26,1695.14,1683.42,1690.14
2013-01-21,1690.13,1693.97,1685.74,1693.45
2013-01-22,1693.48,1695.9,1686.63,1692.49
2013-01-23,1692.6,1694.9,1681.42,1682.1
2013-01-24,1682.09,1683.0,1663.34,1667.73
2013-01-25,1667.74,1672.17,1655.82,1660.03
2013-01-28,1660.05,1662.21,1651.87,1659.32
2013-01-29,1659.29,1667.39,1658.66,1666.33
2013-01-30,1666.47,1683.72,1662.74,1679.37
2013-01-31,1679.35,1680.42,1657.73,1660.76
2013-02-01,1660.74,1681.93,1660.5,1670.76
2013-02-04,1670.78,1677.42,1661.67,1674.68
2013-02-05,1674.71,1685.3,1666.53,1673.07
2013-02-06,1673.09,1679.59,1668.13,1679.32
2013-02-07,1679.28,1682.99,1662.95,1671.6
2013-02-08,1671.58,1673.5,1664.94,1668.27
2013-02-11,1668.29,1669.45,1642.43,1646.88
2013-02-12,1646.99,1653.32,1639.08,1651.47
2013-02-13,1651.51,1653.52,1640.42,1645.38
2013-02-14,1645.35,1649.9,1630.19,1632.96
2013-02-15,1632.97,1634.16,1597.75,1612.27
2013-02-18,1612.28,1617.22,1607.06,1613.01
2013-02-19,1613.0,1614.75,1600.5,1606.64
2013-02-20,1606.63,1608.8,1554.96,1559.98
2013-02-21,1559.94,1584.67,1559.74,1583.02
2013-02-22,1583.06,1587.06,1569.76,1583.35
2013-02-25,1583.41,1598.21,1583.22,1593.27
2013-02-26,1593.23,1619.86,1584.26,1611.49
2013-02-27,1611.44,1612.52,1592.29,1598.36
2013-02-28,1598.37,1602.83,1574.85,1578.79
2013-03-01,1578.78,1587.15,1564.65,1576.57
2013-03-04,1576.56,1581.44,1569.34,1579.57
2013-03-05,1579.56,1586.3,1571.84,1577.96
2013-03-06,1577.95,1585.2,1567.17,1583.23
2013-03-07,1583.22,1585.32,1574.86,1576.35
2013-03-08,1576.34,1583.6,1561.37,1580.68
2013-03-11,1580.74,1584.35,1576.44,1582.68
2013-03-12,1582.67,1598.21,1581.68,1593.36
2013-03-13,1593.16,1599.03,1583.56,1587.16
2013-03-14,1587.17,1593.17,1576.65,1591.35
2013-03-15,1591.32,1608.55,1590.24,1597.64
2013-03-18,1597.71,1611.04,1595.36,1605.64
2013-03-19,1605.6,1615.59,1599.93,1612.24
2013-03-20,1612.21,1614.63,1600.95,1607.72
2013-03-21,1607.69,1616.5,1607.01,1613.47
2013-03-22,1613.55,1615.37,1602.71,1610.93
2013-03-25,1610.88,1612.54,1589.68,1601.62
2013-03-26,1601.6,1603.33,1594.44,1599.18
2013-03-27,1599.19,1608.17,1591.21,1605.56
2013-03-28,1605.53,1606.36,1593.81,1596.05
2013-03-29,1598.45,1600.97,1594.91,1598.18
2013-04-01,1598.2,1603.73,1594.66,1603.09
2013-04-02,1603.11,1603.19,1563.05,1567.02
2013-04-03,1566.97,1576.39,1541.35,1545.35
2013-04-04,1545.42,1556.71,1539.98,1551.07
